bin,lower,upper,count,mean_prediction,observed_rate,absolute_gap
0,0.0,0.05,1130,0.020993589566178424,0.03008849557522124,0.009094906009042815
1,0.05,0.1,669,0.07616709467036246,0.09267563527653214,0.016508540606169672
2,0.1,0.15000000000000002,709,0.12498006592864892,0.1311706629055007,0.006190596976851773
3,0.15000000000000002,0.2,609,0.17564058198374694,0.15763546798029557,0.018005114003451367
4,0.2,0.25,657,0.22511396368610678,0.3028919330289193,0.07777796934281253
5,0.25,0.30000000000000004,711,0.2757239628419949,0.3009845288326301,0.025260565990635198
6,0.30000000000000004,0.35000000000000003,569,0.3247111980639816,0.35500878734622143,0.030297589282239856
7,0.35000000000000003,0.4,625,0.3760294203611677,0.4016,0.025570579638832303
8,0.4,0.45,736,0.4271566480013432,0.4673913043478261,0.04023465634648293
9,0.45,0.5,656,0.47316768732340114,0.5060975609756098,0.03292987365220862
10,0.5,0.55,608,0.5244462107728785,0.5723684210526315,0.047922210279753075
11,0.55,0.6000000000000001,537,0.574353369518356,0.5102420856610801,0.06411128385727594
12,0.6000000000000001,0.65,459,0.6247517580527081,0.5882352941176471,0.03651646393506103
13,0.65,0.7000000000000001,524,0.6761030342454207,0.6431297709923665,0.032973263253054275
14,0.7000000000000001,0.75,619,0.7255472235336244,0.6833602584814217,0.04218696505220276
15,0.75,0.8,526,0.7738618713673021,0.7509505703422054,0.022911301025096753
16,0.8,0.8500000000000001,520,0.8246297732942622,0.8423076923076923,0.017677919013430077
17,0.8500000000000001,0.9,559,0.8769883467387987,0.8711985688729875,0.005789777865811141
18,0.9,0.9500000000000001,812,0.9249418597766111,0.9408866995073891,0.015944839730777982
19,0.9500000000000001,1.0,625,0.9707873046203338,1.0,0.029212695379666198
