feature,importance,method,fold
resource_win_prob,0.15553726,baseline_v6_features,1
dls_pressure_index,0.09146619,baseline_v6_features,1
run_rate_diff,0.08575242,baseline_v6_features,1
score_vs_par,0.058080655,baseline_v6_features,1
venue_chase_success,0.03479213,baseline_v6_features,1
batting_team_situation_wr,0.033143055,baseline_v6_features,1
inn1_defendability,0.031890176,baseline_v6_features,1
situation_advantage,0.030565597,baseline_v6_features,1
bowling_team_win_rate,0.029539501,baseline_v6_features,1
target_above_par,0.028273642,baseline_v6_features,1
bowling_team_situation_wr,0.027733924,baseline_v6_features,1
team_strength_diff,0.026888158,baseline_v6_features,1
batting_team_win_rate,0.02668654,baseline_v6_features,1
inn1_pp_runs,0.026605261,baseline_v6_features,1
inn1_wickets_lost,0.025723407,baseline_v6_features,1
inn1_death_rr,0.025305284,baseline_v6_features,1
projected_score,0.025058554,baseline_v6_features,1
batting_won_toss,0.02434326,baseline_v6_features,1
expected_final_score,0.024234343,baseline_v6_features,1
chase_difficulty,0.021129878,baseline_v6_features,1
required_run_rate,0.020973884,baseline_v6_features,1
rrr_times_wickets,0.01991266,baseline_v6_features,1
runs_last_18,0.018683732,baseline_v6_features,1
score_per_wicket,0.017559338,baseline_v6_features,1
projected_vs_venue_avg,0.017390132,baseline_v6_features,1
overs_remaining,0.01687058,baseline_v6_features,1
wickets_times_balls,0.015261401,baseline_v6_features,1
runs_last_12,0.014447387,baseline_v6_features,1
pressure_index,0.011790981,baseline_v6_features,1
boundary_pct_last_18,0.0069868774,baseline_v6_features,1
is_powerplay,0.0047356714,baseline_v6_features,1
wickets_last_12,0.0026380843,baseline_v6_features,1
resource_win_prob,0.13993712,augmented_all_candidates,1
run_rate_diff,0.06421189,augmented_all_candidates,1
dls_pressure_index,0.057245273,augmented_all_candidates,1
score_vs_par,0.03976764,augmented_all_candidates,1
venue_chase_success,0.027190993,augmented_all_candidates,1
hs_i2mid_dls_x_resource,0.027132722,augmented_all_candidates,1
hs_i2_inn1_def_x_required_rr,0.026224844,augmented_all_candidates,1
batting_team_situation_wr,0.025623513,augmented_all_candidates,1
situation_advantage,0.024550293,augmented_all_candidates,1
inn1_defendability,0.024125101,augmented_all_candidates,1
bowling_team_situation_wr,0.023886131,augmented_all_candidates,1
target_above_par,0.023714578,augmented_all_candidates,1
bowling_team_win_rate,0.0229431,augmented_all_candidates,1
inn1_wickets_lost,0.021929633,augmented_all_candidates,1
team_strength_diff,0.021488313,augmented_all_candidates,1
expected_final_score,0.020784464,augmented_all_candidates,1
rrr_times_wickets,0.020774541,augmented_all_candidates,1
inn1_death_rr,0.02075106,augmented_all_candidates,1
batting_team_win_rate,0.020615675,augmented_all_candidates,1
batting_won_toss,0.02043197,augmented_all_candidates,1
inn1_pp_runs,0.020120386,augmented_all_candidates,1
overs_remaining,0.019845562,augmented_all_candidates,1
projected_score,0.017318007,augmented_all_candidates,1
hs_i2death_target_x_venue_chase,0.016501844,augmented_all_candidates,1
hs_i2_target_above_par_x_wickets,0.016457623,augmented_all_candidates,1
hs_i2_resource_pressure,0.016387748,augmented_all_candidates,1
hs_i2death_dls_x_chase_difficulty,0.015751677,augmented_all_candidates,1
projected_vs_venue_avg,0.015546552,augmented_all_candidates,1
hs_i2pp_target_above_par_x_venue_chase,0.015459686,augmented_all_candidates,1
required_run_rate,0.01489526,augmented_all_candidates,1
hs_i2pp_target_above_par_x_wickets,0.014414422,augmented_all_candidates,1
runs_last_18,0.014202767,augmented_all_candidates,1
