method,segment,n,brier,log_loss,mean_prediction,actual_rate,baseline_brier,baseline_log_loss,brier_delta,log_loss_delta
baseline_v6_features,overall,34172,0.17714018683089755,0.5218231030444748,0.4827413281616975,0.4907526629989465,0.17714018683089755,0.5218231030444748,0.0,0.0
baseline_v6_features,innings_1,17579,0.21726026463259157,0.6223091037916841,0.4496559329271211,0.469765060583651,0.21726026463259157,0.6223091037916841,0.0,0.0
baseline_v6_features,innings_2,16593,0.13463606776406342,0.4153659580354231,0.5177927451947005,0.5129874043271259,0.13463606776406342,0.4153659580354231,0.0,0.0
baseline_v6_features,innings_1_powerplay,4350,0.2406176611879632,0.6739970968158695,0.43708282591833136,0.46781609195402296,0.2406176611879632,0.6739970968158695,0.0,0.0
baseline_v6_features,innings_1_middle,7813,0.21451001878216858,0.6166078527443508,0.4451456073762174,0.4681940355817228,0.21451001878216858,0.6166078527443508,0.0,0.0
baseline_v6_features,innings_1_death,5416,0.20246761245635236,0.5890190566679047,0.46626084227303066,0.47359675036927623,0.20246761245635236,0.5890190566679047,0.0,0.0
baseline_v6_features,innings_2_powerplay,4359,0.1796405365769816,0.5318897046866214,0.561057702637609,0.5320027529249828,0.1796405365769816,0.5318897046866214,0.0,0.0
baseline_v6_features,innings_2_middle,7726,0.14069988885560783,0.4309307002816868,0.5289375710262297,0.526274915868496,0.14069988885560783,0.4309307002816868,0.0,0.0
baseline_v6_features,innings_2_death,4508,0.08072667084552244,0.2760180853097782,0.45685732508200444,0.47182786157941436,0.08072667084552244,0.2760180853097782,0.0,0.0
augmented_all_candidates,overall,34172,0.17675027786485054,0.5207260077659087,0.4817968979099428,0.4907526629989465,0.17714018683089755,0.5218231030444748,-0.0003899089660470145,-0.0010970952785660515
augmented_all_candidates,innings_1,17579,0.21760636333845665,0.6229992351572216,0.44816831898528253,0.469765060583651,0.21726026463259157,0.6223091037916841,0.00034609870586507774,0.0006901313655374164
augmented_all_candidates,innings_2,16593,0.13346641560121392,0.41237543437279783,0.5174237760463017,0.5129874043271259,0.13463606776406342,0.4153659580354231,-0.001169652162849505,-0.002990523662625255
augmented_all_candidates,innings_1_powerplay,4350,0.24062695722982838,0.6739197872826403,0.4364348238154036,0.46781609195402296,0.2406176611879632,0.6739970968158695,9.296041865169968e-06,-7.73095332291529e-05
augmented_all_candidates,innings_1_middle,7813,0.2143765915165726,0.616057542542634,0.4480680905885046,0.4681940355817228,0.21451001878216858,0.6166078527443508,-0.00013342726559598117,-0.0005503102017168082
augmented_all_candidates,innings_1_death,5416,0.20377597630317468,0.5921150111269777,0.4577369653023059,0.47359675036927623,0.20246761245635236,0.5890190566679047,0.0013083638468223135,0.003095954459073069
augmented_all_candidates,innings_2_powerplay,4359,0.17792854793497867,0.5284178907336339,0.5547702162501286,0.5320027529249828,0.1796405365769816,0.5318897046866214,-0.0017119886420029207,-0.003471813952987568
augmented_all_candidates,innings_2_middle,7726,0.14043610988495608,0.4304333314715716,0.5280339669857971,0.526274915868496,0.14069988885560783,0.4309307002816868,-0.0002637789706517457,-0.0004973688101151952
augmented_all_candidates,innings_2_death,4508,0.07852890608944108,0.2692200705169837,0.46312753202522305,0.47182786157941436,0.08072667084552244,0.2760180853097782,-0.002197764756081369,-0.006798014792794516
augmented_horseshoe_selected,overall,34172,0.17681518871117524,0.5210434344079836,0.48218191646683306,0.4907526629989465,0.17714018683089755,0.5218231030444748,-0.0003249981197223084,-0.0007796686364911487
augmented_horseshoe_selected,innings_1,17579,0.21723242783949792,0.6222069139512117,0.44836461329111105,0.469765060583651,0.21726026463259157,0.6223091037916841,-2.7836793093649614e-05,-0.00010218984047238866
augmented_horseshoe_selected,innings_2,16593,0.1339962502047698,0.41386855301881925,0.5180087333490133,0.5129874043271259,0.13463606776406342,0.4153659580354231,-0.0006398175592936262,-0.0014974050166038366
augmented_horseshoe_selected,innings_1_powerplay,4350,0.240162498592852,0.6729519934512826,0.43650073454320926,0.46781609195402296,0.2406176611879632,0.6739970968158695,-0.00045516259511121926,-0.0010451033645868524
augmented_horseshoe_selected,innings_1_middle,7813,0.2139578592408826,0.6151367671425696,0.4481928544604116,0.4681940355817228,0.21451001878216858,0.6166078527443508,-0.0005521595412859848,-0.001471085601781219
augmented_horseshoe_selected,innings_1_death,5416,0.20353936962012786,0.5916489304191979,0.45814116873749716,0.47359675036927623,0.20246761245635236,0.5890190566679047,0.0010717571637754997,0.002629873751293199
augmented_horseshoe_selected,innings_2_powerplay,4359,0.17771490693341913,0.5276636252103105,0.5547091554743874,0.5320027529249828,0.1796405365769816,0.5318897046866214,-0.0019256296435624654,-0.004226079476310929
augmented_horseshoe_selected,innings_2_middle,7726,0.14102619892335075,0.4319518855150566,0.5297484851423288,0.526274915868496,0.14069988885560783,0.4309307002816868,0.0003263100677429187,0.0010211852333698035
augmented_horseshoe_selected,innings_2_death,4508,0.07967437609653133,0.2728426997471599,0.46240126609088106,0.47182786157941436,0.08072667084552244,0.2760180853097782,-0.0010522947489911144,-0.003175385562618316
