split_train_frac,train_matches,test_matches,test_rows,test_start,test_end,method,brier,log_loss,delta_brier_vs_iso,delta_log_loss_vs_iso,delta_brier_vs_market,delta_log_loss_vs_market
0.33,10,23,412,2026-04-11,2026-04-30,market,0.15328573659250214,0.44619717522380714,0.05138822561305732,0.12425145951088906,0.0,0.0
0.33,10,23,412,2026-04-11,2026-04-30,raw_v6,0.10339632301880634,0.3314669946463163,0.00149881203936153,0.009521278933398214,-0.04988941357369579,-0.11473018057749085
0.33,10,23,412,2026-04-11,2026-04-30,iso_v6,0.10189751097944481,0.3219457157129181,0.0,0.0,-0.05138822561305732,-0.12425145951088906
0.33,10,23,412,2026-04-11,2026-04-30,iso_95_market_05,0.1014222557617728,0.32363565638952885,-0.0004752552176720132,0.0016899406766107683,-0.051863480830729336,-0.1225615188342783
0.33,10,23,412,2026-04-11,2026-04-30,iso_90_market_10,0.10126749175445075,0.3257912051129199,-0.0006300192249940606,0.0038454894000018447,-0.05201824483805138,-0.12040597011088722
0.33,10,23,412,2026-04-11,2026-04-30,iso_80_market_20,0.10191943737085664,0.3314103457284944,2.1926391411825064e-05,0.009464630015576347,-0.0513662992216455,-0.11478682949531271
0.33,10,23,412,2026-04-11,2026-04-30,train_opt_iso_market_blend,0.10189751097944481,0.3219457157129181,0.0,0.0,-0.05138822561305732,-0.12425145951088906
0.33,10,23,412,2026-04-11,2026-04-30,platt_iso_only,0.10844711979579207,0.38209472963759167,0.006549608816347252,0.06014901392467359,-0.04483861679671007,-0.06410244558621547
0.33,10,23,412,2026-04-11,2026-04-30,platt_raw_iso,0.11224011017132438,0.42347808445763313,0.010342599191879562,0.10153236874471505,-0.04104562642117776,-0.02271909076617401
0.33,10,23,412,2026-04-11,2026-04-30,stack_iso_market,0.0923496116015741,0.28369025908382645,-0.00954789937787072,-0.03825545662909163,-0.06093612499092804,-0.1625069161399807
0.33,10,23,412,2026-04-11,2026-04-30,stack_market_features,0.10787385964529617,0.3299152510710465,0.005976348665851353,0.007969535358128443,-0.04541187694720597,-0.11628192415276062
0.5,16,17,299,2026-04-16,2026-04-30,market,0.18937830849693876,0.5324681239846876,0.07024260815478789,0.16559804857156435,0.0,0.0
0.5,16,17,299,2026-04-16,2026-04-30,raw_v6,0.12091738689254704,0.37682072685122875,0.0017816865503961637,0.009950651438105529,-0.06846092160439173,-0.15564739713345882
0.5,16,17,299,2026-04-16,2026-04-30,iso_v6,0.11913570034215087,0.3668700754131232,0.0,0.0,-0.07024260815478789,-0.16559804857156435
0.5,16,17,299,2026-04-16,2026-04-30,iso_95_market_05,0.11896784703831857,0.36947032047995815,-0.00016785330383230213,0.0026002450668349275,-0.07041046145862019,-0.16299780350472942
0.5,16,17,299,2026-04-16,2026-04-30,iso_90_market_10,0.11918736044096746,0.3726443570549384,5.166009881658884e-05,0.005774281641815204,-0.0701909480559713,-0.15982376692974914
0.5,16,17,299,2026-04-16,2026-04-30,iso_80_market_20,0.120788487365709,0.3806037905975831,0.0016527870235581305,0.013733715184459871,-0.06858982113122976,-0.15186433338710448
0.5,16,17,299,2026-04-16,2026-04-30,train_opt_iso_market_blend,0.11913570034215087,0.3668700754131232,0.0,0.0,-0.07024260815478789,-0.16559804857156435
0.5,16,17,299,2026-04-16,2026-04-30,platt_iso_only,0.14457638169473747,0.49594689156658267,0.02544068135258659,0.12907681615345945,-0.0448019268022013,-0.0365212324181049
0.5,16,17,299,2026-04-16,2026-04-30,platt_raw_iso,0.14793968974967292,0.5225525821574775,0.028803989407522046,0.15568250674435424,-0.04143861874726584,-0.009915541827210106
0.5,16,17,299,2026-04-16,2026-04-30,stack_iso_market,0.11901016051125546,0.3566146609327018,-0.00012553983089541587,-0.010255414480421443,-0.0703681479856833,-0.1758534630519858
0.5,16,17,299,2026-04-16,2026-04-30,stack_market_features,0.14289806096645383,0.4209587300473089,0.023762360624302953,0.05408865463418566,-0.046480247530484936,-0.11150939393737869
0.67,22,11,187,2026-04-21,2026-04-30,market,0.17943507890896876,0.5101370391241774,0.052493582504838765,0.1275838805570259,0.0,0.0
0.67,22,11,187,2026-04-21,2026-04-30,raw_v6,0.12950708322673324,0.395074371952504,0.002565586822603244,0.012521213385352503,-0.04992799568223552,-0.1150626671716734
0.67,22,11,187,2026-04-21,2026-04-30,iso_v6,0.12694149640413,0.3825531585671515,0.0,0.0,-0.052493582504838765,-0.1275838805570259
0.67,22,11,187,2026-04-21,2026-04-30,iso_95_market_05,0.12588730357275318,0.3832376689388519,-0.00105419283137681,0.0006845103717004197,-0.053547775336215575,-0.1268993701853255
0.67,22,11,187,2026-04-21,2026-04-30,iso_90_market_10,0.12522036042102047,0.3845395456612052,-0.001721135983109523,0.0019863870940536876,-0.05421471848794829,-0.12559749346297222
0.67,22,11,187,2026-04-21,2026-04-30,iso_80_market_20,0.12504822315648728,0.3888503118097284,-0.0018932732476427128,0.006297153242576903,-0.05438685575248148,-0.121286727314449
0.67,22,11,187,2026-04-21,2026-04-30,train_opt_iso_market_blend,0.12694149640413,0.3825531585671515,0.0,0.0,-0.052493582504838765,-0.1275838805570259
0.67,22,11,187,2026-04-21,2026-04-30,platt_iso_only,0.1530514206146812,0.5076973255041733,0.026109924210551194,0.12514416693702185,-0.02638365829428757,-0.002439713620004058
0.67,22,11,187,2026-04-21,2026-04-30,platt_raw_iso,0.15639554998579153,0.524078609448783,0.029454053581661532,0.14152545088163154,-0.023039528923177233,0.013941570324605634
0.67,22,11,187,2026-04-21,2026-04-30,stack_iso_market,0.1275020244836224,0.38210797036391997,0.0005605280794924172,-0.00044518820323152797,-0.05193305442534635,-0.12802906876025744
0.67,22,11,187,2026-04-21,2026-04-30,stack_market_features,0.21668434545922327,0.6154052587292127,0.08974284905509328,0.2328521001620612,0.03724926655025451,0.1052682196050353
