feature,bin,n,avg_gap,avg_abs_gap,model_brier_advantage,market_brier,iso_brier
bowler_venue_sr,"(5.999, 17.25]",150,-0.02877487661165208,0.14555182234574285,0.044994649512237,0.13037859146853134,0.08538394195629435
bowler_venue_sr,"(17.25, 26.0]",155,0.011799035455151098,0.16757976240629674,0.027927878328375618,0.15751586897359812,0.1295879906452225
bowler_venue_sr,"(26.0, 999.0]",290,-0.01652748344923954,0.20345692369191845,0.08672519374128762,0.1717633176157085,0.08503812387442093
expected_final_score,"(99.999, 172.935]",149,0.10153438816177494,0.2560628359715848,0.13156615540716224,0.23027117424130553,0.09870501883414329
expected_final_score,"(172.935, 192.267]",149,-0.009108894291188364,0.1231637410905092,0.023090218627492283,0.10359842536599857,0.0805082067385063
expected_final_score,"(192.267, 212.249]",148,-0.05021166823242016,0.12713583588235589,0.037787211165814356,0.12465964007481803,0.08687242890900367
expected_final_score,"(212.249, 280.0]",149,-0.09141223412616156,0.21133745438022208,0.05095313938928275,0.17172425132336577,0.12077111193408305
score_adjusted_by_team,"(-127.711, -32.693]",149,0.1329428183090055,0.22473322494349834,0.12201816740266332,0.17966227704134569,0.057644109638682384
score_adjusted_by_team,"(-32.693, -13.02]",149,-0.019964575826921217,0.17472539596621736,0.018474885571460084,0.16740022227927043,0.1489253367078103
score_adjusted_by_team,"(-13.02, -0.121]",148,-0.049433235639330546,0.15195182898547302,0.03668790034503447,0.14155310978678282,0.10486520944174835
score_adjusted_by_team,"(-0.121, 52.15]",149,-0.11273819095092949,0.1664559677187659,0.06620839334562208,0.14175126088944445,0.0755428675438224
current_run_rate,"(0.999, 8.2]",150,0.1412807452120026,0.22455418673425348,0.13057089371411737,0.21595548387554098,0.08538459016142363
current_run_rate,"(8.2, 9.857]",148,-0.035093848025967024,0.12956173833847448,0.037323476110015845,0.09372314668023261,0.056399670570216755
current_run_rate,"(9.857, 11.292]",148,-0.07329568932451765,0.1443368066803234,0.0035532675446445857,0.09951016784999028,0.09595690030534569
current_run_rate,"(11.292, 19.333]",149,-0.08342826476783567,0.2187250451179441,0.0710935076154351,0.22007555293918624,0.1489820453237511
target_above_par,"(-127.241, -12.091]",163,-0.07871480624772337,0.18761680251798332,0.07582469235493508,0.16639966709785747,0.09057497474292239
target_above_par,"(-12.091, 16.204]",146,0.0322995922582897,0.17966184846447114,0.10441305573811757,0.20744381280833082,0.10303075707021327
target_above_par,"(16.204, 44.485]",151,-0.04334577433082287,0.19805032730271238,0.1030480133610507,0.17179867676424257,0.06875066340319184
target_above_par,"(44.485, 64.333]",135,0.054663953156622286,0.1488324169373343,-0.051375231529118964,0.07727087349166806,0.128646105020787
bowler_venue_econ,"(-0.001, 8.02]",301,-0.029135200984575064,0.1869056973205031,0.06964028378666667,0.16403281841595202,0.09439253462928533
bowler_venue_econ,"(8.02, 9.364]",147,-0.011182409835676187,0.15928988568364408,0.04449499148742195,0.14772766926531486,0.1032326777778929
bowler_venue_econ,"(9.364, 23.0]",147,0.02131400371239888,0.18459807011242627,0.059359425743329836,0.15437595098326565,0.0950165252399358
inn1_defendability,"(0.049, 0.485]",168,-0.0400227467678317,0.1518470329132509,0.06413763818601688,0.13199863855900965,0.06786100037299275
inn1_defendability,"(0.485, 0.672]",148,0.05612929076304782,0.25671535136919305,0.16524226493844182,0.24867285169661116,0.08343058675816932
inn1_defendability,"(0.672, 0.76]",146,-0.14042546575890258,0.17894537650493325,0.0421001613302912,0.1696167327231401,0.12751657139284892
inn1_defendability,"(0.76, 0.914]",133,0.08750716713071856,0.1291725255165924,-0.038716370132748576,0.07548657303122076,0.11420294316396934
batsman_venue_sr,"(-0.001, 117.857]",302,0.00023760347903201509,0.16476488705501777,0.03726507062771499,0.1398889457084461,0.10262387508073109
batsman_venue_sr,"(117.857, 154.167]",147,0.008374739561470165,0.16971100415332413,0.04909111742588994,0.17191596565240977,0.12282484822651982
batsman_venue_sr,"(154.167, 353.333]",146,-0.05878900111426467,0.21988788283794355,0.12162930932555775,0.1798972737321091,0.05826796440655138
