feature,importance_xgb,segment,n,method
expected_final_score,0.18405404686927795,innings_1,144340,segment_model_xgb
resource_win_prob,0.17100919783115387,innings_1,144340,segment_model_xgb
score_vs_par,0.09244268387556076,innings_1,144340,segment_model_xgb
venue_chase_success,0.05479840561747551,innings_1,144340,segment_model_xgb
situation_advantage,0.04948139563202858,innings_1,144340,segment_model_xgb
batting_team_win_rate,0.048222918063402176,innings_1,144340,segment_model_xgb
bowling_team_situation_wr,0.047918178141117096,innings_1,144340,segment_model_xgb
bowling_team_win_rate,0.046231284737586975,innings_1,144340,segment_model_xgb
batting_won_toss,0.04519636929035187,innings_1,144340,segment_model_xgb
team_strength_diff,0.04509424418210983,innings_1,144340,segment_model_xgb
projected_score,0.041902221739292145,innings_1,144340,segment_model_xgb
batting_team_situation_wr,0.04129522666335106,innings_1,144340,segment_model_xgb
pressure_index,0.02763427421450615,innings_1,144340,segment_model_xgb
projected_vs_venue_avg,0.022566236555576324,innings_1,144340,segment_model_xgb
wickets_times_balls,0.020911771804094315,innings_1,144340,segment_model_xgb
score_per_wicket,0.02002374641597271,innings_1,144340,segment_model_xgb
dls_pressure_index,0.012963728979229927,innings_1,144340,segment_model_xgb
runs_last_18,0.008035008795559406,innings_1,144340,segment_model_xgb
boundary_pct_last_18,0.005991050973534584,innings_1,144340,segment_model_xgb
runs_last_12,0.005058609414845705,innings_1,144340,segment_model_xgb
overs_remaining,0.004844320472329855,innings_1,144340,segment_model_xgb
wickets_last_12,0.0043250988237559795,innings_1,144340,segment_model_xgb
is_powerplay,0.0,innings_1,144340,segment_model_xgb
chase_difficulty,0.0,innings_1,144340,segment_model_xgb
rrr_times_wickets,0.0,innings_1,144340,segment_model_xgb
run_rate_diff,0.0,innings_1,144340,segment_model_xgb
required_run_rate,0.0,innings_1,144340,segment_model_xgb
inn1_defendability,0.0,innings_1,144340,segment_model_xgb
inn1_wickets_lost,0.0,innings_1,144340,segment_model_xgb
target_above_par,0.0,innings_1,144340,segment_model_xgb
inn1_pp_runs,0.0,innings_1,144340,segment_model_xgb
inn1_death_rr,0.0,innings_1,144340,segment_model_xgb
resource_win_prob,0.30807042121887207,innings_2,134614,segment_model_xgb
dls_pressure_index,0.2124760001897812,innings_2,134614,segment_model_xgb
score_vs_par,0.05379312112927437,innings_2,134614,segment_model_xgb
required_run_rate,0.04459991678595543,innings_2,134614,segment_model_xgb
score_per_wicket,0.025919510051608086,innings_2,134614,segment_model_xgb
run_rate_diff,0.022787855938076973,innings_2,134614,segment_model_xgb
venue_chase_success,0.020992912352085114,innings_2,134614,segment_model_xgb
target_above_par,0.020720409229397774,innings_2,134614,segment_model_xgb
is_powerplay,0.020359691232442856,innings_2,134614,segment_model_xgb
inn1_defendability,0.019933335483074188,innings_2,134614,segment_model_xgb
overs_remaining,0.019682524725794792,innings_2,134614,segment_model_xgb
chase_difficulty,0.019485801458358765,innings_2,134614,segment_model_xgb
situation_advantage,0.019247928634285927,innings_2,134614,segment_model_xgb
inn1_pp_runs,0.018295610323548317,innings_2,134614,segment_model_xgb
inn1_death_rr,0.01770661026239395,innings_2,134614,segment_model_xgb
batting_won_toss,0.017192494124174118,innings_2,134614,segment_model_xgb
team_strength_diff,0.01699555665254593,innings_2,134614,segment_model_xgb
bowling_team_win_rate,0.016335634514689445,innings_2,134614,segment_model_xgb
batting_team_win_rate,0.016251355409622192,innings_2,134614,segment_model_xgb
batting_team_situation_wr,0.015406097285449505,innings_2,134614,segment_model_xgb
bowling_team_situation_wr,0.014672040939331055,innings_2,134614,segment_model_xgb
inn1_wickets_lost,0.01347638014703989,innings_2,134614,segment_model_xgb
rrr_times_wickets,0.01075314823538065,innings_2,134614,segment_model_xgb
pressure_index,0.010383320972323418,innings_2,134614,segment_model_xgb
wickets_times_balls,0.00950609054416418,innings_2,134614,segment_model_xgb
expected_final_score,0.00771503709256649,innings_2,134614,segment_model_xgb
runs_last_18,0.004057098645716906,innings_2,134614,segment_model_xgb
wickets_last_12,0.0015045956242829561,innings_2,134614,segment_model_xgb
runs_last_12,0.000999799813143909,innings_2,134614,segment_model_xgb
boundary_pct_last_18,0.0006795920198783278,innings_2,134614,segment_model_xgb
projected_score,0.0,innings_2,134614,segment_model_xgb
projected_vs_venue_avg,0.0,innings_2,134614,segment_model_xgb
