feature,importance_xgb,segment,n,method
expected_final_score,0.23207426071166992,innings_1,23509,segment_model_xgb
resource_win_prob,0.12223237007856369,innings_1,23509,segment_model_xgb
score_vs_par,0.08860401064157486,innings_1,23509,segment_model_xgb
venue_chase_success,0.049437783658504486,innings_1,23509,segment_model_xgb
bowling_team_situation_wr,0.045366477221250534,innings_1,23509,segment_model_xgb
situation_advantage,0.04471183940768242,innings_1,23509,segment_model_xgb
bowling_team_win_rate,0.04345320537686348,innings_1,23509,segment_model_xgb
batting_team_win_rate,0.04294736683368683,innings_1,23509,segment_model_xgb
team_strength_diff,0.04240502044558525,innings_1,23509,segment_model_xgb
projected_score,0.03955820947885513,innings_1,23509,segment_model_xgb
batting_team_situation_wr,0.03946211561560631,innings_1,23509,segment_model_xgb
batting_won_toss,0.038949307054281235,innings_1,23509,segment_model_xgb
pressure_index,0.028885452076792717,innings_1,23509,segment_model_xgb
projected_vs_venue_avg,0.026376517489552498,innings_1,23509,segment_model_xgb
wickets_times_balls,0.022865310311317444,innings_1,23509,segment_model_xgb
score_per_wicket,0.021617988124489784,innings_1,23509,segment_model_xgb
overs_remaining,0.015858566388487816,innings_1,23509,segment_model_xgb
dls_pressure_index,0.014442700892686844,innings_1,23509,segment_model_xgb
runs_last_18,0.013083988800644875,innings_1,23509,segment_model_xgb
runs_last_12,0.010475337505340576,innings_1,23509,segment_model_xgb
boundary_pct_last_18,0.009397795423865318,innings_1,23509,segment_model_xgb
wickets_last_12,0.007794336881488562,innings_1,23509,segment_model_xgb
is_powerplay,0.0,innings_1,23509,segment_model_xgb
chase_difficulty,0.0,innings_1,23509,segment_model_xgb
rrr_times_wickets,0.0,innings_1,23509,segment_model_xgb
run_rate_diff,0.0,innings_1,23509,segment_model_xgb
required_run_rate,0.0,innings_1,23509,segment_model_xgb
inn1_defendability,0.0,innings_1,23509,segment_model_xgb
inn1_wickets_lost,0.0,innings_1,23509,segment_model_xgb
target_above_par,0.0,innings_1,23509,segment_model_xgb
inn1_pp_runs,0.0,innings_1,23509,segment_model_xgb
inn1_death_rr,0.0,innings_1,23509,segment_model_xgb
dls_pressure_index,0.2986309230327606,innings_2,22053,segment_model_xgb
resource_win_prob,0.2590794861316681,innings_2,22053,segment_model_xgb
score_vs_par,0.03563980758190155,innings_2,22053,segment_model_xgb
required_run_rate,0.028887121006846428,innings_2,22053,segment_model_xgb
is_powerplay,0.02841198444366455,innings_2,22053,segment_model_xgb
score_per_wicket,0.022263461723923683,innings_2,22053,segment_model_xgb
overs_remaining,0.018720341846346855,innings_2,22053,segment_model_xgb
target_above_par,0.01851796917617321,innings_2,22053,segment_model_xgb
inn1_defendability,0.017918212339282036,innings_2,22053,segment_model_xgb
batting_won_toss,0.017709752544760704,innings_2,22053,segment_model_xgb
inn1_pp_runs,0.017630495131015778,innings_2,22053,segment_model_xgb
venue_chase_success,0.01752040907740593,innings_2,22053,segment_model_xgb
situation_advantage,0.01749044470489025,innings_2,22053,segment_model_xgb
chase_difficulty,0.017097152769565582,innings_2,22053,segment_model_xgb
batting_team_win_rate,0.016591684892773628,innings_2,22053,segment_model_xgb
batting_team_situation_wr,0.01630454510450363,innings_2,22053,segment_model_xgb
team_strength_diff,0.01622571237385273,innings_2,22053,segment_model_xgb
run_rate_diff,0.015708161517977715,innings_2,22053,segment_model_xgb
bowling_team_win_rate,0.01567929983139038,innings_2,22053,segment_model_xgb
bowling_team_situation_wr,0.015516053885221481,innings_2,22053,segment_model_xgb
inn1_death_rr,0.015386160463094711,innings_2,22053,segment_model_xgb
wickets_times_balls,0.013756321743130684,innings_2,22053,segment_model_xgb
inn1_wickets_lost,0.013361391611397266,innings_2,22053,segment_model_xgb
expected_final_score,0.012542765587568283,innings_2,22053,segment_model_xgb
runs_last_18,0.010163811966776848,innings_2,22053,segment_model_xgb
rrr_times_wickets,0.008395601063966751,innings_2,22053,segment_model_xgb
boundary_pct_last_18,0.005495942663401365,innings_2,22053,segment_model_xgb
pressure_index,0.005073829088360071,innings_2,22053,segment_model_xgb
runs_last_12,0.004281234927475452,innings_2,22053,segment_model_xgb
projected_vs_venue_avg,0.0,innings_2,22053,segment_model_xgb
projected_score,0.0,innings_2,22053,segment_model_xgb
wickets_last_12,0.0,innings_2,22053,segment_model_xgb
