method,bin_low,bin_high,n,mean_predicted,mean_actual
baseline_ipl_v6_features,0.0,0.1,258,0.0704966855475932,0.2131782945736434
baseline_ipl_v6_features,0.1,0.2,307,0.14651297418917758,0.2899022801302932
baseline_ipl_v6_features,0.2,0.3,260,0.2444384172210089,0.36538461538461536
baseline_ipl_v6_features,0.3,0.4,149,0.34617275720608764,0.37583892617449666
baseline_ipl_v6_features,0.4,0.5,172,0.4528017726549449,0.6104651162790697
baseline_ipl_v6_features,0.5,0.6,241,0.551905735903573,0.6058091286307054
baseline_ipl_v6_features,0.6,0.7,210,0.6485407065631318,0.5476190476190477
baseline_ipl_v6_features,0.7,0.8,261,0.7472939310497778,0.524904214559387
baseline_ipl_v6_features,0.8,0.9,235,0.8541806929245999,0.6680851063829787
baseline_ipl_v6_features,0.9,1.0,223,0.942049764388392,0.8699551569506726
mc_standalone_calibrated,0.0,0.1,114,0.041909870907363714,0.07894736842105263
mc_standalone_calibrated,0.1,0.2,109,0.15184449949498452,0.42201834862385323
mc_standalone_calibrated,0.2,0.3,176,0.25557408198255654,0.42045454545454547
mc_standalone_calibrated,0.3,0.4,517,0.3584944893548143,0.379110251450677
mc_standalone_calibrated,0.4,0.5,448,0.4435368321577627,0.43080357142857145
mc_standalone_calibrated,0.5,0.6,276,0.5459959572933355,0.5362318840579711
mc_standalone_calibrated,0.6,0.7,226,0.649339795169761,0.6106194690265486
mc_standalone_calibrated,0.7,0.8,169,0.7507663230099599,0.6686390532544378
mc_standalone_calibrated,0.8,0.9,127,0.8427847820376126,0.6141732283464567
mc_standalone_calibrated,0.9,1.0,154,0.9732852322632989,1.0
ml_add_mc_gap_features,0.0,0.1,257,0.06694567781556526,0.19844357976653695
ml_add_mc_gap_features,0.1,0.2,296,0.14968259877884962,0.2905405405405405
ml_add_mc_gap_features,0.2,0.3,255,0.24621929950670746,0.3333333333333333
ml_add_mc_gap_features,0.3,0.4,182,0.3469221408828018,0.41208791208791207
ml_add_mc_gap_features,0.4,0.5,155,0.452142329732512,0.5483870967741935
ml_add_mc_gap_features,0.5,0.6,223,0.5477237908391313,0.6457399103139013
ml_add_mc_gap_features,0.6,0.7,226,0.653466274698987,0.5973451327433629
ml_add_mc_gap_features,0.7,0.8,252,0.7480659509838107,0.5119047619047619
ml_add_mc_gap_features,0.8,0.9,248,0.8551865304256573,0.6774193548387096
ml_add_mc_gap_features,0.9,1.0,222,0.9442157061992266,0.8603603603603603
