method,split,segment,n,brier,ece,log_loss
baseline_ipl_v6_features,oof_fold_1,overall,579,0.223201882526543,0.15177601332533147,0.6679107542139562
baseline_ipl_v6_features,oof_fold_1,innings_1,304,0.2419591002955407,0.18551194357647466,0.7160575328515593
baseline_ipl_v6_features,oof_fold_1,innings_1_powerplay,80,0.23692789427115973,0.1907912220106126,0.741560512767738
baseline_ipl_v6_features,oof_fold_1,innings_1_middle,144,0.23162194810602588,0.1827157357663643,0.6722467254925042
baseline_ipl_v6_features,oof_fold_1,innings_1_death,80,0.2655971802610484,0.25022697595684246,0.7694140061816797
baseline_ipl_v6_features,oof_fold_1,innings_2,275,0.20246663088372374,0.194771382689332,0.6146866789200242
baseline_ipl_v6_features,oof_fold_1,innings_2_powerplay,80,0.22708891201186007,0.22461589131375478,0.6980435366936039
baseline_ipl_v6_features,oof_fold_1,innings_2_middle,134,0.19099890652903329,0.18642823681581044,0.5676200406016021
baseline_ipl_v6_features,oof_fold_1,innings_2_death,61,0.19536650913417639,0.23961931127867725,0.6087584971623551
mc_standalone_calibrated,oof_fold_1,overall,579,0.26112330983602167,0.17799309083346443,0.725828900041036
mc_standalone_calibrated,oof_fold_1,innings_1,304,0.308467345347533,0.21771543515882932,0.8428043065283012
mc_standalone_calibrated,oof_fold_1,innings_1_powerplay,80,0.3295933925737777,0.2635665198795802,0.8749415522488416
mc_standalone_calibrated,oof_fold_1,innings_1_middle,144,0.28984201326873454,0.17470578163548886,0.8028511283162638
mc_standalone_calibrated,oof_fold_1,innings_1_death,80,0.3208668958631256,0.2539464211646477,0.8825827815894283
mc_standalone_calibrated,oof_fold_1,innings_2,275,0.20878663057966007,0.18515303414038475,0.5965179052332955
mc_standalone_calibrated,oof_fold_1,innings_2_powerplay,80,0.3238879202394091,0.3004674152993947,0.891002512671568
mc_standalone_calibrated,oof_fold_1,innings_2_middle,134,0.18287872883399764,0.1766938988742574,0.5243115337707551
mc_standalone_calibrated,oof_fold_1,innings_2_death,61,0.11474655945078868,0.09956022708453753,0.3689258590188468
ml_add_mc_win_prob,oof_fold_1,overall,579,0.21596689511016967,0.13055341763070785,0.6469157583953927
ml_add_mc_win_prob,oof_fold_1,innings_1,304,0.2417134512322645,0.20620502386373318,0.7148130083118106
ml_add_mc_win_prob,oof_fold_1,innings_1_powerplay,80,0.23789395005299255,0.21339579754533178,0.7474765942329794
ml_add_mc_win_prob,oof_fold_1,innings_1_middle,144,0.23065000949761746,0.22014664729981878,0.6657116342514733
ml_add_mc_win_prob,oof_fold_1,innings_1_death,80,0.2654471475339012,0.2588177511399385,0.7705318956992488
ml_add_mc_win_prob,oof_fold_1,innings_2,275,0.18750524761519938,0.17556403725830658,0.5718584348514256
ml_add_mc_win_prob,oof_fold_1,innings_2_powerplay,80,0.2170370066089145,0.22709461612210388,0.6573383026162742
ml_add_mc_win_prob,oof_fold_1,innings_2_middle,134,0.17538355210622159,0.14604505451252067,0.5262371211800851
ml_add_mc_win_prob,oof_fold_1,innings_2_death,61,0.1754030587415241,0.2327078774751501,0.5599710022411256
ml_add_mc_gap_features,oof_fold_1,overall,579,0.21893779079522208,0.1308276238243276,0.6565124864335314
ml_add_mc_gap_features,oof_fold_1,innings_1,304,0.23931553128270602,0.19661156614935502,0.7062771643534445
ml_add_mc_gap_features,oof_fold_1,innings_1_powerplay,80,0.23604772850974315,0.21036210073460407,0.7429880968908075
ml_add_mc_gap_features,oof_fold_1,innings_1_middle,144,0.22852508218790224,0.2103732068640225,0.6585604761721563
ml_add_mc_gap_features,oof_fold_1,innings_1_death,80,0.2620061424263159,0.2434280113315949,0.7554562705424003
ml_add_mc_gap_features,oof_fold_1,innings_2,275,0.19641112494723983,0.1860440937955551,0.6014998970238821
ml_add_mc_gap_features,oof_fold_1,innings_2_powerplay,80,0.2291633904737746,0.23753671019041708,0.6974388423608071
ml_add_mc_gap_features,oof_fold_1,innings_2_middle,134,0.18482495601149837,0.16603025550894798,0.5561765529634068
ml_add_mc_gap_features,oof_fold_1,innings_2_death,61,0.1789089183122657,0.19418380638023164,0.575241085173877
ml_replace_resource_with_mc,oof_fold_1,overall,579,0.22061755200866812,0.1401910800688688,0.6573076480636953
ml_replace_resource_with_mc,oof_fold_1,innings_1,304,0.24361180670857605,0.21551274290357933,0.7177837369438088
ml_replace_resource_with_mc,oof_fold_1,innings_1_powerplay,80,0.24017908782209801,0.20608002088681654,0.7520616717863925
ml_replace_resource_with_mc,oof_fold_1,innings_1_middle,144,0.23287149128424417,0.2303186218273443,0.669529398571735
ml_replace_resource_with_mc,oof_fold_1,innings_1_death,80,0.2663770933588516,0.280710211121564,0.7703636111709586
ml_replace_resource_with_mc,oof_fold_1,innings_2,275,0.19519844863131533,0.18004281832152952,0.5904540807198607
ml_replace_resource_with_mc,oof_fold_1,innings_2_powerplay,80,0.2219848380009096,0.23034623012312083,0.6700456567013235
ml_replace_resource_with_mc,oof_fold_1,innings_2_middle,134,0.1867550331410141,0.14939923967600965,0.5549998747325013
ml_replace_resource_with_mc,oof_fold_1,innings_2_death,61,0.17861658840398464,0.18983625264935222,0.5639546958639446
ml_clean_swap_resource,oof_fold_1,overall,579,0.22412598537079031,0.15112039773619398,0.6669252119463792
ml_clean_swap_resource,oof_fold_1,innings_1,304,0.24242448087028726,0.20253471427660105,0.7127491506917555
ml_clean_swap_resource,oof_fold_1,innings_1_powerplay,80,0.23660802865762748,0.18668378589360296,0.7399165850527422
ml_clean_swap_resource,oof_fold_1,innings_1_middle,144,0.23142144127961511,0.22191453810799167,0.6662724599567731
ml_clean_swap_resource,oof_fold_1,innings_1_death,80,0.2680464043461569,0.2541779630552487,0.7692397596537369
ml_clean_swap_resource,oof_fold_1,innings_2,275,0.20389783034589185,0.18016530970031225,0.6162689305696724
ml_clean_swap_resource,oof_fold_1,innings_2_powerplay,80,0.2287656726852027,0.20759746206516894,0.6946691452512226
ml_clean_swap_resource,oof_fold_1,innings_2_middle,134,0.1952050115945727,0.1659941187202583,0.5810976183982094
ml_clean_swap_resource,oof_fold_1,innings_2_death,61,0.19037996683002115,0.19357427928530369,0.5907105478885576
baseline_ipl_v6_features,oof_fold_2,overall,579,0.2980946030702219,0.23772022295725856,0.8347612120923508
baseline_ipl_v6_features,oof_fold_2,innings_1,302,0.3478780448929381,0.3352867581080957,0.9408362868576445
baseline_ipl_v6_features,oof_fold_2,innings_1_powerplay,80,0.3203416020703179,0.2885837645923618,0.8596071522311778
baseline_ipl_v6_features,oof_fold_2,innings_1_middle,144,0.3538353434634243,0.3466560621922381,0.9599497809552943
baseline_ipl_v6_features,oof_fold_2,innings_1_death,78,0.36512246068344556,0.378476053876869,0.9888617691660516
baseline_ipl_v6_features,oof_fold_2,innings_2,277,0.24381807083029314,0.16122739114320433,0.7191125746226081
baseline_ipl_v6_features,oof_fold_2,innings_2_powerplay,80,0.3537183939309888,0.3229014079333637,1.0090534071626402
baseline_ipl_v6_features,oof_fold_2,innings_2_middle,135,0.21181087087197487,0.1582076513690894,0.6383765845420701
baseline_ipl_v6_features,oof_fold_2,innings_2_death,62,0.1717042989967014,0.1503453596694274,0.5207914787785761
mc_standalone_calibrated,oof_fold_2,overall,579,0.21048232443650547,0.06178797273286438,0.5935652636990872
mc_standalone_calibrated,oof_fold_2,innings_1,302,0.23758360542813906,0.11781803128303166,0.6672142842826301
mc_standalone_calibrated,oof_fold_2,innings_1_powerplay,80,0.22751403199542658,0.027861495848573628,0.6467913160952501
mc_standalone_calibrated,oof_fold_2,innings_1_middle,144,0.23853979070695303,0.16786607704151268,0.6686352915518161
mc_standalone_calibrated,oof_fold_2,innings_1_death,78,0.24614610792131578,0.17616958291453794,0.6855375202855482
mc_standalone_calibrated,oof_fold_2,innings_2,277,0.18093507945645732,0.13639128057224206,0.5132692195971739
mc_standalone_calibrated,oof_fold_2,innings_2_powerplay,80,0.24204558022519357,0.27094554538683796,0.6779384048977415
mc_standalone_calibrated,oof_fold_2,innings_2_middle,135,0.1717308100564762,0.1193152275708456,0.48625627418218714
mc_standalone_calibrated,oof_fold_2,innings_2_death,62,0.12212437473869216,0.1575413391077338,0.35961136164520313
ml_add_mc_win_prob,oof_fold_2,overall,579,0.2866102519644191,0.22076864347812603,0.8053853685516076
ml_add_mc_win_prob,oof_fold_2,innings_1,302,0.3436007934353595,0.3107336812234639,0.9326343399673084
ml_add_mc_win_prob,oof_fold_2,innings_1_powerplay,80,0.318980634214296,0.29779191475672306,0.8604764887789838
ml_add_mc_win_prob,oof_fold_2,innings_1_middle,144,0.3527110538679573,0.3369989435461035,0.9579600732373762
ml_add_mc_win_prob,oof_fold_2,innings_1_death,78,0.35203329645319265,0.3386257332895891,0.9598871925849523
ml_add_mc_win_prob,oof_fold_2,innings_2,277,0.22447615981920607,0.16058902180138893,0.6666518329287134
ml_add_mc_win_prob,oof_fold_2,innings_2_powerplay,80,0.3240777323477628,0.2810906803116644,0.9271615364527506
ml_add_mc_win_prob,oof_fold_2,innings_2_middle,135,0.19737424858326422,0.15557532145265113,0.5987789815347236
ml_add_mc_win_prob,oof_fold_2,innings_2_death,62,0.15497022779610278,0.14970947563651485,0.47829794028783706
ml_add_mc_gap_features,oof_fold_2,overall,579,0.297862476269191,0.22194533027155267,0.8347831458378598
ml_add_mc_gap_features,oof_fold_2,innings_1,302,0.34576875928145423,0.3051554497882806,0.9352837112929603
ml_add_mc_gap_features,oof_fold_2,innings_1_powerplay,80,0.3223806576000775,0.29800576636899373,0.8650473991468968
ml_add_mc_gap_features,oof_fold_2,innings_1_middle,144,0.3519427213989321,0.31274896507519623,0.9542202856964861
ml_add_mc_gap_features,oof_fold_2,innings_1_death,78,0.35835847196854803,0.3361729284259952,0.9723611248516448
ml_add_mc_gap_features,oof_fold_2,innings_2,277,0.24563252150491838,0.1792683536275058,0.7252121322369921
ml_add_mc_gap_features,oof_fold_2,innings_2_powerplay,80,0.3505577754186855,0.32541888523864876,1.0006385728271976
ml_add_mc_gap_features,oof_fold_2,innings_2_middle,135,0.218527827230693,0.15545297376111225,0.6580709656799669
ml_add_mc_gap_features,oof_fold_2,innings_2_death,62,0.16926338301974175,0.16794964591009012,0.5160176522044434
ml_replace_resource_with_mc,oof_fold_2,overall,579,0.28711413637999494,0.21772416172736922,0.8048830726835718
ml_replace_resource_with_mc,oof_fold_2,innings_1,302,0.3443290737853351,0.3152389563050575,0.9339876193574642
ml_replace_resource_with_mc,oof_fold_2,innings_1_powerplay,80,0.3213746660842388,0.2961935707559549,0.8666821813730159
ml_replace_resource_with_mc,oof_fold_2,innings_1_middle,144,0.35250337381241026,0.34402119263323516,0.9574818781780515
ml_replace_resource_with_mc,oof_fold_2,innings_1_death,78,0.3527810406082694,0.34109713642368433,0.9596448215188906
ml_replace_resource_with_mc,oof_fold_2,innings_2,277,0.22473539595973246,0.1431382445068345,0.6641264911113138
ml_replace_resource_with_mc,oof_fold_2,innings_2_powerplay,80,0.3247771537585572,0.2799012715675905,0.9191039552327223
ml_replace_resource_with_mc,oof_fold_2,innings_2_middle,135,0.19804922725777094,0.15749737629114777,0.5999148365166266
ml_replace_resource_with_mc,oof_fold_2,innings_2_death,62,0.15375623710261674,0.10190149516824762,0.474939011120509
ml_clean_swap_resource,oof_fold_2,overall,579,0.29638233295939426,0.2309526132721407,0.82882925662551
ml_clean_swap_resource,oof_fold_2,innings_1,302,0.34547691592501784,0.3155004629388154,0.9354946904202671
ml_clean_swap_resource,oof_fold_2,innings_1_powerplay,80,0.3259514001054886,0.29334811071510913,0.8747742682290953
ml_clean_swap_resource,oof_fold_2,innings_1_middle,144,0.34967540076301123,0.31976387135219436,0.9506526773523388
ml_clean_swap_resource,oof_fold_2,innings_1_death,78,0.35775203706464986,0.33754139752252255,0.9697880706391828
ml_clean_swap_resource,oof_fold_2,innings_2,277,0.2428568309535518,0.16112981000937102,0.7125369786254497
ml_clean_swap_resource,oof_fold_2,innings_2_powerplay,80,0.3463811337557733,0.30082139053232676,0.9860083135576069
ml_clean_swap_resource,oof_fold_2,innings_2_middle,135,0.2142726132135068,0.1350742083825922,0.6399588214739613
ml_clean_swap_resource,oof_fold_2,innings_2_death,62,0.1715169143523965,0.14564131674066144,0.5177038241234881
baseline_ipl_v6_features,oof_fold_3,overall,579,0.1922041848238904,0.10887061801074634,0.5660707915398313
baseline_ipl_v6_features,oof_fold_3,innings_1,306,0.1820137378138232,0.11615754783647557,0.5415335126979117
baseline_ipl_v6_features,oof_fold_3,innings_1_powerplay,85,0.20274669560067587,0.12162014154158873,0.5900603571000601
baseline_ipl_v6_features,oof_fold_3,innings_1_middle,147,0.17741918406531731,0.12010087272663313,0.5301558367135099
baseline_ipl_v6_features,oof_fold_3,innings_1_death,74,0.16732587280230826,0.15981031736130896,0.5083948180428368
baseline_ipl_v6_features,oof_fold_3,innings_2,273,0.20362644410989977,0.14417470115276565,0.5935741150769279
baseline_ipl_v6_features,oof_fold_3,innings_2_powerplay,80,0.18717284445955815,0.15071599256808,0.5502465992975851
baseline_ipl_v6_features,oof_fold_3,innings_2_middle,133,0.22207275468256768,0.1757591217196044,0.6424006125465909
