method,bin_low,bin_high,n,mean_predicted,mean_actual
baseline_ipl_v6_features,0.0,0.1,258,0.0704966855475932,0.2131782945736434
baseline_ipl_v6_features,0.1,0.2,307,0.14651297418917758,0.2899022801302932
baseline_ipl_v6_features,0.2,0.3,260,0.2444384172210089,0.36538461538461536
baseline_ipl_v6_features,0.3,0.4,149,0.34617275720608764,0.37583892617449666
baseline_ipl_v6_features,0.4,0.5,172,0.4528017726549449,0.6104651162790697
baseline_ipl_v6_features,0.5,0.6,241,0.551905735903573,0.6058091286307054
baseline_ipl_v6_features,0.6,0.7,210,0.6485407065631318,0.5476190476190477
baseline_ipl_v6_features,0.7,0.8,261,0.7472939310497778,0.524904214559387
baseline_ipl_v6_features,0.8,0.9,235,0.8541806929245999,0.6680851063829787
baseline_ipl_v6_features,0.9,1.0,223,0.942049764388392,0.8699551569506726
mc_standalone_calibrated,0.0,0.1,114,0.043383215374147695,0.07894736842105263
mc_standalone_calibrated,0.1,0.2,112,0.1520992267981069,0.41964285714285715
mc_standalone_calibrated,0.2,0.3,176,0.25630504051078734,0.4147727272727273
mc_standalone_calibrated,0.3,0.4,514,0.3588279861930988,0.3852140077821012
mc_standalone_calibrated,0.4,0.5,444,0.4431218816458958,0.42567567567567566
mc_standalone_calibrated,0.5,0.6,276,0.5446705015520804,0.5434782608695652
mc_standalone_calibrated,0.6,0.7,229,0.6486767427784534,0.6026200873362445
mc_standalone_calibrated,0.7,0.8,171,0.7498849511167779,0.672514619883041
mc_standalone_calibrated,0.8,0.9,125,0.8417804944449987,0.6
mc_standalone_calibrated,0.9,1.0,155,0.9724613979822572,1.0
ml_add_mc_gap_features,0.0,0.1,249,0.0659942817933096,0.1927710843373494
ml_add_mc_gap_features,0.1,0.2,293,0.14725157577124545,0.2901023890784983
ml_add_mc_gap_features,0.2,0.3,263,0.24629242853184147,0.33460076045627374
ml_add_mc_gap_features,0.3,0.4,175,0.34497468025258726,0.38285714285714284
ml_add_mc_gap_features,0.4,0.5,169,0.4525834288531435,0.591715976331361
ml_add_mc_gap_features,0.5,0.6,230,0.549854738355324,0.6173913043478261
ml_add_mc_gap_features,0.6,0.7,218,0.655617742231976,0.6100917431192661
ml_add_mc_gap_features,0.7,0.8,244,0.746962092263762,0.5081967213114754
ml_add_mc_gap_features,0.8,0.9,253,0.8530288414867325,0.6758893280632411
ml_add_mc_gap_features,0.9,1.0,222,0.9443028065659435,0.8603603603603603
