method,split,segment,n,brier,ece,log_loss,baseline_brier_delta,baseline_ece_delta,baseline_log_loss_delta
baseline_ipl_v6_features,oof_overall,overall,2316,0.23255812251582458,0.12774364429197085,0.6704737436942474,0.0,0.0,0.0
baseline_ipl_v6_features,oof_overall,innings_1,1208,0.265405085159047,0.16952757238383664,0.7468244874209825,0.0,0.0,0.0
baseline_ipl_v6_features,oof_overall,innings_1_powerplay,320,0.2670617152098208,0.1676419866840428,0.7538317132913799,0.0,0.0,0.0
baseline_ipl_v6_features,oof_overall,innings_1_middle,576,0.2641156104743889,0.16501767389165875,0.7412734892450502,0.0,0.0,0.0
baseline_ipl_v6_features,oof_overall,innings_1_death,312,0.26608654606326304,0.18030576604647108,0.7498855857248603,0.0,0.0,0.0
baseline_ipl_v6_features,oof_overall,innings_2,1108,0.19674663255823197,0.09226519990823102,0.5872321386203339,0.0,0.0,0.0
baseline_ipl_v6_features,oof_overall,innings_2_powerplay,320,0.24119164808050506,0.17131827791921195,0.7078002321332326,0.0,0.0,0.0
baseline_ipl_v6_features,oof_overall,innings_2_middle,542,0.18698072045074468,0.08619368344734135,0.5595661136189389,0.0,0.0,0.0
baseline_ipl_v6_features,oof_overall,innings_2_death,246,0.160448743920552,0.10756679330031979,0.4913508200293926,0.0,0.0,0.0
mc_standalone_calibrated,oof_overall,overall,2316,0.22402020198213818,0.062168518998286,0.6330123659648923,-0.008538,-0.065575,-0.037461
mc_standalone_calibrated,oof_overall,innings_1,1208,0.25727993899547486,0.07725078916690548,0.7154883294503764,-0.008125,-0.092277,-0.031336
mc_standalone_calibrated,oof_overall,innings_1_powerplay,320,0.2673931535948899,0.10374818986316897,0.7337126144281758,0.000331,-0.063894,-0.020119
mc_standalone_calibrated,oof_overall,innings_1_middle,576,0.25192353018283486,0.07714637590157436,0.7035158710353914,-0.012192,-0.087871,-0.037758
mc_standalone_calibrated,oof_overall,innings_1_death,312,0.2567961659322306,0.09717351095316297,0.7188997552649139,-0.00929,-0.083132,-0.030986
mc_standalone_calibrated,oof_overall,innings_2,1108,0.18775868364990833,0.09415932164492168,0.5430927234644727,-0.008988,0.001894,-0.044139
mc_standalone_calibrated,oof_overall,innings_2_powerplay,320,0.24690260413479917,0.20713321594215936,0.6953120274970462,0.005711,0.035815,-0.012488
mc_standalone_calibrated,oof_overall,innings_2_middle,542,0.17882727984793012,0.07611812290504763,0.5147406165800901,-0.008153,-0.010076,-0.044825
mc_standalone_calibrated,oof_overall,innings_2_death,246,0.1305016361113194,0.09215041907640344,0.40755070980964286,-0.029947,-0.015416,-0.0838
ml_add_mc_win_prob,oof_overall,overall,2316,0.22688335403487025,0.10015881609853113,0.6565928655568847,-0.005675,-0.027585,-0.013881
ml_add_mc_win_prob,oof_overall,innings_1,1208,0.26670622806173544,0.158467156954895,0.7527753776986812,0.001301,-0.01106,0.005951
ml_add_mc_win_prob,oof_overall,innings_1_powerplay,320,0.2752968162080661,0.17183732846557465,0.7753000906513718,0.008235,0.004195,0.021468
ml_add_mc_win_prob,oof_overall,innings_1_middle,576,0.2646717670597335,0.1561929771984097,0.7446199431619169,0.000556,-0.008825,0.003346
ml_add_mc_win_prob,oof_overall,innings_1_death,312,0.2616512964281693,0.1574832812136144,0.7447292948407167,-0.004435,-0.022822,-0.005156
ml_add_mc_win_prob,oof_overall,innings_2,1108,0.18346635780341433,0.06947638060156162,0.5517296212723268,-0.01328,-0.022789,-0.035503
ml_add_mc_win_prob,oof_overall,innings_2_powerplay,320,0.22431990465253424,0.12165778772008123,0.6614806720455793,-0.016872,-0.04966,-0.04632
ml_add_mc_win_prob,oof_overall,innings_2_middle,542,0.17571717923576902,0.06509374660907079,0.5288804448456714,-0.011264,-0.0211,-0.030686
ml_add_mc_win_prob,oof_overall,innings_2_death,246,0.14739692606335492,0.08634692893882973,0.45930652117397885,-0.013052,-0.02122,-0.032044
ml_add_mc_gap_features,oof_overall,overall,2316,0.22883835358935892,0.1194283112010589,0.6620008118515802,-0.00372,-0.008315,-0.008473
ml_add_mc_gap_features,oof_overall,innings_1,1208,0.2627572215256447,0.17173241777381384,0.7409970906777406,-0.002648,0.002205,-0.005827
