method,split,segment,n,brier,ece,log_loss
baseline_ipl_v6_features,oof_fold_1,overall,579,0.223201882526543,0.15177601332533147,0.6679107542139562
baseline_ipl_v6_features,oof_fold_1,innings_1,304,0.2419591002955407,0.18551194357647466,0.7160575328515593
baseline_ipl_v6_features,oof_fold_1,innings_1_powerplay,80,0.23692789427115973,0.1907912220106126,0.741560512767738
baseline_ipl_v6_features,oof_fold_1,innings_1_middle,144,0.23162194810602588,0.1827157357663643,0.6722467254925042
baseline_ipl_v6_features,oof_fold_1,innings_1_death,80,0.2655971802610484,0.25022697595684246,0.7694140061816797
baseline_ipl_v6_features,oof_fold_1,innings_2,275,0.20246663088372374,0.194771382689332,0.6146866789200242
baseline_ipl_v6_features,oof_fold_1,innings_2_powerplay,80,0.22708891201186007,0.22461589131375478,0.6980435366936039
baseline_ipl_v6_features,oof_fold_1,innings_2_middle,134,0.19099890652903329,0.18642823681581044,0.5676200406016021
baseline_ipl_v6_features,oof_fold_1,innings_2_death,61,0.19536650913417639,0.23961931127867725,0.6087584971623551
mc_standalone_calibrated,oof_fold_1,overall,579,0.26071137338485534,0.18254775418326208,0.7253151517076131
mc_standalone_calibrated,oof_fold_1,innings_1,304,0.3079629102504892,0.22051484849436478,0.8415118672589852
mc_standalone_calibrated,oof_fold_1,innings_1_powerplay,80,0.32918597916622244,0.26329260338446037,0.8741421857897601
mc_standalone_calibrated,oof_fold_1,innings_1_middle,144,0.2891564012995246,0.18229385122108624,0.8012041996806883
mc_standalone_calibrated,oof_fold_1,innings_1_death,80,0.3205915574464925,0.2534520642338981,0.881435350369145
mc_standalone_calibrated,oof_fold_1,innings_2,275,0.20847694717702733,0.1896121921556777,0.5968649643344597
mc_standalone_calibrated,oof_fold_1,innings_2_powerplay,80,0.3248172807321864,0.3028203456618885,0.8942711223194951
mc_standalone_calibrated,oof_fold_1,innings_2_middle,134,0.1826091315155651,0.1783584294304464,0.5236490591613653
mc_standalone_calibrated,oof_fold_1,innings_2_death,61,0.11272384249216208,0.11525599112256704,0.3676590406359647
ml_add_mc_win_prob,oof_fold_1,overall,579,0.21660918613491253,0.13763874165554058,0.6491584017501459
ml_add_mc_win_prob,oof_fold_1,innings_1,304,0.243058552098161,0.21196175555261942,0.7180658893868429
ml_add_mc_win_prob,oof_fold_1,innings_1_powerplay,80,0.2384271287095229,0.2138511134630329,0.7506941508173155
ml_add_mc_win_prob,oof_fold_1,innings_1_middle,144,0.23188632393348277,0.2304820107900035,0.6684993035591442
ml_add_mc_win_prob,oof_fold_1,innings_1_death,80,0.26779998618321993,0.25849598406249447,0.7746574824462282
ml_add_mc_win_prob,oof_fold_1,innings_2,275,0.18737061430644877,0.16857502253948517,0.5729843063263064
ml_add_mc_win_prob,oof_fold_1,innings_2_powerplay,80,0.21617412352428786,0.2038701243679518,0.6566560499105707
ml_add_mc_win_prob,oof_fold_1,innings_2_middle,134,0.17542343776067618,0.14546853892668693,0.5277148380087701
ml_add_mc_win_prob,oof_fold_1,innings_2_death,61,0.1758401375803241,0.22298860764620979,0.5626952779297281
ml_add_mc_gap_features,oof_fold_1,overall,579,0.21887435479937586,0.13525318332059166,0.655347242030491
ml_add_mc_gap_features,oof_fold_1,innings_1,304,0.24176673391439954,0.20392243144152664,0.7109598582517874
ml_add_mc_gap_features,oof_fold_1,innings_1_powerplay,80,0.23583999742585887,0.19444246474142032,0.7417983153425737
ml_add_mc_gap_features,oof_fold_1,innings_1_middle,144,0.23040232103099495,0.2114714013419681,0.6617174946047274
ml_add_mc_gap_features,oof_fold_1,innings_1_death,80,0.2681494135930683,0.26801081945582517,0.7687576557257094
ml_add_mc_gap_features,oof_fold_1,innings_2,275,0.19356787025040428,0.17657462847749572,0.5938700226440395
ml_add_mc_gap_features,oof_fold_1,innings_2_powerplay,80,0.22790177429531502,0.24262333049387946,0.6929234342402062
ml_add_mc_gap_features,oof_fold_1,innings_2_middle,134,0.1815465554215785,0.1571707410601405,0.5472691131110052
ml_add_mc_gap_features,oof_fold_1,innings_2_death,61,0.17494727784826963,0.19060518191070905,0.566333120180651
ml_replace_resource_with_mc,oof_fold_1,overall,579,0.2195160228145117,0.13518743796037241,0.6540088050302351
ml_replace_resource_with_mc,oof_fold_1,innings_1,304,0.24617084785483256,0.2223128117551715,0.7229207860074588
ml_replace_resource_with_mc,oof_fold_1,innings_1_powerplay,80,0.24008044892505356,0.20627189002017182,0.7531305139490723
ml_replace_resource_with_mc,oof_fold_1,innings_1_middle,144,0.23540506970318584,0.23415944452548337,0.6746102828766776
ml_replace_resource_with_mc,oof_fold_1,innings_1_death,80,0.27163964745757563,0.30227525109342424,0.7796699637012507
ml_replace_resource_with_mc,oof_fold_1,innings_2,275,0.19005032531539345,0.1764497155346142,0.5778297424226861
ml_replace_resource_with_mc,oof_fold_1,innings_2_powerplay,80,0.2173081886419478,0.22488626881147894,0.6582516580374365
ml_replace_resource_with_mc,oof_fold_1,innings_2_middle,134,0.18188866637019085,0.14821030261506501,0.5427771221831192
ml_replace_resource_with_mc,oof_fold_1,innings_2_death,61,0.1722311979798655,0.1887802668600763,0.5493592155853406
ml_clean_swap_resource,oof_fold_1,overall,579,0.22186324634336507,0.1435088505899031,0.6607163128723054
ml_clean_swap_resource,oof_fold_1,innings_1,304,0.2422687282736767,0.21149790190277387,0.7115310194278162
ml_clean_swap_resource,oof_fold_1,innings_1_powerplay,80,0.2356415702576064,0.21929447949108075,0.7373435848129603
ml_clean_swap_resource,oof_fold_1,innings_1_middle,144,0.23101787265336546,0.22150295353564178,0.6645884556983269
ml_clean_swap_resource,oof_fold_1,innings_1_death,80,0.2691474264063071,0.25943356396420775,0.7702150687557529
ml_clean_swap_resource,oof_fold_1,innings_2,275,0.19930591359131147,0.1744922019385509,0.604542964534577
ml_clean_swap_resource,oof_fold_1,innings_2_powerplay,80,0.22447075632028451,0.1969323044108376,0.6814502569283227
ml_clean_swap_resource,oof_fold_1,innings_2_middle,134,0.19073531132802357,0.16254469003921457,0.5697834277651191
ml_clean_swap_resource,oof_fold_1,innings_2_death,61,0.1851300658038153,0.1896319972900224,0.580037956921588
baseline_ipl_v6_features,oof_fold_2,overall,579,0.2980946030702219,0.23772022295725856,0.8347612120923508
baseline_ipl_v6_features,oof_fold_2,innings_1,302,0.3478780448929381,0.3352867581080957,0.9408362868576445
baseline_ipl_v6_features,oof_fold_2,innings_1_powerplay,80,0.3203416020703179,0.2885837645923618,0.8596071522311778
baseline_ipl_v6_features,oof_fold_2,innings_1_middle,144,0.3538353434634243,0.3466560621922381,0.9599497809552943
baseline_ipl_v6_features,oof_fold_2,innings_1_death,78,0.36512246068344556,0.378476053876869,0.9888617691660516
baseline_ipl_v6_features,oof_fold_2,innings_2,277,0.24381807083029314,0.16122739114320433,0.7191125746226081
baseline_ipl_v6_features,oof_fold_2,innings_2_powerplay,80,0.3537183939309888,0.3229014079333637,1.0090534071626402
baseline_ipl_v6_features,oof_fold_2,innings_2_middle,135,0.21181087087197487,0.1582076513690894,0.6383765845420701
baseline_ipl_v6_features,oof_fold_2,innings_2_death,62,0.1717042989967014,0.1503453596694274,0.5207914787785761
mc_standalone_calibrated,oof_fold_2,overall,579,0.21078982214149358,0.0706116446930916,0.5941913220610454
mc_standalone_calibrated,oof_fold_2,innings_1,302,0.2375295882947797,0.12090028649869715,0.6670689039834605
mc_standalone_calibrated,oof_fold_2,innings_1_powerplay,80,0.22718161208169194,0.028295663953873895,0.6460418001588648
mc_standalone_calibrated,oof_fold_2,innings_1_middle,144,0.23834050839072685,0.16810580338354172,0.6682105693802873
mc_standalone_calibrated,oof_fold_2,innings_1_death,78,0.24664581397722385,0.17632896453743546,0.6865274743530067
mc_standalone_calibrated,oof_fold_2,innings_2,277,0.18163671969278455,0.13800017343699822,0.5147363410481596
mc_standalone_calibrated,oof_fold_2,innings_2_powerplay,80,0.24331894589787267,0.27206972218290837,0.6808465934972332
mc_standalone_calibrated,oof_fold_2,innings_2_middle,135,0.17192981076411587,0.1181648292383008,0.48597791447922684
mc_standalone_calibrated,oof_fold_2,innings_2_death,62,0.12318276177283641,0.1346544814171222,0.36301968606235385
ml_add_mc_win_prob,oof_fold_2,overall,579,0.28580661061822177,0.21191824884948252,0.8019923279376551
ml_add_mc_win_prob,oof_fold_2,innings_1,302,0.34337117868658157,0.3041106341691814,0.9312819459426132
ml_add_mc_win_prob,oof_fold_2,innings_1_powerplay,80,0.32028075884195745,0.29777399700801255,0.8632025630844484
ml_add_mc_win_prob,oof_fold_2,innings_1_middle,144,0.35188315803191766,0.339800133041907,0.9553510878692555
ml_add_mc_win_prob,oof_fold_2,innings_1_death,78,0.3513392371717295,0.350932502648144,0.956671615060776
ml_add_mc_win_prob,oof_fold_2,innings_2,277,0.22304668442094863,0.1460324169035109,0.661033971845607
ml_add_mc_win_prob,oof_fold_2,innings_2_powerplay,80,0.32297646289334647,0.29451802291766366,0.9215073618294628
ml_add_mc_win_prob,oof_fold_2,innings_2_middle,135,0.19564970696419218,0.15378308330583743,0.5918840414959741
ml_add_mc_win_prob,oof_fold_2,innings_2_death,62,0.15375974375756624,0.16191360297695548,0.4755076718212838
ml_add_mc_gap_features,oof_fold_2,overall,579,0.29561952033308286,0.21916565275371677,0.8300349052034195
ml_add_mc_gap_features,oof_fold_2,innings_1,302,0.34226610315279477,0.29821826875646323,0.9284058521898907
ml_add_mc_gap_features,oof_fold_2,innings_1_powerplay,80,0.3198033884710851,0.2870754541294259,0.8590605399909889
ml_add_mc_gap_features,oof_fold_2,innings_1_middle,144,0.3472806263849619,0.3114613055885815,0.9453643012189133
ml_add_mc_gap_features,oof_fold_2,innings_1_death,78,0.3560472035259321,0.32875791182672476,0.9682213434172352
ml_add_mc_gap_features,oof_fold_2,innings_2,277,0.24476295711448007,0.18437342367189694,0.7227857139040899
ml_add_mc_gap_features,oof_fold_2,innings_2_powerplay,80,0.34867986928201333,0.3256721051210354,0.9956457589916304
ml_add_mc_gap_features,oof_fold_2,innings_2_middle,135,0.21729049809786868,0.16143393311652848,0.6546779593658663
ml_add_mc_gap_features,oof_fold_2,innings_2_death,62,0.17049568282157493,0.1577906363376725,0.519007379317912
ml_replace_resource_with_mc,oof_fold_2,overall,579,0.28623220304076524,0.22115343364575504,0.8021236251661551
ml_replace_resource_with_mc,oof_fold_2,innings_1,302,0.34401492057961064,0.31357804004143436,0.9334993615796396
ml_replace_resource_with_mc,oof_fold_2,innings_1_powerplay,80,0.3215500433167466,0.29651303490177383,0.8669036577715552
ml_replace_resource_with_mc,oof_fold_2,innings_1_middle,144,0.351825952832391,0.3366650198345713,0.9561613820164787
ml_replace_resource_with_mc,oof_fold_2,innings_1_death,78,0.352635453100492,0.33445101201424293,0.9599650713455617
ml_replace_resource_with_mc,oof_fold_2,innings_2,277,0.22323443879263777,0.16470770800926515,0.6588908728308759
ml_replace_resource_with_mc,oof_fold_2,innings_2_powerplay,80,0.32147055885472897,0.3195105399287792,0.9103986225118647
ml_replace_resource_with_mc,oof_fold_2,innings_2_middle,135,0.19648670976105703,0.1562237529254973,0.5940970904220516
ml_replace_resource_with_mc,oof_fold_2,innings_2_death,62,0.15471917773289748,0.15315753453722922,0.4754479801004266
ml_clean_swap_resource,oof_fold_2,overall,579,0.2935296828591633,0.22134487212035384,0.8227932237202076
ml_clean_swap_resource,oof_fold_2,innings_1,302,0.3377817047261385,0.29588538863414005,0.9162984982933281
ml_clean_swap_resource,oof_fold_2,innings_1_powerplay,80,0.31906565415813537,0.29498580066332064,0.8579690093647498
ml_clean_swap_resource,oof_fold_2,innings_1_middle,144,0.3411262011834366,0.3041729614265664,0.9290861995564781
ml_clean_swap_resource,oof_fold_2,innings_1_death,78,0.35080319902856566,0.31277978807298673,0.9525155512727216
ml_clean_swap_resource,oof_fold_2,innings_2,277,0.24528379620274995,0.17243465274167835,0.7208488449437367
ml_clean_swap_resource,oof_fold_2,innings_2_powerplay,80,0.3483461547186418,0.32559856161473405,0.9941241839440501
ml_clean_swap_resource,oof_fold_2,innings_2_middle,135,0.21642458507693818,0.14721686721065547,0.6478924479909882
ml_clean_swap_resource,oof_fold_2,innings_2_death,62,0.1751387126658667,0.14701190499895986,0.5270921750823807
baseline_ipl_v6_features,oof_fold_3,overall,579,0.1922041848238904,0.10887061801074634,0.5660707915398313
baseline_ipl_v6_features,oof_fold_3,innings_1,306,0.1820137378138232,0.11615754783647557,0.5415335126979117
baseline_ipl_v6_features,oof_fold_3,innings_1_powerplay,85,0.20274669560067587,0.12162014154158873,0.5900603571000601
baseline_ipl_v6_features,oof_fold_3,innings_1_middle,147,0.17741918406531731,0.12010087272663313,0.5301558367135099
baseline_ipl_v6_features,oof_fold_3,innings_1_death,74,0.16732587280230826,0.15981031736130896,0.5083948180428368
baseline_ipl_v6_features,oof_fold_3,innings_2,273,0.20362644410989977,0.14417470115276565,0.5935741150769279
baseline_ipl_v6_features,oof_fold_3,innings_2_powerplay,80,0.18717284445955815,0.15071599256808,0.5502465992975851
baseline_ipl_v6_features,oof_fold_3,innings_2_middle,133,0.22207275468256768,0.1757591217196044,0.6424006125465909
