split,method,regime_id,innings,phase_label,n_samples,unique_probs,outcome_classes,fit_status,guard_reason
holdout,guarded_regime_phase_calibration,0,1,death,3204,3204,2,fitted,
holdout,guarded_regime_phase_calibration,0,1,middle,7,7,2,skipped,min_samples<200
holdout,guarded_regime_phase_calibration,0,2,death,1459,1459,2,fitted,
holdout,guarded_regime_phase_calibration,0,2,middle,6,6,2,skipped,min_samples<200
holdout,guarded_regime_phase_calibration,1,1,middle,684,684,2,fitted,
holdout,guarded_regime_phase_calibration,1,1,powerplay,3232,3232,2,fitted,
holdout,guarded_regime_phase_calibration,1,2,middle,504,504,2,fitted,
holdout,guarded_regime_phase_calibration,1,2,powerplay,2618,2618,2,fitted,
holdout,guarded_regime_phase_calibration,2,1,death,447,447,2,fitted,
holdout,guarded_regime_phase_calibration,2,1,middle,3959,3959,2,fitted,
holdout,guarded_regime_phase_calibration,2,1,powerplay,42,42,2,skipped,min_samples<200
holdout,guarded_regime_phase_calibration,2,2,death,176,176,2,skipped,min_samples<200
holdout,guarded_regime_phase_calibration,2,2,middle,1743,1743,2,fitted,
holdout,guarded_regime_phase_calibration,2,2,powerplay,2,2,1,skipped,min_samples<200
holdout,guarded_regime_phase_calibration,3,1,death,960,960,2,fitted,
holdout,guarded_regime_phase_calibration,3,1,middle,3741,3741,2,fitted,
holdout,guarded_regime_phase_calibration,3,1,powerplay,470,470,2,fitted,
holdout,guarded_regime_phase_calibration,3,2,death,167,167,2,skipped,min_samples<200
holdout,guarded_regime_phase_calibration,3,2,middle,1840,1840,2,fitted,
holdout,guarded_regime_phase_calibration,3,2,powerplay,293,293,2,fitted,
holdout,guarded_regime_phase_calibration,4,2,death,478,478,2,fitted,
holdout,guarded_regime_phase_calibration,4,2,middle,2783,2783,2,fitted,
holdout,guarded_regime_phase_calibration,4,2,powerplay,763,763,2,fitted,
holdout,guarded_regime_phase_calibration,5,2,death,1936,1936,2,fitted,
holdout,guarded_regime_phase_calibration,5,2,middle,1391,1391,2,fitted,
holdout,guarded_regime_phase_calibration,5,2,powerplay,67,67,1,skipped,min_samples<200
