method,split,bin_low,bin_high,n,mean_predicted,mean_actual,calibration_gap
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.0,0.1,205,0.049578272917759986,0.12682926829268293,-0.07725099537492294
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.1,0.2,84,0.1451080754838386,0.20238095238095238,-0.05727287689711377
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.2,0.3,97,0.24641961697995168,0.28865979381443296,-0.04224017683448128
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.3,0.4,73,0.3447847990191671,0.5068493150684932,-0.1620645160493261
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.4,0.5,70,0.4520253420737525,0.6428571428571429,-0.1908318007833904
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.5,0.6,88,0.5461555052095235,0.7272727272727273,-0.1811172220632038
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.6,0.7,69,0.6518413093691314,0.6666666666666666,-0.014825357297535202
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.7,0.8,61,0.7491383744862604,0.7704918032786885,-0.021353428792428075
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.8,0.9,89,0.851424569961405,0.8202247191011236,0.03119985086028143
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.9,1.0,100,0.9496011189569096,0.93,0.019601118956909525
regime_cluster_features,holdout_innings_2_powerplay,0.0,0.1,205,0.0511587934699929,0.12682926829268293,-0.07567047482269003
regime_cluster_features,holdout_innings_2_powerplay,0.1,0.2,83,0.14618920001464494,0.20481927710843373,-0.058630077093788785
regime_cluster_features,holdout_innings_2_powerplay,0.2,0.3,90,0.24572269642698044,0.26666666666666666,-0.02094397023968622
regime_cluster_features,holdout_innings_2_powerplay,0.3,0.4,80,0.3418154554174328,0.525,-0.18318454458256722
regime_cluster_features,holdout_innings_2_powerplay,0.4,0.5,82,0.45184983110684673,0.5975609756097561,-0.14571114450290934
regime_cluster_features,holdout_innings_2_powerplay,0.5,0.6,78,0.5459932352987302,0.7564102564102564,-0.21041702111152616
regime_cluster_features,holdout_innings_2_powerplay,0.6,0.7,68,0.6471320314927118,0.6764705882352942,-0.029338556742582345
regime_cluster_features,holdout_innings_2_powerplay,0.7,0.8,66,0.7509692085024158,0.7575757575757576,-0.006606549073341794
regime_cluster_features,holdout_innings_2_powerplay,0.8,0.9,87,0.8479729016539723,0.8390804597701149,0.008892441883857405
regime_cluster_features,holdout_innings_2_powerplay,0.9,1.0,97,0.9497711643559623,0.9278350515463918,0.02193611280957053
v18A_hard_pp_fallback,holdout_innings_2_powerplay,0.0,0.1,205,0.049578272917759986,0.12682926829268293,-0.07725099537492294
v18A_hard_pp_fallback,holdout_innings_2_powerplay,0.1,0.2,84,0.1451080754838386,0.20238095238095238,-0.05727287689711377
v18A_hard_pp_fallback,holdout_innings_2_powerplay,0.2,0.3,97,0.24641961697995168,0.28865979381443296,-0.04224017683448128
v18A_hard_pp_fallback,holdout_innings_2_powerplay,0.3,0.4,73,0.3447847990191671,0.5068493150684932,-0.1620645160493261
v18A_hard_pp_fallback,holdout_innings_2_powerplay,0.4,0.5,70,0.4520253420737525,0.6428571428571429,-0.1908318007833904
v18A_hard_pp_fallback,holdout_innings_2_powerplay,0.5,0.6,88,0.5461555052095235,0.7272727272727273,-0.1811172220632038
v18A_hard_pp_fallback,holdout_innings_2_powerplay,0.6,0.7,69,0.6518413093691314,0.6666666666666666,-0.014825357297535202
v18A_hard_pp_fallback,holdout_innings_2_powerplay,0.7,0.8,61,0.7491383744862604,0.7704918032786885,-0.021353428792428075
v18A_hard_pp_fallback,holdout_innings_2_powerplay,0.8,0.9,89,0.851424569961405,0.8202247191011236,0.03119985086028143
v18A_hard_pp_fallback,holdout_innings_2_powerplay,0.9,1.0,100,0.9496011189569096,0.93,0.019601118956909525
