method,split,bin_low,bin_high,n,mean_predicted,mean_actual
baseline_ipl_v6_features,holdout,0.0,0.1,1149,0.04175269506398693,0.07484769364664925
baseline_ipl_v6_features,holdout,0.1,0.2,621,0.14803446249821056,0.17552334943639292
baseline_ipl_v6_features,holdout,0.2,0.3,675,0.25111812417285173,0.2518518518518518
baseline_ipl_v6_features,holdout,0.3,0.4,789,0.35128056948126,0.36755386565272496
baseline_ipl_v6_features,holdout,0.4,0.5,927,0.4530638791574712,0.4746494066882416
baseline_ipl_v6_features,holdout,0.5,0.6,972,0.549564183013147,0.5709876543209876
baseline_ipl_v6_features,holdout,0.6,0.7,848,0.6473978949285816,0.6391509433962265
baseline_ipl_v6_features,holdout,0.7,0.8,723,0.7486349669776563,0.719225449515906
baseline_ipl_v6_features,holdout,0.8,0.9,671,0.8495020158735072,0.7913561847988078
baseline_ipl_v6_features,holdout,0.9,1.0,869,0.9509970810685143,0.9493670886075949
regime_retrieval_features,holdout,0.0,0.1,1147,0.04194457112810059,0.07236268526591107
regime_retrieval_features,holdout,0.1,0.2,610,0.14639893424220013,0.18032786885245902
regime_retrieval_features,holdout,0.2,0.3,677,0.24995599304640317,0.2481536189069424
regime_retrieval_features,holdout,0.3,0.4,803,0.3518535742984618,0.3711083437110834
regime_retrieval_features,holdout,0.4,0.5,936,0.45333180687511526,0.49038461538461536
regime_retrieval_features,holdout,0.5,0.6,999,0.5503674213468364,0.5645645645645646
regime_retrieval_features,holdout,0.6,0.7,817,0.6488623167269224,0.6364749082007344
regime_retrieval_features,holdout,0.7,0.8,707,0.7484901395528049,0.7171145685997171
regime_retrieval_features,holdout,0.8,0.9,693,0.8488299358966083,0.7893217893217893
regime_retrieval_features,holdout,0.9,1.0,855,0.950557625344363,0.9497076023391813
regime_cluster_features,holdout,0.0,0.1,1150,0.04258037089518482,0.07391304347826087
regime_cluster_features,holdout,0.1,0.2,613,0.1483851600392879,0.1729200652528548
regime_cluster_features,holdout,0.2,0.3,656,0.2511604928731539,0.24847560975609756
regime_cluster_features,holdout,0.3,0.4,833,0.35216307507763545,0.36494597839135656
regime_cluster_features,holdout,0.4,0.5,947,0.45319190194953857,0.4783526927138332
regime_cluster_features,holdout,0.5,0.6,1000,0.5512055666568053,0.567
regime_cluster_features,holdout,0.6,0.7,784,0.649084900407438,0.6594387755102041
regime_cluster_features,holdout,0.7,0.8,719,0.7479143864229656,0.713490959666203
regime_cluster_features,holdout,0.8,0.9,683,0.8489830426697487,0.8023426061493412
regime_cluster_features,holdout,0.9,1.0,859,0.951270347004222,0.9452852153667055
regime_hybrid_features,holdout,0.0,0.1,1135,0.041674515552096024,0.07312775330396476
regime_hybrid_features,holdout,0.1,0.2,617,0.14799814304030462,0.17179902755267423
regime_hybrid_features,holdout,0.2,0.3,662,0.250452520185814,0.24169184290030213
regime_hybrid_features,holdout,0.3,0.4,826,0.35227261996116926,0.3523002421307506
regime_hybrid_features,holdout,0.4,0.5,952,0.45290651946429666,0.5031512605042017
regime_hybrid_features,holdout,0.5,0.6,959,0.5502679856243986,0.556830031282586
regime_hybrid_features,holdout,0.6,0.7,843,0.6484296103239393,0.6536180308422301
regime_hybrid_features,holdout,0.7,0.8,709,0.7486566390651984,0.7179125528913963
regime_hybrid_features,holdout,0.8,0.9,672,0.8494266046244263,0.7886904761904762
regime_hybrid_features,holdout,0.9,1.0,869,0.9516016999337267,0.9493670886075949
guarded_regime_phase_calibration,holdout,0.0,0.1,1834,0.01435261675158444,0.1292257360959651
guarded_regime_phase_calibration,holdout,0.1,0.2,527,0.14715074353211038,0.2618595825426945
guarded_regime_phase_calibration,holdout,0.2,0.3,554,0.2497712302039271,0.3574007220216607
guarded_regime_phase_calibration,holdout,0.3,0.4,539,0.34312773346973074,0.3914656771799629
guarded_regime_phase_calibration,holdout,0.4,0.5,635,0.4502881575472175,0.5007874015748032
guarded_regime_phase_calibration,holdout,0.5,0.6,868,0.5578258518805997,0.5345622119815668
guarded_regime_phase_calibration,holdout,0.6,0.7,662,0.6612617841742661,0.5936555891238671
guarded_regime_phase_calibration,holdout,0.7,0.8,390,0.7526260197790927,0.658974358974359
guarded_regime_phase_calibration,holdout,0.8,0.9,716,0.8530793705003146,0.7178770949720671
guarded_regime_phase_calibration,holdout,0.9,1.0,1519,0.982777383186827,0.8808426596445029
v18A_hard_pp_fallback,holdout,0.0,0.1,1150,0.042298625927178084,0.07391304347826087
v18A_hard_pp_fallback,holdout,0.1,0.2,614,0.14823367726956094,0.17263843648208468
v18A_hard_pp_fallback,holdout,0.2,0.3,663,0.2512050429764948,0.25188536953242835
v18A_hard_pp_fallback,holdout,0.3,0.4,826,0.3525131905988801,0.3619854721549637
v18A_hard_pp_fallback,holdout,0.4,0.5,935,0.4532222662466463,0.4802139037433155
v18A_hard_pp_fallback,holdout,0.5,0.6,1010,0.5511680977841014,0.5663366336633663
v18A_hard_pp_fallback,holdout,0.6,0.7,785,0.6494963492030537,0.6585987261146496
v18A_hard_pp_fallback,holdout,0.7,0.8,714,0.7477365783201887,0.7142857142857143
v18A_hard_pp_fallback,holdout,0.8,0.9,685,0.8494285582862886,0.8
v18A_hard_pp_fallback,holdout,0.9,1.0,862,0.9512454025867624,0.9454756380510441
v18B_confidence_cap,holdout,0.0,0.1,1150,0.04258037089518482,0.07391304347826087
v18B_confidence_cap,holdout,0.1,0.2,613,0.1483851600392879,0.1729200652528548
v18B_confidence_cap,holdout,0.2,0.3,658,0.25129763663372445,0.24924012158054712
v18B_confidence_cap,holdout,0.3,0.4,831,0.3522597528231846,0.36462093862815886
v18B_confidence_cap,holdout,0.4,0.5,946,0.4531609876692863,0.4788583509513742
v18B_confidence_cap,holdout,0.5,0.6,1002,0.5511963557004895,0.5668662674650699
v18B_confidence_cap,holdout,0.6,0.7,783,0.6491550223565594,0.6590038314176245
v18B_confidence_cap,holdout,0.7,0.8,719,0.7479143864229656,0.713490959666203
v18B_confidence_cap,holdout,0.8,0.9,683,0.8489900671012257,0.8023426061493412
v18B_confidence_cap,holdout,0.9,1.0,859,0.951270347004222,0.9452852153667055
v18C_dominant_cluster_only,holdout,0.0,0.1,1150,0.042298625927178084,0.07391304347826087
v18C_dominant_cluster_only,holdout,0.1,0.2,614,0.14823367726956094,0.17263843648208468
v18C_dominant_cluster_only,holdout,0.2,0.3,663,0.2512050429764948,0.25188536953242835
v18C_dominant_cluster_only,holdout,0.3,0.4,826,0.3525131905988801,0.3619854721549637
v18C_dominant_cluster_only,holdout,0.4,0.5,935,0.4532222662466463,0.4802139037433155
v18C_dominant_cluster_only,holdout,0.5,0.6,1010,0.5511680977841014,0.5663366336633663
v18C_dominant_cluster_only,holdout,0.6,0.7,785,0.6494963492030537,0.6585987261146496
v18C_dominant_cluster_only,holdout,0.7,0.8,714,0.7477365783201887,0.7142857142857143
v18C_dominant_cluster_only,holdout,0.8,0.9,685,0.8494285582862886,0.8
v18C_dominant_cluster_only,holdout,0.9,1.0,862,0.9512454025867624,0.9454756380510441
