split,method,regime_id,innings,phase_label,n_samples,unique_probs,outcome_classes,fit_status,guard_reason
season_2024,guarded_regime_phase_calibration,0,1,death,3488,3488,2,fitted,
season_2024,guarded_regime_phase_calibration,0,1,middle,28,28,2,skipped,min_samples<200
season_2024,guarded_regime_phase_calibration,0,2,death,1710,1710,2,fitted,
season_2024,guarded_regime_phase_calibration,0,2,middle,5,5,1,skipped,min_samples<200
season_2024,guarded_regime_phase_calibration,1,2,death,302,302,2,fitted,
season_2024,guarded_regime_phase_calibration,2,1,death,1,1,1,skipped,min_samples<200
season_2024,guarded_regime_phase_calibration,2,2,death,1929,1929,2,fitted,
season_2024,guarded_regime_phase_calibration,2,2,middle,2546,2546,2,fitted,
season_2024,guarded_regime_phase_calibration,2,2,powerplay,275,275,2,fitted,
season_2024,guarded_regime_phase_calibration,3,1,death,404,404,2,fitted,
season_2024,guarded_regime_phase_calibration,3,1,middle,3947,3947,2,fitted,
season_2024,guarded_regime_phase_calibration,3,1,powerplay,10,10,2,skipped,min_samples<200
season_2024,guarded_regime_phase_calibration,3,2,death,386,386,2,fitted,
season_2024,guarded_regime_phase_calibration,3,2,middle,3722,3722,2,fitted,
season_2024,guarded_regime_phase_calibration,3,2,powerplay,6,6,1,skipped,min_samples<200
season_2024,guarded_regime_phase_calibration,4,1,death,1068,1068,2,fitted,
season_2024,guarded_regime_phase_calibration,4,1,middle,4276,4276,2,fitted,
season_2024,guarded_regime_phase_calibration,4,1,powerplay,535,535,2,fitted,
season_2024,guarded_regime_phase_calibration,4,2,death,214,214,2,fitted,
season_2024,guarded_regime_phase_calibration,4,2,middle,1884,1884,2,fitted,
season_2024,guarded_regime_phase_calibration,4,2,powerplay,284,284,2,fitted,
season_2024,guarded_regime_phase_calibration,5,1,middle,769,769,2,fitted,
season_2024,guarded_regime_phase_calibration,5,1,powerplay,3475,3475,2,fitted,
season_2024,guarded_regime_phase_calibration,5,2,middle,737,737,2,fitted,
season_2024,guarded_regime_phase_calibration,5,2,powerplay,3458,3458,2,fitted,
season_2025,guarded_regime_phase_calibration,0,1,death,3755,3755,2,fitted,
season_2025,guarded_regime_phase_calibration,0,1,middle,28,28,2,skipped,min_samples<200
season_2025,guarded_regime_phase_calibration,0,2,death,1812,1812,2,fitted,
season_2025,guarded_regime_phase_calibration,0,2,middle,8,8,2,skipped,min_samples<200
season_2025,guarded_regime_phase_calibration,1,1,death,436,436,2,fitted,
season_2025,guarded_regime_phase_calibration,1,1,middle,4216,4216,2,fitted,
season_2025,guarded_regime_phase_calibration,1,1,powerplay,18,18,2,skipped,min_samples<200
season_2025,guarded_regime_phase_calibration,1,2,death,393,393,2,fitted,
season_2025,guarded_regime_phase_calibration,1,2,middle,3828,3828,2,fitted,
season_2025,guarded_regime_phase_calibration,1,2,powerplay,8,8,1,skipped,min_samples<200
season_2025,guarded_regime_phase_calibration,2,1,death,1124,1124,2,fitted,
season_2025,guarded_regime_phase_calibration,2,1,middle,4601,4601,2,fitted,
season_2025,guarded_regime_phase_calibration,2,1,powerplay,565,565,2,fitted,
season_2025,guarded_regime_phase_calibration,2,2,death,245,245,2,fitted,
season_2025,guarded_regime_phase_calibration,2,2,middle,2052,2052,2,fitted,
season_2025,guarded_regime_phase_calibration,2,2,powerplay,301,301,2,fitted,
season_2025,guarded_regime_phase_calibration,3,1,middle,814,814,2,fitted,
season_2025,guarded_regime_phase_calibration,3,1,powerplay,3721,3721,2,fitted,
season_2025,guarded_regime_phase_calibration,3,2,middle,769,769,2,fitted,
season_2025,guarded_regime_phase_calibration,3,2,powerplay,3656,3656,2,fitted,
season_2025,guarded_regime_phase_calibration,4,2,death,1967,1967,2,fitted,
season_2025,guarded_regime_phase_calibration,4,2,middle,2862,2862,2,fitted,
season_2025,guarded_regime_phase_calibration,4,2,powerplay,342,342,2,fitted,
season_2025,guarded_regime_phase_calibration,5,2,death,440,440,2,fitted,
season_2025,guarded_regime_phase_calibration,5,2,middle,2,2,1,skipped,min_samples<200
season_2026,guarded_regime_phase_calibration,0,1,middle,866,866,2,fitted,
season_2026,guarded_regime_phase_calibration,0,1,powerplay,3968,3968,2,fitted,
season_2026,guarded_regime_phase_calibration,0,2,middle,824,824,2,fitted,
season_2026,guarded_regime_phase_calibration,0,2,powerplay,3872,3872,2,fitted,
season_2026,guarded_regime_phase_calibration,1,1,death,1229,1229,2,fitted,
season_2026,guarded_regime_phase_calibration,1,1,middle,4841,4841,2,fitted,
season_2026,guarded_regime_phase_calibration,1,1,powerplay,594,594,2,fitted,
season_2026,guarded_regime_phase_calibration,1,2,death,272,272,2,fitted,
season_2026,guarded_regime_phase_calibration,1,2,middle,2144,2144,2,fitted,
season_2026,guarded_regime_phase_calibration,1,2,powerplay,317,317,2,fitted,
season_2026,guarded_regime_phase_calibration,2,2,death,478,478,2,fitted,
season_2026,guarded_regime_phase_calibration,2,2,middle,2,2,1,skipped,min_samples<200
season_2026,guarded_regime_phase_calibration,3,1,death,3951,3951,2,fitted,
season_2026,guarded_regime_phase_calibration,3,1,middle,27,27,2,skipped,min_samples<200
season_2026,guarded_regime_phase_calibration,3,2,death,1900,1900,2,fitted,
season_2026,guarded_regime_phase_calibration,3,2,middle,8,8,2,skipped,min_samples<200
season_2026,guarded_regime_phase_calibration,4,2,death,2092,2092,2,fitted,
season_2026,guarded_regime_phase_calibration,4,2,middle,3129,3129,2,fitted,
season_2026,guarded_regime_phase_calibration,4,2,powerplay,390,390,2,fitted,
season_2026,guarded_regime_phase_calibration,5,1,death,471,471,2,fitted,
season_2026,guarded_regime_phase_calibration,5,1,middle,4556,4556,2,fitted,
season_2026,guarded_regime_phase_calibration,5,1,powerplay,22,22,2,skipped,min_samples<200
season_2026,guarded_regime_phase_calibration,5,2,death,422,422,2,fitted,
season_2026,guarded_regime_phase_calibration,5,2,middle,4035,4035,2,fitted,
