method,split,bin_low,bin_high,n,mean_predicted,mean_actual
baseline_ipl_v6_features,season_2024,0.0,0.1,340,0.046828281318353183,0.05
baseline_ipl_v6_features,season_2024,0.1,0.2,218,0.14557243216686466,0.13761467889908258
baseline_ipl_v6_features,season_2024,0.2,0.3,212,0.2541217951632263,0.3113207547169811
baseline_ipl_v6_features,season_2024,0.3,0.4,213,0.35697106766949077,0.36619718309859156
baseline_ipl_v6_features,season_2024,0.4,0.5,287,0.4531097874243752,0.4076655052264808
baseline_ipl_v6_features,season_2024,0.5,0.6,329,0.5502328667017797,0.5440729483282675
baseline_ipl_v6_features,season_2024,0.6,0.7,265,0.6485229137182185,0.660377358490566
baseline_ipl_v6_features,season_2024,0.7,0.8,188,0.7485842806372581,0.7978723404255319
baseline_ipl_v6_features,season_2024,0.8,0.9,165,0.8491169253645819,0.8545454545454545
baseline_ipl_v6_features,season_2024,0.9,1.0,287,0.9491756967620257,0.9616724738675958
regime_cluster_features,season_2024,0.0,0.1,343,0.047008362575630874,0.04956268221574344
regime_cluster_features,season_2024,0.1,0.2,220,0.14780687189925368,0.15454545454545454
regime_cluster_features,season_2024,0.2,0.3,208,0.2538072494506963,0.30288461538461536
regime_cluster_features,season_2024,0.3,0.4,197,0.35686326440558114,0.34517766497461927
regime_cluster_features,season_2024,0.4,0.5,303,0.45029996642615916,0.44224422442244227
regime_cluster_features,season_2024,0.5,0.6,324,0.5509891063752892,0.5216049382716049
regime_cluster_features,season_2024,0.6,0.7,268,0.6482628776939177,0.6791044776119403
regime_cluster_features,season_2024,0.7,0.8,180,0.7459427501664344,0.7777777777777778
regime_cluster_features,season_2024,0.8,0.9,174,0.8487460343419727,0.8448275862068966
regime_cluster_features,season_2024,0.9,1.0,287,0.9494967361790104,0.9581881533101045
guarded_regime_phase_calibration,season_2024,0.0,0.1,543,0.019001007584144403,0.09208103130755065
guarded_regime_phase_calibration,season_2024,0.1,0.2,195,0.14555618248352917,0.30256410256410254
guarded_regime_phase_calibration,season_2024,0.2,0.3,167,0.25336144491885376,0.32934131736526945
guarded_regime_phase_calibration,season_2024,0.3,0.4,115,0.34975812363186026,0.33043478260869563
guarded_regime_phase_calibration,season_2024,0.4,0.5,217,0.4574305628813617,0.5161290322580645
guarded_regime_phase_calibration,season_2024,0.5,0.6,334,0.5556535815431561,0.5059880239520959
guarded_regime_phase_calibration,season_2024,0.6,0.7,188,0.6584718750272174,0.6063829787234043
guarded_regime_phase_calibration,season_2024,0.7,0.8,139,0.7416186397137565,0.6834532374100719
guarded_regime_phase_calibration,season_2024,0.8,0.9,171,0.8502110847777744,0.7719298245614035
guarded_regime_phase_calibration,season_2024,0.9,1.0,435,0.9876132355685854,0.9310344827586207
v18A_hard_pp_fallback,season_2024,0.0,0.1,344,0.04705404034593005,0.055232558139534885
v18A_hard_pp_fallback,season_2024,0.1,0.2,218,0.1477665625672148,0.14678899082568808
v18A_hard_pp_fallback,season_2024,0.2,0.3,211,0.2541600611460324,0.3033175355450237
v18A_hard_pp_fallback,season_2024,0.3,0.4,197,0.3568970279930073,0.3401015228426396
v18A_hard_pp_fallback,season_2024,0.4,0.5,301,0.45051865282807246,0.43853820598006643
v18A_hard_pp_fallback,season_2024,0.5,0.6,326,0.5505742054912345,0.5214723926380368
v18A_hard_pp_fallback,season_2024,0.6,0.7,269,0.6487739365471463,0.6877323420074349
v18A_hard_pp_fallback,season_2024,0.7,0.8,176,0.7459078489241642,0.7784090909090909
v18A_hard_pp_fallback,season_2024,0.8,0.9,173,0.8479366429979233,0.8439306358381503
v18A_hard_pp_fallback,season_2024,0.9,1.0,289,0.9491588972210301,0.9584775086505191
v18B_confidence_cap,season_2024,0.0,0.1,343,0.047008362575630874,0.04956268221574344
v18B_confidence_cap,season_2024,0.1,0.2,220,0.14780687189925368,0.15454545454545454
v18B_confidence_cap,season_2024,0.2,0.3,208,0.2538072494506963,0.30288461538461536
v18B_confidence_cap,season_2024,0.3,0.4,197,0.35682940030127247,0.34517766497461927
v18B_confidence_cap,season_2024,0.4,0.5,303,0.4503260012244819,0.44224422442244227
v18B_confidence_cap,season_2024,0.5,0.6,324,0.5509255943742123,0.5216049382716049
v18B_confidence_cap,season_2024,0.6,0.7,268,0.6482628776939177,0.6791044776119403
v18B_confidence_cap,season_2024,0.7,0.8,180,0.7458401668747049,0.7777777777777778
v18B_confidence_cap,season_2024,0.8,0.9,174,0.8487460343419727,0.8448275862068966
v18B_confidence_cap,season_2024,0.9,1.0,287,0.9494967361790104,0.9581881533101045
v18C_dominant_cluster_only,season_2024,0.0,0.1,344,0.04705404034593005,0.055232558139534885
v18C_dominant_cluster_only,season_2024,0.1,0.2,218,0.1477665625672148,0.14678899082568808
