method,split,segment,n,brier,ece,log_loss,baseline_brier_delta,baseline_ece_delta,baseline_log_loss_delta,cluster_winner_brier_delta,cluster_winner_ece_delta,cluster_winner_log_loss_delta
baseline_ipl_v6_features,season_2024,overall,2504,0.16391189191412736,0.019514178977884294,0.4880504845918517,0.0,0.0,0.0,-0.00109,0.001941,-0.003095
baseline_ipl_v6_features,season_2024,innings_1,1277,0.2083450801105342,0.05331468312147216,0.6034257077547626,0.0,0.0,0.0,-0.001457,0.000582,-0.003597
baseline_ipl_v6_features,season_2024,innings_1_powerplay,284,0.23670563090689636,0.07915940212254662,0.6634776497035183,0.0,0.0,0.0,-0.000437,-0.022429,-0.001096
baseline_ipl_v6_features,season_2024,innings_1_middle,639,0.20617194690580773,0.07442312957800803,0.5979744590682368,0.0,0.0,0.0,-0.001691,1.5e-05,-0.004152
baseline_ipl_v6_features,season_2024,innings_1_death,354,0.18951523743158885,0.11822570616695564,0.5650884094418905,0.0,0.0,0.0,-0.001854,0.003751,-0.004601
baseline_ipl_v6_features,season_2024,innings_2,1227,0.11766806035193375,0.04350138570280654,0.3679737445926365,0.0,0.0,0.0,-0.000708,0.000872,-0.002574
baseline_ipl_v6_features,season_2024,innings_2_powerplay,284,0.15060198629247237,0.057947605319086826,0.4538305074265698,0.0,0.0,0.0,-0.001508,-0.015345,-0.004068
baseline_ipl_v6_features,season_2024,innings_2_middle,627,0.12272303173999344,0.03538061902310704,0.3873871511773943,0.0,0.0,0.0,-0.000586,-0.008778,-0.002794
baseline_ipl_v6_features,season_2024,innings_2_death,316,0.07803925646767301,0.05435690251453477,0.25229169847402816,0.0,0.0,0.0,-0.000231,-0.002454,-0.000793
regime_cluster_features,season_2024,overall,2504,0.16500200218071204,0.017572777856947483,0.4911458310349069,0.00109,-0.001941,0.003095,0.0,0.0,0.0
regime_cluster_features,season_2024,innings_1,1277,0.20980239068748446,0.05273280000109039,0.6070223630790249,0.001457,-0.000582,0.003597,0.0,0.0,0.0
regime_cluster_features,season_2024,innings_1_powerplay,284,0.23714243089808476,0.10158883972659705,0.6645735271771019,0.000437,0.022429,0.001096,0.0,0.0,0.0
regime_cluster_features,season_2024,innings_1_middle,639,0.2078630566580566,0.07440861379735919,0.60212626750628,0.001691,-1.5e-05,0.004152,0.0,0.0,0.0
regime_cluster_features,season_2024,innings_1_death,354,0.19136923539085715,0.1144750213052921,0.5696892401048161,0.001854,-0.003751,0.004601,0.0,0.0,0.0
regime_cluster_features,season_2024,innings_2,1227,0.11837600697032216,0.04262945875323827,0.3705473539197165,0.000708,-0.000872,0.002574,0.0,0.0,0.0
regime_cluster_features,season_2024,innings_2_powerplay,284,0.15210975114147052,0.07329272739163245,0.4578988917052087,0.001508,0.015345,0.004068,0.0,0.0,0.0
regime_cluster_features,season_2024,innings_2_middle,627,0.12330917252248645,0.04415861474075839,0.39018096961038234,0.000586,0.008778,0.002794,0.0,0.0,0.0
regime_cluster_features,season_2024,innings_2_death,316,0.07827006347091345,0.056811092261588376,0.2530849685743769,0.000231,0.002454,0.000793,0.0,0.0,0.0
guarded_regime_phase_calibration,season_2024,overall,2504,0.1727390018385958,0.06805560730773104,0.6650564839430654,0.008827,0.048541,0.177006,0.007737,0.050483,0.173911
guarded_regime_phase_calibration,season_2024,innings_1,1277,0.21752842610310882,0.09047873955414486,0.7783511808593127,0.009183,0.037164,0.174925,0.007726,0.037746,0.171329
guarded_regime_phase_calibration,season_2024,innings_1_powerplay,284,0.2492424555521004,0.17507146912253768,0.6887266048368482,0.012537,0.095912,0.025249,0.0121,0.073483,0.024153
guarded_regime_phase_calibration,season_2024,innings_1_middle,639,0.21989906570496304,0.10542623219283283,0.775289675455023,0.013727,0.031003,0.177315,0.012036,0.031018,0.173163
guarded_regime_phase_calibration,season_2024,innings_1_death,354,0.18780632703785885,0.11098651066459382,0.8557796597963775,-0.001709,-0.007239,0.290691,-0.003563,-0.003489,0.28609
guarded_regime_phase_calibration,season_2024,innings_2,1227,0.1261244176611035,0.07887341892032523,0.5471450512111601,0.008456,0.035372,0.179171,0.007748,0.036244,0.176598
guarded_regime_phase_calibration,season_2024,innings_2_powerplay,284,0.16628405133230303,0.12221247844555577,0.8964313316584018,0.015682,0.064265,0.442601,0.014174,0.04892,0.438532
guarded_regime_phase_calibration,season_2024,innings_2_middle,627,0.12694786756755144,0.07725277327736785,0.5078242486395962,0.004225,0.041872,0.120437,0.003639,0.033094,0.117643
guarded_regime_phase_calibration,season_2024,innings_2_death,316,0.08839771179413025,0.0811614602755745,0.3112489738863304,0.010358,0.026805,0.058957,0.010128,0.02435,0.058164
v18A_hard_pp_fallback,season_2024,overall,2504,0.16483099370742313,0.019723209051430726,0.49068440086911885,0.000919,0.000209,0.002634,-0.000171,0.00215,-0.000461
v18A_hard_pp_fallback,season_2024,innings_1,1277,0.20980239068748446,0.05273280000109039,0.6070223630790249,0.001457,-0.000582,0.003597,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2024,innings_1_powerplay,284,0.23714243089808476,0.10158883972659705,0.6645735271771019,0.000437,0.022429,0.001096,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2024,innings_1_middle,639,0.2078630566580566,0.07440861379735919,0.60212626750628,0.001691,-1.5e-05,0.004152,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2024,innings_1_death,354,0.19136923539085715,0.1144750213052921,0.5696892401048161,0.001854,-0.003751,0.004601,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2024,innings_2,1227,0.11802702146330059,0.04289884480600988,0.36960569040290026,0.000359,-0.000603,0.001632,-0.000349,0.000269,-0.000942
v18A_hard_pp_fallback,season_2024,innings_2_powerplay,284,0.15060198629247237,0.057947605319086826,0.4538305074265698,0.0,0.0,0.0,-0.001508,-0.015345,-0.004068
v18A_hard_pp_fallback,season_2024,innings_2_middle,627,0.12330917252248645,0.04415861474075839,0.39018096961038234,0.000586,0.008778,0.002794,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2024,innings_2_death,316,0.07827006347091345,0.056811092261588376,0.2530849685743769,0.000231,0.002454,0.000793,0.0,0.0,0.0
v18B_confidence_cap,season_2024,overall,2504,0.16500600704710952,0.01757242019700554,0.4911559412336217,0.001094,-0.001942,0.003105,4e-06,-0.0,1e-05
v18B_confidence_cap,season_2024,innings_1,1277,0.20980239068748446,0.05273280000109039,0.6070223630790249,0.001457,-0.000582,0.003597,0.0,0.0,0.0
