method,split,segment,n,brier,ece,log_loss,baseline_brier_delta,baseline_ece_delta,baseline_log_loss_delta,cluster_winner_brier_delta,cluster_winner_ece_delta,cluster_winner_log_loss_delta
baseline_ipl_v6_features,holdout,overall,8244,0.17504750483227968,0.021585863570947512,0.5193073302996951,0.0,0.0,0.0,0.000527,0.000605,0.001519
baseline_ipl_v6_features,holdout,innings_1,4186,0.21703906045247137,0.036154306048437904,0.6241715202428496,0.0,0.0,0.0,0.000223,3.7e-05,0.000328
baseline_ipl_v6_features,holdout,innings_1_powerplay,932,0.236738465223166,0.05649920268961138,0.6645284527149017,0.0,0.0,0.0,0.000355,-0.002692,0.0008
baseline_ipl_v6_features,holdout,innings_1_middle,2103,0.2137827007102889,0.04004582752735069,0.6170933023508445,0.0,0.0,0.0,0.000215,-0.002625,0.000344
baseline_ipl_v6_features,holdout,innings_1_death,1151,0.20703756548420235,0.1017474166637697,0.6044259348066501,0.0,0.0,0.0,0.000129,0.001054,-8.3e-05
baseline_ipl_v6_features,holdout,innings_2,4058,0.13173142503284097,0.047293780224189966,0.41113544782013756,0.0,0.0,0.0,0.000842,-0.001282,0.002747
baseline_ipl_v6_features,holdout,innings_2_powerplay,936,0.17308701931906903,0.07792129440628798,0.5223716516675457,0.0,0.0,0.0,0.000307,0.002481,0.00227
baseline_ipl_v6_features,holdout,innings_2_middle,2078,0.1397933698431571,0.045607853699808125,0.4368580515070161,0.0,0.0,0.0,0.000996,-0.003068,0.002833
baseline_ipl_v6_features,holdout,innings_2_death,1044,0.07860732774572755,0.04744720783172456,0.26020761519321434,0.0,0.0,0.0,0.001014,0.001144,0.003004
regime_retrieval_features,holdout,overall,8244,0.1755469363388039,0.023702249596553596,0.5199351242214523,0.000499,0.002116,0.000628,0.001027,0.002721,0.002147
regime_retrieval_features,holdout,innings_1,4186,0.21869813580829944,0.03889061425565947,0.6275975850039472,0.001659,0.002736,0.003426,0.001882,0.002774,0.003754
regime_retrieval_features,holdout,innings_1_powerplay,932,0.23803194371851663,0.06989914146688657,0.6671417917840125,0.001293,0.0134,0.002613,0.001649,0.010708,0.003414
regime_retrieval_features,holdout,innings_1_middle,2103,0.2153288696667344,0.042720795249801706,0.6202341733028696,0.001546,0.002675,0.003141,0.001761,5e-05,0.003485
regime_retrieval_features,holdout,innings_1_death,1151,0.20919896788769896,0.10281358993255342,0.609031168052032,0.002161,0.001066,0.004605,0.00229,0.002121,0.004523
regime_retrieval_features,holdout,innings_2,4058,0.1310346344710591,0.0487121289582429,0.40887670607568494,-0.000697,0.001418,-0.002259,0.000145,0.000136,0.000488
regime_retrieval_features,holdout,innings_2_powerplay,936,0.17299737506693563,0.07769700375506355,0.5213318583172206,-9e-05,-0.000224,-0.00104,0.000217,0.002257,0.00123
regime_retrieval_features,holdout,innings_2_middle,2078,0.13877193274143002,0.04531633554135382,0.4339049929718611,-0.001021,-0.000292,-0.002953,-2.6e-05,-0.003359,-0.00012
regime_retrieval_features,holdout,innings_2_death,1044,0.07801238255192956,0.053093078744137434,0.25823800620180415,-0.000595,0.005646,-0.00197,0.000419,0.00679,0.001034
regime_cluster_features,holdout,overall,8244,0.1745201239845966,0.020981094430773915,0.5177883740764346,-0.000527,-0.000605,-0.001519,0.0,0.0,0.0
regime_cluster_features,holdout,innings_1,4186,0.21681636876763727,0.036116847777935654,0.6238432404202442,-0.000223,-3.7e-05,-0.000328,0.0,0.0,0.0
regime_cluster_features,holdout,innings_1_powerplay,932,0.23638322467885584,0.059190938291679845,0.663727990652981,-0.000355,0.002692,-0.0008,0.0,0.0,0.0
regime_cluster_features,holdout,innings_1_middle,2103,0.21356739911097036,0.042670581913505166,0.6167494047583457,-0.000215,0.002625,-0.000344,0.0,0.0,0.0
regime_cluster_features,holdout,innings_1_death,1151,0.20690870020005678,0.10069303640025917,0.6045085307591337,-0.000129,-0.001054,8.3e-05,0.0,0.0,0.0
regime_cluster_features,holdout,innings_2,4058,0.13088974432422,0.04857577392465996,0.40838825812887763,-0.000842,0.001282,-0.002747,0.0,0.0,0.0
regime_cluster_features,holdout,innings_2_powerplay,936,0.1727803770012267,0.07543996325353713,0.5201019577691622,-0.000307,-0.002481,-0.00227,0.0,0.0,0.0
regime_cluster_features,holdout,innings_2_middle,2078,0.13879743585291907,0.04867562892271755,0.43402467461807503,-0.000996,0.003068,-0.002833,0.0,0.0,0.0
regime_cluster_features,holdout,innings_2_death,1044,0.07759298648675346,0.046302940473409035,0.25720387467307443,-0.001014,-0.001144,-0.003004,0.0,0.0,0.0
regime_hybrid_features,holdout,overall,8244,0.17412350313201816,0.021744408208144744,0.5165676694539375,-0.000924,0.000159,-0.00274,-0.000397,0.000763,-0.001221
regime_hybrid_features,holdout,innings_1,4186,0.21719668576283635,0.04029070370306327,0.624359763560126,0.000158,0.004136,0.000188,0.00038,0.004174,0.000517
regime_hybrid_features,holdout,innings_1_powerplay,932,0.23661401461584725,0.054744381059215474,0.664043532438267,-0.000124,-0.001755,-0.000485,0.000231,-0.004447,0.000316
regime_hybrid_features,holdout,innings_1_middle,2103,0.2140201802950496,0.03727869684900974,0.6174191226870148,0.000237,-0.002767,0.000326,0.000453,-0.005392,0.00067
regime_hybrid_features,holdout,innings_1_death,1151,0.20727769402326157,0.10048591151078098,0.6049078914156649,0.00024,-0.001262,0.000482,0.000369,-0.000207,0.000399
regime_hybrid_features,holdout,innings_2,4058,0.12969167895937028,0.047916603447304196,0.4053755290082734,-0.00204,0.000623,-0.00576,-0.001198,-0.000659,-0.003013
regime_hybrid_features,holdout,innings_2_powerplay,936,0.17189496665652568,0.07517944297796722,0.5184502392482422,-0.001192,-0.002742,-0.003921,-0.000885,-0.000261,-0.001652
regime_hybrid_features,holdout,innings_2_middle,2078,0.13740031852064044,0.045531674291203146,0.43046100869274634,-0.002393,-7.6e-05,-0.006397,-0.001397,-0.003144,-0.003564
regime_hybrid_features,holdout,innings_2_death,1044,0.07651080703134645,0.04964952628675067,0.2540675255897432,-0.002097,0.002202,-0.00614,-0.001082,0.003347,-0.003136
guarded_regime_phase_calibration,holdout,overall,8244,0.18953485827572886,0.09000397036985863,0.8628474936589593,0.014487,0.068418,0.34354,0.015015,0.069023,0.345059
guarded_regime_phase_calibration,holdout,innings_1,4186,0.22954831974897952,0.09039245697664008,0.8706288715299941,0.012509,0.054238,0.246457,0.012732,0.054276,0.246786
guarded_regime_phase_calibration,holdout,innings_1_powerplay,932,0.24705364784520323,0.09209356599377437,0.744930481179145,0.010315,0.035594,0.080402,0.01067,0.032903,0.081202
guarded_regime_phase_calibration,holdout,innings_1_middle,2103,0.2279423710297933,0.10245378788199899,0.794618504688317,0.01416,0.062408,0.177525,0.014375,0.059783,0.177869
guarded_regime_phase_calibration,holdout,innings_1_death,1151,0.2183079586462585,0.12243781223321314,1.1112897761998803,0.01127,0.02069,0.506864,0.011399,0.021745,0.506781
guarded_regime_phase_calibration,holdout,innings_2,4058,0.1482592669186497,0.10675015780464164,0.8548206706505433,0.016528,0.059456,0.443685,0.01737,0.058174,0.446432
guarded_regime_phase_calibration,holdout,innings_2_powerplay,936,0.19014879377950228,0.1454271144991032,1.0391012815959615,0.017062,0.067506,0.51673,0.017368,0.069987,0.518999
guarded_regime_phase_calibration,holdout,innings_2_middle,2078,0.16167003963312018,0.11927692595665862,1.0061906183192348,0.021877,0.073669,0.569333,0.022873,0.070601,0.572166
guarded_regime_phase_calibration,holdout,innings_2_death,1044,0.08401004963663075,0.05788625724659747,0.3883135795581559,0.005403,0.010439,0.128106,0.006417,0.011583,0.13111
v18A_hard_pp_fallback,holdout,overall,8244,0.17455493926959179,0.02062530906861978,0.5180460685801812,-0.000493,-0.000961,-0.001261,3.5e-05,-0.000356,0.000258
v18A_hard_pp_fallback,holdout,innings_1,4186,0.21681636876763727,0.036116847777935654,0.6238432404202442,-0.000223,-3.7e-05,-0.000328,0.0,0.0,0.0
v18A_hard_pp_fallback,holdout,innings_1_powerplay,932,0.23638322467885584,0.059190938291679845,0.663727990652981,-0.000355,0.002692,-0.0008,0.0,0.0,0.0
v18A_hard_pp_fallback,holdout,innings_1_middle,2103,0.21356739911097036,0.042670581913505166,0.6167494047583457,-0.000215,0.002625,-0.000344,0.0,0.0,0.0
v18A_hard_pp_fallback,holdout,innings_1_death,1151,0.20690870020005678,0.10069303640025917,0.6045085307591337,-0.000129,-0.001054,8.3e-05,0.0,0.0,0.0
v18A_hard_pp_fallback,holdout,innings_2,4058,0.13096047305992728,0.047924451403683135,0.40891177549922925,-0.000771,0.000631,-0.002224,7.1e-05,-0.000651,0.000524
v18A_hard_pp_fallback,holdout,innings_2_powerplay,936,0.17308701931906903,0.07792129440628798,0.5223716516675457,0.0,0.0,0.0,0.000307,0.002481,0.00227
v18A_hard_pp_fallback,holdout,innings_2_middle,2078,0.13879743585291907,0.04867562892271755,0.43402467461807503,-0.000996,0.003068,-0.002833,0.0,0.0,0.0
v18A_hard_pp_fallback,holdout,innings_2_death,1044,0.07759298648675346,0.046302940473409035,0.25720387467307443,-0.001014,-0.001144,-0.003004,0.0,0.0,0.0
v18B_confidence_cap,holdout,overall,8244,0.17452994377808043,0.020884634057257757,0.5178091369877945,-0.000518,-0.000701,-0.001498,1e-05,-9.6e-05,2.1e-05
v18B_confidence_cap,holdout,innings_1,4186,0.21681636876763727,0.036116847777935654,0.6238432404202442,-0.000223,-3.7e-05,-0.000328,0.0,0.0,0.0
v18B_confidence_cap,holdout,innings_1_powerplay,932,0.23638322467885584,0.059190938291679845,0.663727990652981,-0.000355,0.002692,-0.0008,0.0,0.0,0.0
v18B_confidence_cap,holdout,innings_1_middle,2103,0.21356739911097036,0.042670581913505166,0.6167494047583457,-0.000215,0.002625,-0.000344,0.0,0.0,0.0
v18B_confidence_cap,holdout,innings_1_death,1151,0.20690870020005678,0.10069303640025917,0.6045085307591337,-0.000129,-0.001054,8.3e-05,0.0,0.0,0.0
v18B_confidence_cap,holdout,innings_2,4058,0.13090969365331825,0.04837744600630983,0.40843043886846603,-0.000822,0.001084,-0.002705,2e-05,-0.000198,4.2e-05
v18B_confidence_cap,holdout,innings_2_powerplay,936,0.17286686672075752,0.07546096487782064,0.5202848311038311,-0.00022,-0.00246,-0.002087,8.6e-05,2.1e-05,0.000183
v18B_confidence_cap,holdout,innings_2_middle,2078,0.13879743585291907,0.04867562892271755,0.43402467461807503,-0.000996,0.003068,-0.002833,0.0,0.0,0.0
v18B_confidence_cap,holdout,innings_2_death,1044,0.07759298648675346,0.046302940473409035,0.25720387467307443,-0.001014,-0.001144,-0.003004,0.0,0.0,0.0
v18C_dominant_cluster_only,holdout,overall,8244,0.17455493926959179,0.02062530906861978,0.5180460685801812,-0.000493,-0.000961,-0.001261,3.5e-05,-0.000356,0.000258
v18C_dominant_cluster_only,holdout,innings_1,4186,0.21681636876763727,0.036116847777935654,0.6238432404202442,-0.000223,-3.7e-05,-0.000328,0.0,0.0,0.0
v18C_dominant_cluster_only,holdout,innings_1_powerplay,932,0.23638322467885584,0.059190938291679845,0.663727990652981,-0.000355,0.002692,-0.0008,0.0,0.0,0.0
v18C_dominant_cluster_only,holdout,innings_1_middle,2103,0.21356739911097036,0.042670581913505166,0.6167494047583457,-0.000215,0.002625,-0.000344,0.0,0.0,0.0
v18C_dominant_cluster_only,holdout,innings_1_death,1151,0.20690870020005678,0.10069303640025917,0.6045085307591337,-0.000129,-0.001054,8.3e-05,0.0,0.0,0.0
v18C_dominant_cluster_only,holdout,innings_2,4058,0.13096047305992728,0.047924451403683135,0.40891177549922925,-0.000771,0.000631,-0.002224,7.1e-05,-0.000651,0.000524
v18C_dominant_cluster_only,holdout,innings_2_powerplay,936,0.17308701931906903,0.07792129440628798,0.5223716516675457,0.0,0.0,0.0,0.000307,0.002481,0.00227
v18C_dominant_cluster_only,holdout,innings_2_middle,2078,0.13879743585291907,0.04867562892271755,0.43402467461807503,-0.000996,0.003068,-0.002833,0.0,0.0,0.0
v18C_dominant_cluster_only,holdout,innings_2_death,1044,0.07759298648675346,0.046302940473409035,0.25720387467307443,-0.001014,-0.001144,-0.003004,0.0,0.0,0.0
