row_key,match_id,season,date,innings,over,ball,phase_label,batting_team,bowling_team,winner,is_winner,overs_remaining,resource_win_prob,regime_id,regime_label,stability_flag,regime_confidence,regime_cluster_win_rate,regime_cluster_size,method,split,predicted_prob,predicted_label,prediction_error,correct,confidence_strength,wrong_direction
1473468:2:5:5,1473468,2025,2025-04-15,2,5,5,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,14.166666666666666,0.999,1,pressure_state,stable,0.12433253036934024,0.7060060810529385,48018,regime_cluster_features,holdout,0.9863692545226652,1,0.9863692545226652,False,0.9863692545226652,false_positive
1473468:2:5:4,1473468,2025,2025-04-15,2,5,4,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,14.333333333333334,0.999,3,pressure_state,stable,0.12332185680633674,0.5326319319277361,47714,regime_cluster_features,holdout,0.9851706539702748,1,0.9851706539702748,False,0.9851706539702748,false_positive
1359489:2:4:4,1359489,2023,2023-04-10,2,4,4,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,15.333333333333334,0.07713458660338535,0,pressure_state,stable,0.1223478007729432,0.12566037735849056,23850,regime_cluster_features,holdout,0.015159110117272027,0,0.984840889882728,False,0.984840889882728,false_negative
1359489:2:4:5,1359489,2023,2023-04-10,2,4,5,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,15.166666666666666,0.07849492286528414,0,pressure_state,stable,0.1262608287997669,0.12566037735849056,23850,regime_cluster_features,holdout,0.0157443734822311,0,0.9842556265177689,False,0.9842556265177689,false_negative
1359489:2:4:3,1359489,2023,2023-04-10,2,4,3,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,15.5,0.08571189575629548,0,pressure_state,stable,0.11660886388612075,0.12566037735849056,23850,regime_cluster_features,holdout,0.015912494884367558,0,0.9840875051156325,False,0.9840875051156325,false_negative
1359489:2:5:5,1359489,2023,2023-04-10,2,5,5,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,14.166666666666666,0.062022809267258984,0,pressure_state,stable,0.13559587937403259,0.12566037735849056,23850,regime_cluster_features,holdout,0.016901227712172145,0,0.9830987722878278,False,0.9830987722878278,false_negative
1359489:2:4:2,1359489,2023,2023-04-10,2,4,2,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,15.666666666666666,0.09510040243924293,0,pressure_state,stable,0.11746931204560346,0.12566037735849056,23850,regime_cluster_features,holdout,0.017548411255512007,0,0.982451588744488,False,0.982451588744488,false_negative
1473441:2:2:2,1473441,2025,2025-03-24,2,2,2,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,17.666666666666668,0.11567539307625696,0,pressure_state,stable,0.11366050687774966,0.12566037735849056,23850,regime_cluster_features,holdout,0.017553138360681324,0,0.9824468616393187,False,0.9824468616393187,false_negative
1359489:2:5:4,1359489,2023,2023-04-10,2,5,4,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,14.333333333333334,0.06957931249754547,0,pressure_state,stable,0.13562345560059405,0.12566037735849056,23850,regime_cluster_features,holdout,0.018240769900110594,0,0.9817592300998894,False,0.9817592300998894,false_negative
1359489:2:4:1,1359489,2023,2023-04-10,2,4,1,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,15.833333333333334,0.10537558448555454,0,pressure_state,stable,0.1169255731433522,0.12566037735849056,23850,regime_cluster_features,holdout,0.018757591791373686,0,0.9812424082086263,False,0.9812424082086263,false_negative
1359489:2:5:3,1359489,2023,2023-04-10,2,5,3,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,14.5,0.0778750336570392,0,pressure_state,stable,0.12943885784334014,0.12566037735849056,23850,regime_cluster_features,holdout,0.018852670315996547,0,0.9811473296840034,False,0.9811473296840034,false_negative
1359489:2:5:2,1359489,2023,2023-04-10,2,5,2,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,14.666666666666666,0.08185045485466001,0,pressure_state,stable,0.13491782901395166,0.12566037735849056,23850,regime_cluster_features,holdout,0.019226143275535013,0,0.980773856724465,False,0.980773856724465,false_negative
1359489:2:4:6,1359489,2023,2023-04-10,2,4,6,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,15.0,0.09006613294706538,0,pressure_state,stable,0.1324490793153509,0.12566037735849056,23850,regime_cluster_features,holdout,0.019873099784733395,0,0.9801269002152666,False,0.9801269002152666,false_negative
1359489:2:5:1,1359489,2023,2023-04-10,2,5,1,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,14.833333333333334,0.08591507336157861,0,pressure_state,stable,0.12687538443489174,0.12566037735849056,23850,regime_cluster_features,holdout,0.01991359374514086,0,0.9800864062548591,False,0.9800864062548591,false_negative
