method,split,bin_low,bin_high,n,mean_predicted,mean_actual
baseline_ipl_v6_features,holdout,0.0,0.1,7227,0.04089609033995739,0.07707209077072091
baseline_ipl_v6_features,holdout,0.1,0.2,3603,0.1473787123828777,0.18096031085206774
baseline_ipl_v6_features,holdout,0.2,0.3,3998,0.2523897062573463,0.256128064032016
baseline_ipl_v6_features,holdout,0.3,0.4,5184,0.35305416388197713,0.3599537037037037
baseline_ipl_v6_features,holdout,0.4,0.5,6450,0.4528466785539068,0.4875968992248062
baseline_ipl_v6_features,holdout,0.5,0.6,5823,0.5499714717089347,0.5722136355830328
baseline_ipl_v6_features,holdout,0.6,0.7,5007,0.6478920035769392,0.6428999400838825
baseline_ipl_v6_features,holdout,0.7,0.8,4575,0.7505663363812316,0.7123497267759563
baseline_ipl_v6_features,holdout,0.8,0.9,4238,0.8508191805208567,0.8058046248230297
baseline_ipl_v6_features,holdout,0.9,1.0,4530,0.9510055910037373,0.9415011037527594
regime_retrieval_features,holdout,0.0,0.1,7223,0.04096416515382463,0.07849923854354146
regime_retrieval_features,holdout,0.1,0.2,3661,0.1477201668862093,0.18519530183010108
regime_retrieval_features,holdout,0.2,0.3,3966,0.2514020721748774,0.24533535047907212
regime_retrieval_features,holdout,0.3,0.4,5125,0.35265750712760646,0.3646829268292683
regime_retrieval_features,holdout,0.4,0.5,6227,0.45143767782853444,0.48241528826079977
regime_retrieval_features,holdout,0.5,0.6,5832,0.5496505884472356,0.5629286694101509
regime_retrieval_features,holdout,0.6,0.7,5211,0.647729280405864,0.6587986950681252
regime_retrieval_features,holdout,0.7,0.8,4563,0.7501492635989803,0.7078676309445541
regime_retrieval_features,holdout,0.8,0.9,4380,0.8485536282679129,0.8038812785388127
regime_retrieval_features,holdout,0.9,1.0,4447,0.950665684722997,0.9390600404767259
regime_cluster_features,holdout,0.0,0.1,7112,0.041516127692462955,0.07874015748031496
regime_cluster_features,holdout,0.1,0.2,3625,0.14727076026679123,0.1776551724137931
regime_cluster_features,holdout,0.2,0.3,4024,0.2513370620478766,0.24353876739562624
regime_cluster_features,holdout,0.3,0.4,5263,0.3530385876536922,0.3667110013300399
regime_cluster_features,holdout,0.4,0.5,6419,0.45197838254856393,0.4778002804175105
regime_cluster_features,holdout,0.5,0.6,5910,0.5499737633698705,0.5780033840947546
regime_cluster_features,holdout,0.6,0.7,4988,0.6480676516325723,0.6421411387329591
regime_cluster_features,holdout,0.7,0.8,4512,0.7500311967178058,0.717863475177305
regime_cluster_features,holdout,0.8,0.9,4287,0.8503402982958287,0.8075577326801959
regime_cluster_features,holdout,0.9,1.0,4495,0.950203215515072,0.9417130144605117
regime_hybrid_features,holdout,0.0,0.1,7181,0.04161654134927555,0.08216125887759365
regime_hybrid_features,holdout,0.1,0.2,3660,0.14697509683210042,0.17759562841530055
regime_hybrid_features,holdout,0.2,0.3,4036,0.2515062580153148,0.25173439048562934
regime_hybrid_features,holdout,0.3,0.4,5209,0.35316865816405374,0.35880207333461317
regime_hybrid_features,holdout,0.4,0.5,6246,0.4523141824291587,0.4899135446685879
regime_hybrid_features,holdout,0.5,0.6,6019,0.5501160194202329,0.5675361355706928
regime_hybrid_features,holdout,0.6,0.7,5098,0.6481714156726698,0.6459395841506473
regime_hybrid_features,holdout,0.7,0.8,4392,0.7498532952688707,0.7153916211293261
regime_hybrid_features,holdout,0.8,0.9,4230,0.8502991007303135,0.8044917257683215
regime_hybrid_features,holdout,0.9,1.0,4564,0.9497083554512296,0.9410604732690623
