method,split,bin_low,bin_high,n,mean_predicted,mean_actual
baseline_ipl_v6_features,season_2024,0.0,0.1,2118,0.046416822640766485,0.05524079320113314
baseline_ipl_v6_features,season_2024,0.1,0.2,1337,0.1476053845185841,0.1593118922961855
baseline_ipl_v6_features,season_2024,0.2,0.3,1238,0.25576023124880937,0.29967689822294025
baseline_ipl_v6_features,season_2024,0.3,0.4,1288,0.35685706528540384,0.36490683229813664
baseline_ipl_v6_features,season_2024,0.4,0.5,2022,0.45377331552979255,0.4431256181998022
baseline_ipl_v6_features,season_2024,0.5,0.6,1987,0.5485660192180162,0.5228988424760946
baseline_ipl_v6_features,season_2024,0.6,0.7,1516,0.6486465599644923,0.6827176781002638
baseline_ipl_v6_features,season_2024,0.7,0.8,1231,0.7478006355431974,0.7652315190901706
baseline_ipl_v6_features,season_2024,0.8,0.9,1099,0.8510305657352976,0.8553230209281165
baseline_ipl_v6_features,season_2024,0.9,1.0,1527,0.9485262494462066,0.9495743287491814
regime_cluster_features,season_2024,0.0,0.1,2114,0.0465344300915682,0.052980132450331126
regime_cluster_features,season_2024,0.1,0.2,1336,0.14637317319430126,0.1601796407185629
regime_cluster_features,season_2024,0.2,0.3,1234,0.2537998212426838,0.30307941653160453
regime_cluster_features,season_2024,0.3,0.4,1284,0.3559433407332599,0.367601246105919
regime_cluster_features,season_2024,0.4,0.5,2012,0.4526734387451134,0.43141153081510936
regime_cluster_features,season_2024,0.5,0.6,2052,0.5497694036796246,0.530214424951267
regime_cluster_features,season_2024,0.6,0.7,1453,0.6477372074713554,0.6751548520302821
regime_cluster_features,season_2024,0.7,0.8,1206,0.7458071881621777,0.7669983416252073
regime_cluster_features,season_2024,0.8,0.9,1153,0.852354806303527,0.8594969644405898
regime_cluster_features,season_2024,0.9,1.0,1519,0.9480752778972918,0.9532587228439763
baseline_ipl_v6_features,season_2025,0.0,0.1,1763,0.03981251913135436,0.06012478729438457
baseline_ipl_v6_features,season_2025,0.1,0.2,1096,0.14862673410155192,0.09306569343065693
baseline_ipl_v6_features,season_2025,0.2,0.3,1098,0.2518559984442085,0.1912568306010929
baseline_ipl_v6_features,season_2025,0.3,0.4,1424,0.3535768583908158,0.33075842696629215
baseline_ipl_v6_features,season_2025,0.4,0.5,1657,0.45312418853048764,0.43452021726010864
baseline_ipl_v6_features,season_2025,0.5,0.6,1837,0.5523416124684103,0.5291235710397387
baseline_ipl_v6_features,season_2025,0.6,0.7,1841,0.6486244618324467,0.6702878870179251
baseline_ipl_v6_features,season_2025,0.7,0.8,1807,0.7491842894799587,0.7166574432761483
baseline_ipl_v6_features,season_2025,0.8,0.9,1245,0.8459598402007721,0.8160642570281125
baseline_ipl_v6_features,season_2025,0.9,1.0,1275,0.952387980718276,0.9458823529411765
regime_cluster_features,season_2025,0.0,0.1,1744,0.04043905869475728,0.05791284403669725
regime_cluster_features,season_2025,0.1,0.2,1075,0.14726223871158475,0.08558139534883721
regime_cluster_features,season_2025,0.2,0.3,1154,0.25062263602861,0.19670710571923744
regime_cluster_features,season_2025,0.3,0.4,1443,0.3546588839803501,0.3180873180873181
regime_cluster_features,season_2025,0.4,0.5,1687,0.45292791203231275,0.42857142857142855
regime_cluster_features,season_2025,0.5,0.6,1812,0.5526959435293956,0.5331125827814569
regime_cluster_features,season_2025,0.6,0.7,1805,0.6503697755779464,0.6847645429362881
regime_cluster_features,season_2025,0.7,0.8,1800,0.7506236795378529,0.73
regime_cluster_features,season_2025,0.8,0.9,1273,0.8478156501680564,0.816967792615868
regime_cluster_features,season_2025,0.9,1.0,1250,0.9524320091402727,0.9392
baseline_ipl_v6_features,season_2026,0.0,0.1,526,0.04230749094197083,0.009505703422053232
baseline_ipl_v6_features,season_2026,0.1,0.2,226,0.15663658700305547,0.05309734513274336
baseline_ipl_v6_features,season_2026,0.2,0.3,512,0.2522577737328205,0.0234375
baseline_ipl_v6_features,season_2026,0.3,0.4,555,0.3490620059516828,0.17297297297297298
baseline_ipl_v6_features,season_2026,0.4,0.5,539,0.45113666087725757,0.43042671614100186
baseline_ipl_v6_features,season_2026,0.5,0.6,371,0.5480221533019756,0.6549865229110512
baseline_ipl_v6_features,season_2026,0.6,0.7,414,0.6576975622075446,0.7705314009661836
baseline_ipl_v6_features,season_2026,0.7,0.8,648,0.7501072374445739,0.7731481481481481
baseline_ipl_v6_features,season_2026,0.8,0.9,640,0.8450714107444657,0.784375
baseline_ipl_v6_features,season_2026,0.9,1.0,443,0.9490928891076711,1.0
regime_cluster_features,season_2026,0.0,0.1,522,0.04264689122295409,0.011494252873563218
regime_cluster_features,season_2026,0.1,0.2,200,0.15177994404810605,0.05
regime_cluster_features,season_2026,0.2,0.3,512,0.25081415278423,0.025390625
regime_cluster_features,season_2026,0.3,0.4,584,0.3479747821087883,0.16095890410958905
regime_cluster_features,season_2026,0.4,0.5,535,0.450526037742309,0.4205607476635514
regime_cluster_features,season_2026,0.5,0.6,371,0.5470949998694271,0.6738544474393531
regime_cluster_features,season_2026,0.6,0.7,421,0.656273308629878,0.7600950118764845
regime_cluster_features,season_2026,0.7,0.8,675,0.7493915207535318,0.7866666666666666
regime_cluster_features,season_2026,0.8,0.9,612,0.8449340403736966,0.7745098039215687
regime_cluster_features,season_2026,0.9,1.0,442,0.9501795241310926,1.0
