method,split,segment,n,brier,ece,log_loss,baseline_brier_delta,baseline_ece_delta,baseline_log_loss_delta
baseline_ipl_v6_features,season_2024,overall,15363,0.1686111221168346,0.016340238654691558,0.5015752522702661,0.0,0.0,0.0
baseline_ipl_v6_features,season_2024,innings_1,7974,0.21030271874031375,0.04388836927304724,0.6085396762549993,0.0,0.0,0.0
baseline_ipl_v6_features,season_2024,innings_1_powerplay,2059,0.2399344487921645,0.09330295864595649,0.6708827490192718,0.0,0.0,0.0
baseline_ipl_v6_features,season_2024,innings_1_middle,3834,0.20442150894240504,0.05581436162161875,0.5951864402074174,0.0,0.0,0.0
baseline_ipl_v6_features,season_2024,innings_1_death,2081,0.19181969432340898,0.1042857807936306,0.5714574658680662,0.0,0.0,0.0
baseline_ipl_v6_features,season_2024,innings_2,7389,0.1236187291711555,0.0454059241988284,0.38614226853034694,0.0,0.0,0.0
baseline_ipl_v6_features,season_2024,innings_2_powerplay,2059,0.15275464336599706,0.061478011781357825,0.4637318426320532,0.0,0.0,0.0
baseline_ipl_v6_features,season_2024,innings_2_middle,3727,0.12453535345382143,0.039019042540459965,0.3940735461120715,0.0,0.0,0.0
baseline_ipl_v6_features,season_2024,innings_2_death,1603,0.08406345404409712,0.05292261987047902,0.2680407060708953,0.0,0.0,0.0
regime_cluster_features,season_2024,overall,15363,0.16846441021750636,0.01772180768184598,0.5012139014212103,-0.000147,0.001382,-0.000361
regime_cluster_features,season_2024,innings_1,7974,0.21045067307879348,0.042987629477438914,0.6093947711057249,0.000148,-0.000901,0.000855
regime_cluster_features,season_2024,innings_1_powerplay,2059,0.23963004852999942,0.08933522218335437,0.670072479431903,-0.000304,-0.003968,-0.00081
regime_cluster_features,season_2024,innings_1_middle,3834,0.2043315408611596,0.059756161570839586,0.5955951376031067,-9e-05,0.003942,0.000409
regime_cluster_features,season_2024,innings_1_death,2081,0.19285356537498538,0.10439013165968769,0.5747827544817162,0.001034,0.000104,0.003325
regime_cluster_features,season_2024,innings_2,7389,0.12315402179472873,0.04576456681635638,0.3844681638566792,-0.000465,0.000359,-0.001674
regime_cluster_features,season_2024,innings_2_powerplay,2059,0.15168092803625233,0.06117201856422822,0.4601914830193073,-0.001074,-0.000306,-0.00354
regime_cluster_features,season_2024,innings_2_middle,3727,0.12415113517914445,0.03998862150350641,0.3928531296085117,-0.000384,0.00097,-0.00122
regime_cluster_features,season_2024,innings_2_death,1603,0.08419385864125746,0.05199429092745641,0.26770891150924875,0.00013,-0.000928,-0.000332
baseline_ipl_v6_features,season_2025,overall,15043,0.17085017083401513,0.027480431949012007,0.5115343697366368,0.0,0.0,0.0
baseline_ipl_v6_features,season_2025,innings_1,7784,0.21096548890897462,0.07273553639732105,0.6107236500252397,0.0,0.0,0.0
baseline_ipl_v6_features,season_2025,innings_1_powerplay,2030,0.23299683862458379,0.034928313237851394,0.6562434863692871,0.0,0.0,0.0
baseline_ipl_v6_features,season_2025,innings_1_middle,3771,0.20704373372653653,0.1080673991374145,0.6043882816864293,0.0,0.0,0.0
baseline_ipl_v6_features,season_2025,innings_1_death,1983,0.19586982520261428,0.1384341064046662,0.5761726698070034,0.0,0.0,0.0
baseline_ipl_v6_features,season_2025,innings_2,7259,0.1278335520303942,0.05814371758651183,0.40517132279263846,0.0,0.0,0.0
baseline_ipl_v6_features,season_2025,innings_2_powerplay,2030,0.16472188279020492,0.12194598465345967,0.508694802798708,0.0,0.0,0.0
baseline_ipl_v6_features,season_2025,innings_2_middle,3696,0.13234250649089566,0.04796149740396189,0.4206698556404348,0.0,0.0,0.0
baseline_ipl_v6_features,season_2025,innings_2_death,1533,0.06811508684550892,0.06351555928085505,0.23071911025658046,0.0,0.0,0.0
regime_cluster_features,season_2025,overall,15043,0.1692571751496436,0.029472939534996554,0.5084402199673487,-0.001593,0.001993,-0.003094
regime_cluster_features,season_2025,innings_1,7784,0.20971869798254159,0.07344611425939046,0.6082349411946413,-0.001247,0.000711,-0.002489
