method,split,segment,n,brier,ece,log_loss,baseline_brier_delta,baseline_ece_delta,baseline_log_loss_delta
baseline_ipl_v6_features,holdout,overall,50635,0.17864938115925807,0.024103286895051725,0.5295181325891972,0.0,0.0,0.0
baseline_ipl_v6_features,holdout,innings_1,26154,0.21900157231390668,0.03943162278927,0.6284895559169542,0.0,0.0,0.0
baseline_ipl_v6_features,holdout,innings_1_powerplay,6757,0.23857209291084977,0.055345301233792235,0.6684844840044227,0.0,0.0,0.0
baseline_ipl_v6_features,holdout,innings_1_middle,12594,0.21371292824177496,0.039629961144044226,0.6173600394331917,0.0,0.0,0.0
baseline_ipl_v6_features,holdout,innings_1_death,6803,0.20935394270504024,0.10695981773861377,0.6093684919024726,0.0,0.0,0.0
baseline_ipl_v6_features,holdout,innings_2,24481,0.13553957324868748,0.052527507444172145,0.4237831297006651,0.0,0.0,0.0
baseline_ipl_v6_features,holdout,innings_2_powerplay,6786,0.17397035384678908,0.0834247353797161,0.5296123830863633,0.0,0.0,0.0
baseline_ipl_v6_features,holdout,innings_2_middle,12364,0.13776263882599915,0.05585236830025129,0.4329045236783184,0.0,0.0,0.0
baseline_ipl_v6_features,holdout,innings_2_death,5331,0.08146392891617982,0.04716511232920677,0.2679147694277235,0.0,0.0,0.0
regime_retrieval_features,holdout,overall,50635,0.17877937883673772,0.02492796579562254,0.5304209706449089,0.00013,0.000825,0.000903
regime_retrieval_features,holdout,innings_1,26154,0.21800887753395523,0.0378766123503233,0.6265256288763541,-0.000993,-0.001555,-0.001964
regime_retrieval_features,holdout,innings_1_powerplay,6757,0.23695120670598488,0.054031308554371806,0.6649649912166165,-0.001621,-0.001314,-0.003519
regime_retrieval_features,holdout,innings_1_middle,12594,0.21284670727593372,0.03907888081793107,0.6155194433950357,-0.000866,-0.000551,-0.001841
regime_retrieval_features,holdout,innings_1_death,6803,0.20875105804462965,0.10965968365104538,0.608721296760901,-0.000603,0.0027,-0.000647
regime_retrieval_features,holdout,innings_2,24481,0.1368689867397226,0.05381546210091575,0.4277486438859849,0.001329,0.001288,0.003966
regime_retrieval_features,holdout,innings_2_powerplay,6786,0.17511563998191892,0.08372666416728888,0.5334338092357,0.001145,0.000302,0.003821
regime_retrieval_features,holdout,innings_2_middle,12364,0.13902553577637553,0.05704737364324275,0.4365607486434139,0.001263,0.001195,0.003656
regime_retrieval_features,holdout,innings_2_death,5331,0.08318199345690121,0.046920421365153064,0.27278102143540905,0.001718,-0.000245,0.004866
regime_cluster_features,holdout,overall,50635,0.17841012886786983,0.023815530445673323,0.5293541784174187,-0.000239,-0.000288,-0.000164
regime_cluster_features,holdout,innings_1,26154,0.21781325743917823,0.03530521234949687,0.6260449080133125,-0.001188,-0.004126,-0.002445
regime_cluster_features,holdout,innings_1_powerplay,6757,0.2366335734797363,0.04861245695605433,0.6644244915332168,-0.001939,-0.006733,-0.00406
regime_cluster_features,holdout,innings_1_middle,12594,0.21296103934532276,0.03875976240502309,0.6158102474181799,-0.000752,-0.00087,-0.00155
regime_cluster_features,holdout,innings_1_death,6803,0.20810282956735185,0.10443459083562577,0.6068716711606159,-0.001251,-0.002525,-0.002497
regime_cluster_features,holdout,innings_2,24481,0.13631424125486385,0.05077575973879087,0.4260557289320626,0.000775,-0.001752,0.002273
regime_cluster_features,holdout,innings_2_powerplay,6786,0.1742336407270488,0.07993827511195598,0.5303072524697234,0.000263,-0.003486,0.000695
regime_cluster_features,holdout,innings_2_middle,12364,0.13866823299789097,0.049856502319758474,0.4355137456861795,0.000906,-0.005996,0.002609
regime_cluster_features,holdout,innings_2_death,5331,0.08258589784292719,0.05032816512147119,0.2714149940090712,0.001122,0.003163,0.0035
regime_hybrid_features,holdout,overall,50635,0.1789880391755151,0.023089818117604004,0.5308379490288432,0.000339,-0.001013,0.00132
regime_hybrid_features,holdout,innings_1,26154,0.21882481698669093,0.03781123468294353,0.6284727913641682,-0.000177,-0.00162,-1.7e-05
regime_hybrid_features,holdout,innings_1_powerplay,6757,0.23805326998262213,0.05127921128775619,0.667599030221898,-0.000519,-0.004066,-0.000885
regime_hybrid_features,holdout,innings_1_middle,12594,0.2140209243089232,0.04076272955848444,0.6184817234146015,0.000308,0.001133,0.001122
regime_hybrid_features,holdout,innings_1_death,6803,0.20861954982371866,0.10463589717237702,0.6081069988895488,-0.000734,-0.002324,-0.001261
regime_hybrid_features,holdout,innings_2,24481,0.13642886729227943,0.05183095920649179,0.4265308673557868,0.000889,-0.000697,0.002748
regime_hybrid_features,holdout,innings_2_powerplay,6786,0.1746858617513144,0.08160650094539576,0.5319236426517011,0.000716,-0.001818,0.002311
regime_hybrid_features,holdout,innings_2_middle,12364,0.13859789289575208,0.053054738669482085,0.43537505332574256,0.000835,-0.002798,0.002471
regime_hybrid_features,holdout,innings_2_death,5331,0.08269977388384807,0.04895307565558188,0.2718610327111411,0.001236,0.001788,0.003946
