window,bucket,model,n,mean_pred,actual,gap_pp,brier
pp_1_6,above_par_hard,v7_raw,1394,0.2737659586326425,0.27116212338593976,0.2603835246702768,0.09035884025625973
pp_1_6,above_par_hard,v7_cal,1394,0.2520444714655722,0.27116212338593976,-1.9117651920367573,0.07222792408572468
pp_1_6,above_par_hard,v14_prod_raw,1394,0.29367193556271154,0.27116212338593976,2.250981217677178,0.06774285085694452
pp_1_6,above_par_hard,v14_prod_cal,1394,0.31339393344090005,0.27116212338593976,4.22318100549603,0.0746006581340254
pp_1_6,above_par_hard,v14_oos_raw,1394,0.25383486399101496,0.27116212338593976,-1.7327259394924799,0.12600844634258634
pp_1_6,above_par_hard,v14_oos_cal,1394,0.2765923181952897,0.27116212338593976,0.543019480934992,0.12873237747860697
pp_1_6,below_par_easy,v7_raw,780,0.8045516593213977,0.9538461538461539,-14.929449452475618,0.07628112421402164
pp_1_6,below_par_easy,v7_cal,780,0.9286667359117385,0.9538461538461539,-2.517941793441536,0.060767860046166716
pp_1_6,below_par_easy,v14_prod_raw,780,0.8599769377432533,0.9538461538461539,-9.386921610290056,0.05912521321982581
pp_1_6,below_par_easy,v14_prod_cal,780,0.8480795139172214,0.9538461538461539,-10.576663992893254,0.06411079569370524
pp_1_6,below_par_easy,v14_oos_raw,780,0.7752240621895082,0.9538461538461539,-17.862209165664567,0.15159908130275407
pp_1_6,below_par_easy,v14_oos_cal,780,0.7700384832118599,0.9538461538461539,-18.380767063429403,0.15399891221841702
pp_1_6,par,v7_raw,1307,0.5469708105616403,0.5975516449885233,-5.058083442688299,0.12468170688200791
pp_1_6,par,v7_cal,1307,0.6264575214288053,0.5975516449885233,2.8905876440281975,0.10848487553845931
pp_1_6,par,v14_prod_raw,1307,0.5338809722489358,0.5975516449885233,-6.367067273958749,0.10024105389283544
pp_1_6,par,v14_prod_cal,1307,0.5436020384806899,0.5975516449885233,-5.394960650783343,0.10665988879433415
pp_1_6,par,v14_oos_raw,1307,0.494031185106306,0.5975516449885233,-10.35204598822173,0.14906439518262873
pp_1_6,par,v14_oos_cal,1307,0.5018167760900427,0.5975516449885233,-9.57348688984806,0.15384489662798406
early_mid_7_12,above_par_hard,v7_raw,1388,0.2858333985870297,0.2665706051873199,1.926279339970982,0.055740968780009496
early_mid_7_12,above_par_hard,v7_cal,1388,0.2652015534684346,0.2665706051873199,-0.13690517188852946,0.0328488010750158
early_mid_7_12,above_par_hard,v14_prod_raw,1388,0.30831519406853763,0.2665706051873199,4.174458888121774,0.044225569383728715
early_mid_7_12,above_par_hard,v14_prod_cal,1388,0.3180222471337269,0.2665706051873199,5.1451641946407,0.04944010767803452
early_mid_7_12,above_par_hard,v14_oos_raw,1388,0.302650647832542,0.2665706051873199,3.608004264522208,0.08089905229614613
early_mid_7_12,above_par_hard,v14_oos_cal,1388,0.3132433301501928,0.2665706051873199,4.667272496287289,0.0850395306209569
early_mid_7_12,below_par_easy,v7_raw,726,0.8334542284866413,0.9490358126721763,-11.5581584185535,0.063152267916665
early_mid_7_12,below_par_easy,v7_cal,726,0.9276679050471304,0.9490358126721763,-2.1367907625045923,0.053441826858566896
early_mid_7_12,below_par_easy,v14_prod_raw,726,0.8489872802901356,0.9490358126721763,-10.00485323820407,0.058758820970052125
early_mid_7_12,below_par_easy,v14_prod_cal,726,0.8381578304538048,0.9490358126721763,-11.087798221837152,0.06068143749172529
early_mid_7_12,below_par_easy,v14_oos_raw,726,0.7901558265391065,0.9490358126721763,-15.887998613306975,0.1544108449323804
early_mid_7_12,below_par_easy,v14_oos_cal,726,0.7810600691926427,0.9490358126721763,-16.797574347953358,0.1510655894419418
early_mid_7_12,par,v7_raw,1304,0.6008457429746055,0.6111963190184049,-1.0350576043799409,0.10007366793686051
early_mid_7_12,par,v7_cal,1304,0.656986257364001,0.6111963190184049,4.578993834559608,0.10480877111971955
early_mid_7_12,par,v14_prod_raw,1304,0.5861962392972719,0.6111963190184049,-2.500007972113294,0.0856747707827055
early_mid_7_12,par,v14_prod_cal,1304,0.5865350244551115,0.6111963190184049,-2.4661294563293357,0.08938763517061367
early_mid_7_12,par,v14_oos_raw,1304,0.58629130461776,0.6111963190184049,-2.4905014400644854,0.1289604750945797
early_mid_7_12,par,v14_oos_cal,1304,0.5847252154282117,0.6111963190184049,-2.6471103590193223,0.12975967501920707
first_half_6_12,above_par_hard,v7_raw,1616,0.28666088420762875,0.26732673267326734,1.933415153436141,0.05598187054093239
first_half_6_12,above_par_hard,v7_cal,1616,0.2690020317350009,0.26732673267326734,0.16752990617335817,0.03146099713276814
first_half_6_12,above_par_hard,v14_prod_raw,1616,0.30405756119852934,0.26732673267326734,3.6730828525261994,0.044309168785126085
first_half_6_12,above_par_hard,v14_prod_cal,1616,0.31507781287943576,0.26732673267326734,4.775108020616842,0.04980152172268498
first_half_6_12,above_par_hard,v14_oos_raw,1616,0.29254125213296034,0.26732673267326734,2.5214519459692997,0.08321496623290901
first_half_6_12,above_par_hard,v14_oos_cal,1616,0.3056554986480273,0.26732673267326734,3.832876597475998,0.08640240982997095
first_half_6_12,below_par_easy,v7_raw,854,0.8316020424751808,0.949648711943794,-11.80466694686132,0.06602254638094192
first_half_6_12,below_par_easy,v7_cal,854,0.9294200089744529,0.949648711943794,-2.0228702969341095,0.05539038884224198
first_half_6_12,below_par_easy,v14_prod_raw,854,0.8507977296120147,0.949648711943794,-9.885098233177924,0.059866512175462995
first_half_6_12,below_par_easy,v14_prod_cal,854,0.8411494815251948,0.949648711943794,-10.84992304185992,0.0614927188104529
first_half_6_12,below_par_easy,v14_oos_raw,854,0.7870901063266127,0.949648711943794,-16.255860561718126,0.1560653825544351
first_half_6_12,below_par_easy,v14_oos_cal,854,0.780398679808987,0.949648711943794,-16.925003213480693,0.1527151327997241
first_half_6_12,par,v7_raw,1525,0.5989625717479643,0.6098360655737705,-1.0873493825806158,0.10107951699822305
first_half_6_12,par,v7_cal,1525,0.6574346770730342,0.6098360655737705,4.75986114992637,0.1039696580248552
