overs,score,wickets,saved_model,scorecard_replay,router_raw,phase,rule,b1,b1_balls,b2,b2_balls,set_batter_exposure,balls_since_wicket,partnership_solidity,runs_last_12,runs_last_18,wickets_last_12,v7_raw,v7_cal
0.0,0,0,0.4769826299319868,0.5560716413812694,0.5275308389042462,pp,inn2_par_pp_mid,Abhishek Sharma,0,Travis Head,0,0.5,1.0,0.3158333333333333,0.0,0.0,0.0,0.3912599750419521,0.3912599750419521
0.1,0,0,0.4204538395636295,0.4722607527051227,0.4722607527051227,pp,,Abhishek Sharma,1,Travis Head,0,1.0,2.0,0.3316666666666666,0.0,0.0,0.0,0.3616978280943219,0.3616978280943219
0.2,4,0,0.5725036643688465,0.8379888268156425,0.676725945815503,pp,inn2_par_pp_mid,Abhishek Sharma,1,Travis Head,1,1.0,3.0,0.345,4.0,4.0,0.0,0.5367952469879319,0.5367952469879319
0.3,4,0,0.2139902081389213,0.283491876558771,0.283491876558771,pp,,Abhishek Sharma,2,Travis Head,1,2.0,4.0,0.3633333333333333,4.0,4.0,0.0,0.4334343642087326,0.4334343642087326
0.4,4,0,0.1978747457008424,0.2514916591755322,0.2514916591755322,pp,,Abhishek Sharma,2,Travis Head,2,2.0,5.0,0.3766666666666666,4.0,4.0,0.0,0.4106667631228226,0.4106667631228226
0.5,8,0,0.2543354717852688,0.3260409694204032,0.3260409694204032,pp,,Abhishek Sharma,3,Travis Head,2,3.0,6.0,0.395,8.0,8.0,0.0,0.5074730897636494,0.5074730897636494
0.5,9,0,0.4347415237751031,0.5793650793650794,0.5537568144449715,pp,inn2_par_pp_mid,Abhishek Sharma,3,Travis Head,2,3.0,6.0,0.395,8.0,8.0,0.0,0.5391631160878444,0.5391631160878444
1.0,10,0,0.2828094786987774,0.3646547000792017,0.3646547000792017,pp,,Abhishek Sharma,4,Travis Head,2,4.0,7.0,0.4133333333333333,9.0,9.0,0.0,0.5202200603801529,0.5202200603801529
1.1,10,0,0.226501671863902,0.2891702963785512,0.2891702963785512,pp,,Abhishek Sharma,4,Travis Head,3,4.0,8.0,0.4266666666666666,9.0,9.0,0.0,0.4561331914967841,0.4561331914967841
1.2,11,0,0.2224425405955942,0.2838977347061933,0.2838977347061933,pp,,Abhishek Sharma,5,Travis Head,3,5.0,9.0,0.4449999999999999,10.0,10.0,0.0,0.45239583302691716,0.45239583302691716
