overs,score,wickets,saved_model,scorecard_replay,router_raw,phase,rule,b1,b1_balls,b2,b2_balls,set_batter_exposure,balls_since_wicket,partnership_solidity,runs_last_12,runs_last_18,wickets_last_12,v7_raw,v7_cal,legal,score_t,score_status,near_age_sec,near_srh_market_prob_norm,near_srh_market_prob_raw,near_srh_back,near_srh_lay,near_market_status,prev_age_sec,prev_srh_market_prob_norm,prev_srh_back,prev_srh_lay
0.0,0,0,0.4769826299319868,0.5560716413812694,0.5275308389042462,pp,inn2_par_pp_mid,Abhishek Sharma,0,Travis Head,0,0.5,1.0,0.3158333333333333,0.0,0.0,0.0,0.3912599750419521,0.3912599750419521,0,2026-05-18 16:03:30.600000+00:00,Innings Break,-0.461,0.6059880239520959,0.60790273556231,1.64,1.65,active,-0.461,0.6059880239520959,1.64,1.65
0.1,0,0,0.4204538395636295,0.4722607527051227,0.4722607527051227,pp,,Abhishek Sharma,1,Travis Head,0,1.0,2.0,0.3316666666666666,0.0,0.0,0.0,0.3616978280943219,0.3616978280943219,1,2026-05-18 16:12:30.811000+00:00,0,-0.457,0.6210153482880755,0.6230529595015576,1.6,1.61,active,-0.457,0.6210153482880755,1.6,1.61
0.2,4,0,0.5725036643688465,0.8379888268156425,0.676725945815503,pp,inn2_par_pp_mid,Abhishek Sharma,1,Travis Head,1,1.0,3.0,0.345,4.0,4.0,0.0,0.5367952469879319,0.5367952469879319,2,2026-05-18 16:13:10.158000+00:00,Four,-0.518,0.6648106904231625,0.6644518272425249,1.49,1.52,active,-0.518,0.6648106904231625,1.49,1.52
0.3,4,0,0.2139902081389213,0.283491876558771,0.283491876558771,pp,,Abhishek Sharma,2,Travis Head,1,2.0,4.0,0.3633333333333333,4.0,4.0,0.0,0.4334343642087326,0.4334343642087326,3,2026-05-18 16:13:40.287000+00:00,0,-0.508,0.6692477876106194,0.6688963210702341,1.49,1.5,active,-0.508,0.6692477876106194,1.49,1.5
0.4,4,0,0.1978747457008424,0.2514916591755322,0.2514916591755322,pp,,Abhishek Sharma,2,Travis Head,2,2.0,5.0,0.3766666666666666,4.0,4.0,0.0,0.4106667631228226,0.4106667631228226,4,2026-05-18 16:14:16.750000+00:00,0,-0.496,0.6692477876106194,0.6688963210702341,1.49,1.5,active,-0.496,0.6692477876106194,1.49,1.5
0.5,8,0,0.2543354717852688,0.3260409694204032,0.3260409694204032,pp,,Abhishek Sharma,3,Travis Head,2,3.0,6.0,0.395,8.0,8.0,0.0,0.5074730897636494,0.5074730897636494,5,2026-05-18 16:14:57.622000+00:00,Four,-0.45,0.6857451403887689,0.6872852233676976,1.45,1.46,active,-0.45,0.6857451403887689,1.45,1.46
0.5,9,0,0.4347415237751031,0.5793650793650794,0.5537568144449715,pp,inn2_par_pp_mid,Abhishek Sharma,3,Travis Head,2,3.0,6.0,0.395,8.0,8.0,0.0,0.5391631160878444,0.5391631160878444,5,2026-05-18 16:15:37.288000+00:00,Wide Ball,-0.449,0.6808278867102397,0.6825938566552902,1.46,1.47,active,-0.449,0.6808278867102397,1.46,1.47
1.0,10,0,0.2828094786987774,0.3646547000792017,0.3646547000792017,pp,,Abhishek Sharma,4,Travis Head,2,4.0,7.0,0.4133333333333333,9.0,9.0,0.0,0.5202200603801529,0.5202200603801529,6,2026-05-18 16:16:20.269000+00:00,1,-0.499,0.6874328678839957,0.6872852233676976,1.45,1.46,active,-0.499,0.6874328678839957,1.45,1.46
1.1,10,0,0.226501671863902,0.2891702963785512,0.2891702963785512,pp,,Abhishek Sharma,4,Travis Head,3,4.0,8.0,0.4266666666666666,9.0,9.0,0.0,0.4561331914967841,0.4561331914967841,7,2026-05-18 16:17:45.416000+00:00,0,-0.454,0.674342105263158,0.6734006734006734,1.48,1.49,active,-0.454,0.674342105263158,1.48,1.49
1.2,11,0,0.2224425405955942,0.2838977347061933,0.2838977347061933,pp,,Abhishek Sharma,5,Travis Head,3,5.0,9.0,0.4449999999999999,10.0,10.0,0.0,0.4523958330269171,0.4523958330269171,8,2026-05-18 16:18:25.870000+00:00,1,-0.933,0.6644370122630991,0.6644518272425249,1.5,1.51,active,-0.933,0.6644370122630991,1.5,1.51
