slice,candidate,mid_window,par_type,prob_band,n,brier_cal,logloss_cal,mean_pred,actual_wr,gap_pp,target_above_par,venue_chase_success,batting_team_venue_wr,venue_chase_bucket,team_venue_bucket,venue_score_bucket
mid_window+par_type+prob_band,baseline_mid,early_7_11,high_target,00_50,858,0.07797383694960493,0.2684446858807262,0.16977395380358795,0.08041958041958042,8.935437338400753,45.55978784705142,0.5707187475504936,0.5026711839622899,,,
mid_window+par_type+prob_band,baseline_mid,early_7_11,high_target,50_60,48,0.2730845756022243,0.7397517070809502,0.5636539101581807,0.3333333333333333,23.032057682484737,27.49443060315457,0.5645833959636043,0.558510746976136,,,
mid_window+par_type+prob_band,baseline_mid,early_7_11,high_target,60_70,76,0.18285100754105557,0.553378719017952,0.6523174111409501,0.7631578947368421,-11.084048359589204,35.59275223132132,0.5734697046374678,0.6281893592677344,,,
mid_window+par_type+prob_band,baseline_mid,early_7_11,high_target,70_80,72,0.06647959773038997,0.2965320282132112,0.7440266206048478,1.0,-25.59733793951522,39.636021337844255,0.5681571996676164,0.5906250000000001,,,
mid_window+par_type+prob_band,baseline_mid,early_7_11,high_target,80_100,94,0.0133164140791508,0.1097305166631927,0.8976538645658874,1.0,-10.234613543411264,34.78857681916193,0.5433747694385994,0.5023176291793311,,,
mid_window+par_type+prob_band,baseline_mid,early_7_11,low_target,00_50,122,0.492548828937698,1.2939670659782139,0.30882878063730246,1.0,-69.11712193626975,-32.29607655282679,0.38182277381891644,0.4993169398907104,,,
mid_window+par_type+prob_band,baseline_mid,early_7_11,low_target,70_80,91,0.0548812183388771,0.26574444502651307,0.7670430259458194,1.0,-23.29569740541806,-29.731606488749343,0.5345473574045003,0.5765567765567765,,,
mid_window+par_type+prob_band,baseline_mid,early_7_11,low_target,80_100,391,0.07181793322525469,0.2975475800415242,0.9371463073647387,0.928388746803069,0.8757560561669653,-53.7266654976336,0.4724292083724911,0.5240652782852271,,,
mid_window+par_type+prob_band,baseline_mid,early_7_11,par_target,00_50,417,0.1466945019928277,0.4472240096515548,0.24191850921102187,0.2302158273381295,1.1702681872892362,6.916772133821988,0.5402998806223801,0.47404093531897173,,,
mid_window+par_type+prob_band,baseline_mid,early_7_11,par_target,50_60,86,0.2344659073489505,0.6618373121752823,0.5550988541282909,0.6976744186046512,-14.257556447636032,-1.1118400468828495,0.5586542741372086,0.46317829457364346,,,
mid_window+par_type+prob_band,baseline_mid,early_7_11,par_target,60_70,129,0.19014363056234954,0.5700201925866756,0.6560971063496671,0.7751937984496124,-11.909669209994533,-1.3758382186610227,0.5169740567652608,0.4697305278700627,,,
mid_window+par_type+prob_band,baseline_mid,early_7_11,par_target,70_80,135,0.17232781936210348,0.5283686756579536,0.7589205835208404,0.7777777777777778,-1.8857194256937437,-4.27469522208031,0.5613750117758692,0.46756132756132757,,,
mid_window+par_type+prob_band,baseline_mid,early_7_11,par_target,80_100,319,0.0554074695665377,0.20587924426278695,0.9147751510425464,0.9373040752351097,-2.252892419256336,-3.4706191202828682,0.5526993410143469,0.5111841658863603,,,
mid_window+par_type+prob_band,baseline_mid,late_12_15,high_target,00_50,684,0.051396557701708916,0.19460456538075382,0.14285036486178615,0.027777777777777776,11.507258708400837,46.22830688624651,0.5678793901882773,0.4995619034833023,,,
mid_window+par_type+prob_band,baseline_mid,late_12_15,high_target,50_60,41,0.2346772644378027,0.6625514624166511,0.5601493119250992,0.7560975609756098,-19.594824905051055,28.62386466288906,0.5651556212531823,0.5208461237930456,,,
mid_window+par_type+prob_band,baseline_mid,late_12_15,high_target,80_100,150,0.009809900510224961,0.08827248697998397,0.9171327382047332,1.0,-8.286726179526681,38.112198272406616,0.5554101531184865,0.5314496658312448,,,
mid_window+par_type+prob_band,baseline_mid,late_12_15,low_target,00_50,41,0.5650305701326425,1.5966178647377598,0.2692025646090751,1.0,-73.07974353909249,-26.85294117647059,0.2065997130559541,0.5,,,
mid_window+par_type+prob_band,baseline_mid,late_12_15,low_target,80_100,270,0.031606575624498784,0.12964253854751567,0.9408976356444247,0.9666666666666667,-2.576903102224193,-41.042401823243324,0.4801425852046767,0.5327219282774838,,,
mid_window+par_type+prob_band,baseline_mid,late_12_15,par_target,00_50,320,0.09222577012905318,0.30480596967545903,0.20077368859453398,0.153125,4.764868859453397,6.122516725458556,0.5441404704792608,0.4730996148459384,,,
mid_window+par_type+prob_band,baseline_mid,late_12_15,par_target,50_60,70,0.23828260353586544,0.6696103290703996,0.5491071936723181,0.6857142857142857,-13.660709204196763,3.2202995328566213,0.5288872737033102,0.5104761904761905,,,
mid_window+par_type+prob_band,baseline_mid,late_12_15,par_target,70_80,43,0.07945052449867854,0.3261077129981683,0.7409744429734574,0.9767441860465116,-23.57697430730542,-0.8465218461047979,0.5422845660245472,0.38023255813953494,,,
mid_window+par_type+prob_band,baseline_mid,late_12_15,par_target,80_100,397,0.05543457053198912,0.18978434530536048,0.9484359335914501,0.9345088161209067,1.3927117470543315,-2.905411687320728,0.5562688703004409,0.49251420284165875,,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,high_target,00_50,658,0.09077134773781156,0.303575389529721,0.1838770093865621,0.0911854103343465,9.26915990522156,42.50894826239739,0.6069708337514388,0.5053662709337801,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,high_target,60_70,50,0.15727247452783172,0.5006878647255076,0.6572918165074404,0.86,-20.270818349255958,36.023483391608394,0.601673951048951,0.6929999999999998,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,high_target,70_80,43,0.07123522551155212,0.30933634539993454,0.7343903828313841,1.0,-26.560961716861588,38.17252410057643,0.6141236831643808,0.6779069767441861,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,high_target,80_100,62,0.015710964801109256,0.12060946545561109,0.8881392448084638,1.0,-11.186075519153615,33.27939757375242,0.6003239591949271,0.470967741935484,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,high_target,00_50,168,0.04262945063386764,0.1786874513681477,0.14361773324082489,0.05357142857142857,9.00463046693963,59.71077390543229,0.489820695177838,0.49262422360248453,neutral_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,low_target,00_50,43,0.39857664291128375,1.001094776313624,0.37038663394155935,1.0,-62.96133660584407,-33.02104097452935,0.6057585825027686,0.5503875968992248,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,low_target,70_80,63,0.0559771084152491,0.26850884778759315,0.765029669594718,1.0,-23.497033040528205,-27.834542705971273,0.60281179138322,0.6105820105820102,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,low_target,80_100,187,0.007346285520982981,0.06874348743219312,0.935314202759634,1.0,-6.468579724036605,-51.061694677871145,0.5933295136236312,0.5419404125286478,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,low_target,00_50,61,0.6047060688233634,1.625387742643627,0.23218356468508666,1.0,-76.78164353149133,-29.833654773384765,0.20250723240115723,0.5,low_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,low_target,80_100,150,0.17445250867080508,0.6576120180025458,0.947109125755239,0.8133333333333334,13.377579242190563,-59.13733333333332,0.31155555555555553,0.5137777777777778,low_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,low_target,80_100,54,0.009984818482037128,0.08970868418581514,0.9158163222273231,1.0,-8.418367777267688,-47.925727866904346,0.5006271869016966,0.49074074074074076,neutral_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,par_target,00_50,159,0.06993645094394446,0.26499130913369146,0.214653543996979,0.07547169811320754,13.918184588377148,8.805027679027472,0.6041266078228202,0.4197804908126772,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,par_target,50_60,52,0.25417566051677953,0.7017058690743767,0.5508452088749514,0.6153846153846154,-6.4539406509664055,7.910001015328925,0.6136683547143699,0.45512820512820507,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,par_target,60_70,63,0.1868503822728614,0.5613086303043827,0.6643200536190973,0.746031746031746,-8.171169241264876,1.789418121888338,0.5944969584807236,0.4777021919879062,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,par_target,70_80,90,0.1523399441816996,0.48521614637532473,0.760735046455753,0.8222222222222222,-6.148717576646923,-5.336531137214032,0.6136707047983072,0.46319384319384316,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,par_target,80_100,198,0.07484278336894261,0.2647247924859079,0.9029361069865778,0.9141414141414141,-1.1205307154836364,-3.9608469276662963,0.6069340846360388,0.5159987319078227,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,par_target,80_100,66,0.038549928335663515,0.15001012094458258,0.9275570378306827,0.9545454545454546,-2.6988416714771923,-8.72253787878788,0.40625,0.5,low_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,par_target,00_50,226,0.21341390748905403,0.6016155176522177,0.2631697554255949,0.37168141592920356,-10.851166050360867,5.623722325243666,0.5089676874047872,0.5186534790907514,neutral_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,early_7_11,par_target,80_100,55,0.005669389354929113,0.061078218641396585,0.9420574454982689,1.0,-5.794255450173114,4.596503496503492,0.5331934731934733,0.5072727272727273,neutral_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,late_12_15,high_target,00_50,504,0.05956579051723271,0.21782243570774285,0.15409758334553253,0.03571428571428571,11.838329763124682,43.69650157007009,0.6066347985182883,0.4990086150447992,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,late_12_15,high_target,80_100,94,0.009771385933034784,0.08927249594433172,0.9160994225744684,1.0,-8.390057742553159,35.3730937477613,0.6081772960097431,0.547051138484509,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,late_12_15,high_target,00_50,153,0.03353616610629705,0.1506767667240274,0.129232268822192,0.006535947712418301,12.26963211097737,56.726307966518256,0.4963108786638198,0.5013071895424837,neutral_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,late_12_15,low_target,80_100,125,0.007797855857184728,0.07198778429092295,0.9323153447252978,1.0,-6.768465527470225,-32.56219206349207,0.5932996825396823,0.563479365079365,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,late_12_15,low_target,80_100,72,0.10040257415153436,0.3156190418399152,0.9389114452260494,0.875,6.391144522604941,-52.137301587301586,0.2813492063492063,0.5541666666666667,low_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,late_12_15,low_target,80_100,73,0.004521343802138421,0.044937552862876116,0.9575523216035194,1.0,-4.2447678396480555,-44.620394110321584,0.4824506141186238,0.4589041095890411,neutral_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,late_12_15,par_target,00_50,158,0.07483997532749649,0.2442617639160051,0.1553457230637658,0.13291139240506328,2.243433065870251,8.244713344416773,0.6016619380183327,0.4502357905187391,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,late_12_15,par_target,80_100,255,0.07898956000641245,0.25641513432119767,0.946058201258418,0.9058823529411765,4.017584831724152,-2.9697552195622143,0.6104784035568631,0.4994567523979288,high_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,late_12_15,par_target,80_100,71,0.022017486385778638,0.09591594586786119,0.9474194695093107,0.971830985915493,-2.441151640618233,-6.249827914857565,0.40859631473048835,0.5,low_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,late_12_15,par_target,00_50,131,0.11426113240572462,0.37315847610867264,0.24026483086289654,0.21374045801526717,2.6524372847629376,3.461983285462248,0.4986206777932164,0.508486753480018,neutral_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,late_12_15,par_target,50_60,44,0.2055361666975771,0.6036456855528152,0.5489891398524296,0.9545454545454546,-40.5556314693025,-0.46795595708638743,0.5039282830306674,0.5166666666666667,neutral_venue_chase,,
mid_window+par_type+venue_chase_bucket+prob_band,baseline_mid,late_12_15,par_target,80_100,71,0.004252748819355284,0.04434498137612095,0.9579921405598324,1.0,-4.2007859440167605,0.6700975081256741,0.5092452148790179,0.460093896713615,neutral_venue_chase,,
mid_window+par_type+team_venue_bucket+prob_band,baseline_mid,early_7_11,high_target,00_50,345,0.07043100100887041,0.25575947276514516,0.17304986379425277,0.08405797101449275,8.899189277976003,43.041414056390565,0.6173361779557239,0.6201325275173649,,high_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,baseline_mid,early_7_11,high_target,60_70,54,0.17166452192837353,0.5300259005267154,0.6526100691020512,0.7962962962962963,-14.368622719424506,33.55878091815592,0.5941425472675473,0.7012479871175528,,high_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,baseline_mid,early_7_11,high_target,00_50,145,0.025833604452074724,0.1298091871265075,0.11345647346857675,0.0,11.345647346857675,40.265037593984964,0.592597873995333,0.2482758620689655,,low_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,baseline_mid,early_7_11,high_target,00_50,368,0.10558963073138558,0.33496247350093583,0.1888930997323848,0.10869565217391304,8.019744755847176,50.007009978770505,0.5183940550931397,0.4927884615384616,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,baseline_mid,early_7_11,low_target,70_80,55,0.05758896157816196,0.2729434762426961,0.7616575627318195,1.0,-23.83424372681805,-27.9247619047619,0.6073766233766236,0.6266666666666666,,high_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,baseline_mid,early_7_11,low_target,80_100,116,0.008597982921604259,0.07821250951931269,0.926545024861815,1.0,-7.3454975138185,-51.78977832512315,0.5323809523809522,0.612151067323481,,high_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,baseline_mid,early_7_11,low_target,00_50,91,0.5364700154304484,1.418789439993535,0.2778659176385992,1.0,-72.21340823614008,-30.350032320620556,0.33354880413703936,0.5,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,baseline_mid,early_7_11,low_target,80_100,240,0.11252037486675248,0.4426045921387314,0.9372704723344014,0.8833333333333333,5.393713900106811,-55.70114816760036,0.45310603408029876,0.5,,neutral_team_venue,
