phase,chase_type,prob_bin,n,mean_pred,actual_wr,gap_pp
mid,high,00-10,685,0.02832247985893912,0.0,2.832247985893912
mid,high,10-20,284,0.1560311036272495,0.08098591549295775,7.504518813429176
mid,high,20-30,288,0.24820576675088013,0.08333333333333333,16.48724334175468
mid,high,30-40,187,0.3445747245733319,0.09090909090909091,25.3665633664241
mid,high,40-50,94,0.4387214797741767,0.23404255319148937,20.46789265826873
mid,high,50-60,92,0.5599396242954028,0.5760869565217391,-1.6147332226336353
mid,high,60-70,106,0.6491972803976319,0.7075471698113207,-5.834988941368879
mid,high,70-80,111,0.7456431736513998,0.9369369369369369,-19.129376328553715
mid,high,80-90,104,0.8584091092284343,1.0,-14.159089077156573
mid,high,90-100,138,0.9512755540685052,1.0,-4.872444593149483
mid,low,00-10,12,0.08274640272165708,1.0,-91.72535972783429
mid,low,10-20,39,0.13057030192015323,1.0,-86.94296980798468
mid,low,20-30,2,0.2386108857881095,1.0,-76.13891142118905
mid,low,30-40,64,0.351041505908874,1.0,-64.8958494091126
mid,low,40-50,44,0.4464072801279192,1.0,-55.35927198720808
mid,low,50-60,30,0.5459630607892215,0.9,-35.40369392107785
mid,low,60-70,35,0.6543468104660338,0.9142857142857143,-25.993890381968043
mid,low,70-80,126,0.7628679424856768,0.9365079365079365,-17.36399940222597
mid,low,80-90,143,0.8575513539836677,0.972027972027972,-11.447661804430432
mid,low,90-100,515,0.9635725657913436,0.9378640776699029,2.5708488121440776
mid,par,00-10,178,0.04146475537915127,0.0,4.146475537915127
mid,par,10-20,134,0.1575690112373029,0.05223880597014925,10.533020526715365
mid,par,20-30,201,0.24026781399381247,0.14925373134328357,9.101408265052891
mid,par,30-40,119,0.34887863500646715,0.40336134453781514,-5.448270953134799
mid,par,40-50,116,0.4497085854499729,0.5948275862068966,-14.511900075692369
mid,par,50-60,167,0.5544185625696679,0.688622754491018,-13.420419192135002
mid,par,60-70,129,0.6551279579629943,0.7829457364341085,-12.78177784711142
mid,par,70-80,193,0.7485212773335419,0.8186528497409327,-7.013157240739076
mid,par,80-90,176,0.8467870389798858,0.7840909090909091,6.269612988897677
mid,par,90-100,538,0.9591076300439683,0.983271375464684,-2.4163745420715754
