phase,chase_type,prob_bin,n,mean_pred,actual_wr,gap_pp
early_mid,high,00-10,364,0.033366925788422125,0.0,3.3366925788422126
early_mid,high,10-20,202,0.16077349327545185,0.07425742574257425,8.651606753287759
early_mid,high,20-30,119,0.2500391580906349,0.14285714285714285,10.718201523349208
early_mid,high,30-40,110,0.3386219804106758,0.17272727272727273,16.58947076834031
early_mid,high,40-50,65,0.43657176622296745,0.27692307692307694,15.964868929989052
early_mid,high,50-60,53,0.5491601714581485,0.6415094339622641,-9.234926250411558
early_mid,high,60-70,102,0.6606128569576857,0.7156862745098039,-5.507341755211826
early_mid,high,70-80,60,0.7423488258537433,1.0,-25.76511741462567
early_mid,high,80-90,31,0.8435770725292856,1.0,-15.64229274707144
early_mid,high,90-100,42,0.9485712298328574,1.0,-5.142877016714264
early_mid,low,00-10,19,0.08251086008858916,1.0,-91.7489139911411
early_mid,low,10-20,12,0.11463376138394395,1.0,-88.5366238616056
early_mid,low,20-30,3,0.2779801215481018,1.0,-72.20198784518982
early_mid,low,30-40,46,0.34711479771567283,1.0,-65.28852022843272
early_mid,low,40-50,35,0.4411417621108585,1.0,-55.88582378891416
early_mid,low,50-60,10,0.5354962822213325,1.0,-46.45037177786675
early_mid,low,60-70,16,0.663020803466804,0.8125,-14.947919653319596
early_mid,low,70-80,76,0.7603535397261298,1.0,-23.964646027387015
early_mid,low,80-90,119,0.857860135718242,1.0,-14.213986428175795
early_mid,low,90-100,286,0.9652398044969238,0.9020979020979021,6.314190239902173
early_mid,par,00-10,80,0.0482071198458911,0.0,4.82071198458911
early_mid,par,10-20,97,0.16096462573409334,0.08247422680412371,7.849039892996963
early_mid,par,20-30,110,0.24273216877903556,0.20909090909090908,3.364125968812648
early_mid,par,30-40,91,0.3416390604883138,0.42857142857142855,-8.693236808311477
early_mid,par,40-50,42,0.44268397470216786,0.5476190476190477,-10.493507291687981
early_mid,par,50-60,75,0.5602322415171473,0.8,-23.97677584828527
early_mid,par,60-70,126,0.6461347452280546,0.7857142857142857,-13.957954048623112
early_mid,par,70-80,174,0.7510071199100329,0.7701149425287356,-1.9107822618702697
early_mid,par,80-90,88,0.8459693875096129,0.8636363636363636,-1.7666976126750722
early_mid,par,90-100,203,0.9440032319251535,0.9753694581280788,-3.1366226202925396
late_mid,high,00-10,318,0.021066228699481448,0.0,2.106622869948145
late_mid,high,10-20,71,0.13951007244805588,0.0,13.951007244805588
late_mid,high,20-30,118,0.24778959991022514,0.07627118644067797,17.151841346954715
late_mid,high,30-40,114,0.343911767658923,0.02631578947368421,31.759597818523876
late_mid,high,40-50,41,0.4320598651099044,0.07317073170731707,35.88891334025873
late_mid,high,50-60,38,0.5448762438079598,0.5526315789473685,-0.7755335139408626
late_mid,high,60-70,28,0.6524597187752266,0.6428571428571429,0.9602575918083667
late_mid,high,70-80,45,0.7422016446574848,0.7111111111111111,3.10905335463737
late_mid,high,80-90,50,0.8529359933315562,0.94,-8.706400666844372
late_mid,high,90-100,118,0.9584706115394905,1.0,-4.152938846050946
late_mid,low,00-10,8,0.06906032846483018,1.0,-93.09396715351699
late_mid,low,10-20,9,0.1405931203887231,1.0,-85.9406879611277
late_mid,low,20-30,4,0.2414846341947135,1.0,-75.85153658052866
late_mid,low,30-40,5,0.34180415533058706,1.0,-65.8195844669413
late_mid,low,40-50,8,0.4491061893882929,0.875,-42.58938106117071
late_mid,low,50-60,18,0.5391145017163659,0.8888888888888888,-34.9774387172523
late_mid,low,60-70,31,0.6484331852594617,1.0,-35.15668147405383
late_mid,low,70-80,32,0.7607632347645331,0.75,1.0763234764533114
late_mid,low,80-90,61,0.8483132919517129,0.9836065573770492,-13.529326542533626
late_mid,low,90-100,212,0.9681528137063216,0.9669811320754716,0.11716816308499078
late_mid,par,00-10,102,0.03312166529294998,0.0,3.312166529294998
late_mid,par,10-20,63,0.1652426115436124,0.031746031746031744,13.349657979758064
late_mid,par,20-30,67,0.2473649346642988,0.07462686567164178,17.2738068992657
late_mid,par,30-40,31,0.35850492609243245,0.3548387096774194,0.36662164150130794
late_mid,par,40-50,71,0.45087181721965564,0.6619718309859155,-21.110001376625988
late_mid,par,50-60,53,0.5494822649587849,0.6226415094339622,-7.31592444751773
late_mid,par,60-70,35,0.648337935119072,0.6571428571428571,-0.8804922023785133
late_mid,par,70-80,53,0.7405919635633208,0.9433962264150944,-20.280426285177356
late_mid,par,80-90,56,0.8636071446438928,0.6607142857142857,20.289285892960706
late_mid,par,90-100,334,0.9676628130806654,0.9790419161676647,-1.1379103086999298
