phase,chase_type,prob_bin,n,mean_pred,actual_wr,gap_pp
early_mid,high,00-10,364,0.033366925788422125,0.0,3.3366925788422126
early_mid,high,10-20,202,0.16077349327545185,0.07425742574257425,8.651606753287759
early_mid,high,20-30,119,0.2500391580906349,0.14285714285714285,10.718201523349208
early_mid,high,30-40,110,0.3386219804106758,0.17272727272727273,16.58947076834031
early_mid,high,40-50,65,0.43657176622296745,0.27692307692307694,15.964868929989052
early_mid,high,50-60,53,0.5491601714581485,0.6415094339622641,-9.234926250411558
early_mid,high,60-70,102,0.6606128569576857,0.7156862745098039,-5.507341755211826
early_mid,high,70-80,60,0.7423488258537433,1.0,-25.76511741462567
early_mid,high,80-90,31,0.8435770725292856,1.0,-15.64229274707144
early_mid,high,90-100,42,0.9485712298328574,1.0,-5.142877016714264
early_mid,low,00-10,19,0.08251086008858916,1.0,-91.7489139911411
early_mid,low,10-20,12,0.11463376138394395,1.0,-88.5366238616056
early_mid,low,20-30,3,0.2779801215481018,1.0,-72.20198784518982
early_mid,low,30-40,46,0.34711479771567283,1.0,-65.28852022843272
early_mid,low,40-50,35,0.4411417621108585,1.0,-55.88582378891416
early_mid,low,50-60,10,0.5354962822213325,1.0,-46.45037177786675
early_mid,low,60-70,16,0.663020803466804,0.8125,-14.947919653319596
early_mid,low,70-80,76,0.7603535397261298,1.0,-23.964646027387015
early_mid,low,80-90,119,0.857860135718242,1.0,-14.213986428175795
early_mid,low,90-100,286,0.9652398044969238,0.9020979020979021,6.314190239902173
early_mid,par,00-10,80,0.0482071198458911,0.0,4.82071198458911
early_mid,par,10-20,97,0.16096462573409334,0.08247422680412371,7.849039892996963
early_mid,par,20-30,110,0.24273216877903556,0.20909090909090908,3.364125968812648
early_mid,par,30-40,91,0.3416390604883138,0.42857142857142855,-8.693236808311477
early_mid,par,40-50,42,0.44268397470216786,0.5476190476190477,-10.493507291687981
early_mid,par,50-60,75,0.5602322415171473,0.8,-23.97677584828527
early_mid,par,60-70,126,0.6461347452280546,0.7857142857142857,-13.957954048623112
early_mid,par,70-80,174,0.7510071199100329,0.7701149425287356,-1.9107822618702697
early_mid,par,80-90,88,0.8459693875096129,0.8636363636363636,-1.7666976126750722
early_mid,par,90-100,203,0.9440032319251535,0.9753694581280788,-3.1366226202925396
late_mid,high,00-10,313,0.02101921788875611,0.0,2.101921788875611
late_mid,high,10-20,76,0.1399443311011528,0.0,13.994433110115281
late_mid,high,20-30,112,0.24715171731004215,0.07142857142857142,17.572314588147073
late_mid,high,30-40,118,0.346761095594846,0.03389830508474576,31.286279051010023
late_mid,high,40-50,46,0.445098899107219,0.06521739130434782,37.988150780287114
late_mid,high,50-60,35,0.5547431182913488,0.6,-4.525688170865116
late_mid,high,60-70,23,0.6507129634710858,0.6521739130434783,-0.14609495723925114
late_mid,high,70-80,46,0.7452367354042301,0.717391304347826,2.7845431056404024
late_mid,high,80-90,49,0.8550474750904755,0.8979591836734694,-4.291170858299386
late_mid,high,90-100,123,0.960915305199571,1.0,-3.9084694800428976
late_mid,low,00-10,8,0.06627685524882601,1.0,-93.3723144751174
late_mid,low,10-20,9,0.1355345584623905,1.0,-86.44654415376095
late_mid,low,20-30,4,0.2388299586365492,1.0,-76.11700413634507
late_mid,low,30-40,5,0.34143620107625244,1.0,-65.85637989237476
late_mid,low,40-50,16,0.4628454529746653,0.8125,-34.96545470253347
late_mid,low,50-60,10,0.5422575070162011,1.0,-45.774249298379885
late_mid,low,60-70,33,0.6487531855799077,1.0,-35.12468144200923
late_mid,low,70-80,28,0.7622351174971093,0.75,1.223511749710926
late_mid,low,80-90,62,0.8517938762623776,0.967741935483871,-11.594805922149343
late_mid,low,90-100,213,0.96762963432994,0.9671361502347418,0.04934840951982267
late_mid,par,00-10,103,0.03372569773546085,0.0,3.372569773546085
late_mid,par,10-20,63,0.16188335189172423,0.031746031746031744,13.013732014569248
late_mid,par,20-30,64,0.24387571035528224,0.09375,15.012571035528225
late_mid,par,30-40,41,0.359362324580599,0.3170731707317073,4.22891538488917
late_mid,par,40-50,64,0.45642131013057247,0.671875,-21.545368986942755
late_mid,par,50-60,50,0.5469458329838974,0.7,-15.305416701610252
late_mid,par,60-70,36,0.6491894831099061,0.6111111111111112,3.8078371998794935
late_mid,par,70-80,51,0.7455127581940617,0.9411764705882353,-19.566371239417357
late_mid,par,80-90,52,0.8670497309822605,0.6538461538461539,21.32035771361066
late_mid,par,90-100,341,0.9685307804624346,0.9736070381231672,-0.5076257660732608
