candidate,phase,n,n_features,brier_raw,brier_cal,logloss_raw,logloss_cal,mean_pred_cal,actual_wr,gap_pp_cal
v14_baseline,pp,3481,64.0,0.1403993743526025,0.14382286401265515,0.4482440233551649,0.4913473493658819,0.47172487929306817,0.5466819879345016,-7.495710864143346
v14_baseline,mid,5050,72.0,0.10268284351827603,0.10369643445698584,0.33494836132554806,0.33743639494934685,0.520358771442801,0.5376237623762377,-1.7264990933436697
v14_baseline,death,1516,62.0,0.06377339959316633,0.06493365551031012,0.2077752367352594,0.21018418924489496,0.4305885987866179,0.40369393139841686,2.689466738820107
v14_baseline,overall,10047,,0.10987947204856607,0.11175015481133285,0.35501283257529614,0.37156097825540935,0.4899630154639025,0.5205533990245844,-3.0590383560681946
single_mid_terminal,pp,3481,64.0,0.1403993743526025,0.14382286401265515,0.4482440233551649,0.4913473493658819,0.47172487929306817,0.5466819879345016,-7.495710864143346
single_mid_terminal,mid,5050,79.0,0.10300837704254498,0.10403071596618484,0.33613763509591527,0.33872813502379756,0.5197092488641111,0.5376237623762377,-1.7914513512126584
single_mid_terminal,death,1516,62.0,0.06377339959316633,0.06493365551031012,0.2077752367352594,0.21018418924489496,0.4305885987866179,0.40369393139841686,2.689466738820107
single_mid_terminal,overall,10047,,0.11004309743898691,0.11191817726793232,0.35561060629285896,0.37221025539047214,0.48963654099168347,0.5205533990245844,-3.091685803290095
split_same_features,pp,3481,64.0,0.1403993743526025,0.14382286401265515,0.4482440233551649,0.4913473493658819,0.47172487929306817,0.5466819879345016,-7.495710864143346
split_same_features,early_mid,2856,72.0,0.12031305344076304,0.12125695767694895,0.3902148526785457,0.39093402297698315,0.5077509154537364,0.5462184873949579,-3.8467571941221523
split_same_features,late_mid,2194,72.0,0.086367107261262,0.08752635116529518,0.28273823835752704,0.2867317739660618,0.5429671147134949,0.5264357338195077,1.6531380893987202
split_same_features,death,1516,62.0,0.06377339959316633,0.06493365551031012,0.2077752367352594,0.21018418924489496,0.4305885987866179,0.40369393139841686,2.689466738820107
split_same_features,overall,10047,,0.1113281785470964,0.11321085866066555,0.3593217894293145,0.37569587297120527,0.49131612270299213,0.5205533990245844,-2.9237276321592285
split_late_terminal,pp,3481,64.0,0.1403993743526025,0.14382286401265515,0.4482440233551649,0.4913473493658819,0.47172487929306817,0.5466819879345016,-7.495710864143346
split_late_terminal,early_mid,2856,72.0,0.12031305344076304,0.12125695767694895,0.3902148526785457,0.39093402297698315,0.5077509154537364,0.5462184873949579,-3.8467571941221523
split_late_terminal,late_mid,2194,79.0,0.08494611976602058,0.08628896994301007,0.2789800819977374,0.283734019829689,0.5406696938297173,0.5264357338195077,1.42339600102096
split_late_terminal,death,1516,62.0,0.06377339959316633,0.06493365551031012,0.2077752367352594,0.21018418924489496,0.4305885987866179,0.40369393139841686,2.689466738820107
split_late_terminal,overall,10047,,0.11101787232986146,0.11294064721429412,0.35850110713077976,0.3750412424770078,0.4908144265330899,0.5205533990245844,-2.973897249149454
split_both_terminal,pp,3481,64.0,0.1403993743526025,0.14382286401265515,0.4482440233551649,0.4913473493658819,0.47172487929306817,0.5466819879345016,-7.495710864143346
split_both_terminal,early_mid,2856,79.0,0.12033033838346943,0.12110025134678183,0.38936406393420664,0.3896515117209369,0.5056101624674697,0.5462184873949579,-4.060832492748823
split_both_terminal,late_mid,2194,79.0,0.08494611976602058,0.08628896994301007,0.2789800819977374,0.283734019829689,0.5406696938297173,0.5264357338195077,1.42339600102096
split_both_terminal,death,1516,62.0,0.06377339959316633,0.06493365551031012,0.2077752367352594,0.21018418924489496,0.4305885987866179,0.40369393139841686,2.689466738820107
split_both_terminal,overall,10047,,0.11102278581611301,0.11289610125241921,0.35825925855370877,0.3746766707494007,0.4902058876131359,0.5205533990245844,-3.0347511411448536
