phase,chase_type,prob_bin,n,mean_pred,actual_wr,gap_pp
mid,high,00-10,689,0.027863702239264494,0.0,2.7863702239264496
mid,high,10-20,292,0.1581688492313277,0.07876712328767123,7.940172594365648
mid,high,20-30,273,0.25068636424008167,0.08058608058608059,17.01002836540011
mid,high,30-40,186,0.3454338338210288,0.10752688172043011,23.79069521005987
mid,high,40-50,102,0.4441591821792712,0.22549019607843138,21.866898610083982
mid,high,50-60,89,0.5620394323204689,0.5280898876404494,3.394954468001954
mid,high,60-70,104,0.6521858030735228,0.7019230769230769,-4.9737273849554064
mid,high,70-80,110,0.7463589605456514,0.9818181818181818,-23.54592212725304
mid,high,80-90,111,0.8569376992920132,1.0,-14.306230070798676
mid,high,90-100,133,0.9536036795375181,1.0,-4.639632046248188
mid,low,00-10,20,0.08028857612407964,1.0,-91.97114238759202
mid,low,10-20,31,0.12672701927289481,1.0,-87.32729807271052
mid,low,20-30,3,0.25607316892602366,1.0,-74.39268310739764
mid,low,30-40,63,0.3480971229368925,1.0,-65.19028770631074
mid,low,40-50,46,0.44525584815172514,1.0,-55.474415184827485
mid,low,50-60,31,0.5513204520248914,0.9032258064516129,-35.19053544267214
mid,low,60-70,31,0.6582479584892945,0.9032258064516129,-24.497784796231837
mid,low,70-80,124,0.7620360734695517,0.9435483870967742,-18.151231362722253
mid,low,80-90,160,0.8589444897639259,0.94375,-8.480551023607408
mid,low,90-100,501,0.964142613655448,0.9441117764471058,2.00308372083422
mid,par,00-10,175,0.03917473139729163,0.0,3.9174731397291627
mid,par,10-20,151,0.15801628830084502,0.059602649006622516,9.84136392942225
mid,par,20-30,188,0.24135548504306886,0.1595744680851064,8.178101695796247
mid,par,30-40,111,0.3488255045785366,0.3783783783783784,-2.9552873799841786
mid,par,40-50,112,0.4492598122051685,0.5714285714285714,-12.216875922340293
mid,par,50-60,156,0.5524102885390724,0.6923076923076923,-13.989740376861992
mid,par,60-70,164,0.6549158587178319,0.7621951219512195,-10.727926323338766
mid,par,70-80,178,0.7545852799054613,0.8258426966292135,-7.125741672375218
mid,par,80-90,177,0.8488685476854505,0.8022598870056498,4.6608660679800735
mid,par,90-100,539,0.9612107715733825,0.9795918367346939,-1.8381065161311327
