method,segment,brier,ece,logloss,n_samples
raw,overall,0.18245683597934156,0.016187063041353613,0.5381332132045392,141435
raw,innings_1,0.21985799551555044,0.03276851569155534,0.6314330365726842,73875
raw,innings_2,0.14155969772094262,0.00629017898102427,0.43611242499669867,67560
raw,inn1_powerplay,0.24110756034837474,0.04834279159728018,0.676315129060643,18658
raw,inn1_middle,0.21881775737256473,0.03407892738408528,0.6313927487767229,33364
raw,inn1_death,0.203303386297216,0.03748150900958198,0.5931744029930438,21853
raw,inn2_powerplay,0.19481912483757688,0.043051830865453375,0.5737481893196632,18700
raw,inn2_middle,0.13899831746434527,0.023562468306542083,0.4338532125376539,32475
raw,inn2_death,0.08585201000363647,0.04803075695634348,0.28350816083850766,16385
combined,overall,0.18170896281174997,1.5441252798302778e-17,0.5355697655688294,141435
combined,innings_1,0.2182068132863972,0.01680424173736313,0.6262556563996186,73875
combined,innings_2,0.14179956814309153,0.018374975700824466,0.4364072406261924,67560
combined,inn1_powerplay,0.23966564263628892,0.038877357654814655,0.6725767659581466,18658
combined,inn1_middle,0.2170015885215061,0.02331082271160364,0.6250624572708903,33364
combined,inn1_death,0.20172542771213045,0.0239522355159187,0.5885285998667797,21853
combined,inn2_powerplay,0.19514558471401053,0.04839870766311265,0.5734035236126696,18700
combined,inn2_middle,0.1392152952122074,0.030796512301182705,0.4343813334023392,32475
combined,inn2_death,0.08603843012382258,0.049605905225405686,0.284070398712705,16385
innings_specific,overall,0.18085170827435815,2.2063165802764007e-17,0.5326759150091097,141435
innings_specific,innings_1,0.21731349535638503,9.9044667936272e-17,0.6230110096129065,73875
innings_specific,innings_2,0.14098174793266574,1.0724473411163189e-17,0.4338969760828888,67560
innings_specific,inn1_powerplay,0.23874161019300044,0.03374099814971655,0.6702872173070124,18658
innings_specific,inn1_middle,0.2155720920958708,0.016412910555092468,0.6196191073149425,33364
innings_specific,inn1_death,0.2016769425609896,0.025587839377338047,0.5878253575336794,21853
innings_specific,inn2_powerplay,0.19489356651166295,0.051979926621072,0.5735923832880485,18700
innings_specific,inn2_middle,0.13795868514977958,0.018840564530803208,0.4305159401803864,32475
innings_specific,inn2_death,0.08544454661725417,0.04728809569914372,0.2811655159789691,16385
innings_phase,overall,0.1787309789686359,4.864187439844081e-17,0.5268547637726411,141435
innings_phase,innings_1,0.21603837177831306,9.658249947129641e-17,0.6198673382282837,73875
innings_phase,innings_2,0.13793637204419984,1.461234922286396e-17,0.42514807434234825,67560
innings_phase,inn1_powerplay,0.23664645288278788,5.391049739041654e-17,0.6654047040924013,18658
innings_phase,inn1_middle,0.21491310726613566,1.0870295991316985e-16,0.6180622252211242,33364
innings_phase,inn1_death,0.20016127242980233,1.170654557494402e-17,0.5837436764005329,21853
innings_phase,inn2_powerplay,0.1909716880623848,6.958189223853922e-18,0.5631543432199392,18700
innings_phase,inn2_middle,0.13701269477181893,3.892532519902089e-17,0.42754536102963064,32475
innings_phase,inn2_death,0.07923853926302867,1.5891062242918207e-17,0.26289179645522914,16385
brier_optimized,overall,0.17604200224379443,0.0,0.5189591529700037,141435
brier_optimized,innings_1,0.213366414312129,0.0,0.6130171028787839,73875
brier_optimized,innings_2,0.13522878522857518,0.0,0.41610937426202366,67560
brier_optimized,inn1_powerplay,0.23479526642953835,1.7047855962863508e-18,0.6612016331536008,18658
brier_optimized,inn1_middle,0.21166596201499294,0.0,0.6097528888917404,33364
brier_optimized,inn1_death,0.19766671027309657,3.962723466835776e-19,0.5768609810463665,21853
brier_optimized,inn2_powerplay,0.18886516085268487,5.892493860644213e-19,0.556953779632477,18700
brier_optimized,inn2_middle,0.1335593893059616,4.4443107991153305e-18,0.4159541433840358,32475
brier_optimized,inn2_death,0.07732298165311141,7.656710514656252e-19,0.2556730448348144,16385
ece_optimized,overall,0.17961242032289898,0.003779596687947936,0.5299954670667277,141435
ece_optimized,innings_1,0.21705810408366152,0.005837520757192718,0.6226223754530275,73875
ece_optimized,innings_2,0.1386665960507507,0.003283248300846024,0.4287104928654562,67560
ece_optimized,inn1_powerplay,0.2376491070848379,0.006692514704209479,0.6678889197761733,18658
ece_optimized,inn1_middle,0.21591313652662414,0.011482465444242116,0.620826528004514,33364
ece_optimized,inn1_death,0.20122566751097337,0.003134323483418538,0.5867157937613124,21853
ece_optimized,inn2_powerplay,0.19177314937875037,0.004302094700145792,0.5655031619061107,18700
ece_optimized,inn2_middle,0.13770626314598727,0.005324302804611807,0.4312366113321256,32475
ece_optimized,inn2_death,0.07996011230638694,0.00539311095393454,0.26758393758530163,16385
logloss_optimized,overall,0.18097127915952987,0.01445076898068349,0.5349350069000487,141435
logloss_optimized,innings_1,0.21832870472698698,0.02111586686219235,0.6264162936950278,73875
logloss_optimized,innings_2,0.1401219627919175,0.012733869251475655,0.4349027383686826,67560
logloss_optimized,inn1_powerplay,0.23890687181064502,0.02345768940084527,0.670478742776015,18658
logloss_optimized,inn1_middle,0.21683904733007758,0.0240261560789033,0.6239055757995219,33364
logloss_optimized,inn1_death,0.20303348155138598,0.035832318858378516,0.59262918972361,21853
logloss_optimized,inn2_powerplay,0.19323797538336349,0.028709660250965514,0.5694850187892578,18700
logloss_optimized,inn2_middle,0.13869719068742498,0.02573235425725765,0.4349342824062822,32475
logloss_optimized,inn2_death,0.0823251998156193,0.03286101724328635,0.2812431084336319,16385
