method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,14862,0.04465892395801672,0.04878212891939174,0.00412320496137502,0.04541200666896771
raw,0.1-0.2,0.1,0.2,11131,0.1514850180715221,0.18443985266373192,0.032954834592209825,0.14961967484000688
raw,0.2-0.3,0.2,0.30000000000000004,13366,0.25125653479486215,0.2737543019601975,0.02249776716533536,0.1987743691988085
raw,0.3-0.4,0.30000000000000004,0.4,14845,0.3520735314372294,0.3486022229706972,0.003471308466532208,0.2260277841014792
raw,0.4-0.5,0.4,0.5,17109,0.44992482491836555,0.4595242270150213,0.009599402096655774,0.24718204590276135
raw,0.5-0.6,0.5,0.6000000000000001,17707,0.550515788597697,0.5640707065002541,0.01355491790255714,0.24516811742951666
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,15748,0.6490759960197692,0.6520828041656084,0.0030068081458392015,0.22582132825763662
raw,0.7-0.8,0.7000000000000001,0.8,13408,0.7495078730188983,0.7265811455847255,0.02292672743417279,0.1988819575437722
raw,0.8-0.9,0.8,0.9,12635,0.8481816888107127,0.8114760585674713,0.03670563024324136,0.15288483418526938
raw,0.9-1.0,0.9,1.0,10624,0.9459292007170615,0.9371234939759037,0.008805706741157882,0.05761914978828384
combined,0.0-0.1,0.0,0.1,15464,0.05018106570098293,0.05018106570098293,0.0,0.046437793608057644
combined,0.1-0.2,0.1,0.2,5995,0.15879899916597165,0.15879899916597165,0.0,0.13228714280190476
combined,0.2-0.3,0.2,0.30000000000000004,16230,0.25760936537276646,0.25760936537276646,0.0,0.1904897105931331
combined,0.3-0.4,0.30000000000000004,0.4,17454,0.3473702303196975,0.3473702303196975,0.0,0.22544456894091008
combined,0.4-0.5,0.4,0.5,10389,0.44123592261045336,0.44123592261045336,0.0,0.24588077678220463
combined,0.5-0.6,0.5,0.6000000000000001,20473,0.5393445025155083,0.5393445025155083,0.0,0.24754779390587955
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,17957,0.6432588962521579,0.6432588962521579,0.0,0.22838868567815013
combined,0.7-0.8,0.7000000000000001,0.8,19448,0.7368366927190456,0.7368366927190456,0.0,0.1931223659506311
combined,0.8-0.9,0.8,0.9,9722,0.8516766097510801,0.8516766097510801,0.0,0.12579915679990786
combined,0.9-1.0,0.9,1.0,8303,0.954233409610984,0.954233409610984,0.0,0.042762084738931457
innings_specific,0.0-0.1,0.0,0.1,16827,0.05354489808046592,0.05354489808046592,0.0,0.04932326594654123
innings_specific,0.1-0.2,0.1,0.2,2794,0.15425912670007158,0.15425912670007158,0.0,0.1302380555486966
innings_specific,0.2-0.3,0.2,0.30000000000000004,14644,0.2346353455340071,0.2346353455340071,0.0,0.1791059234869766
innings_specific,0.3-0.4,0.30000000000000004,0.4,21155,0.3428503899787284,0.3428503899787284,0.0,0.22433045686153763
innings_specific,0.4-0.5,0.4,0.5,11903,0.4545912795093674,0.4545912795093674,0.0,0.24725923285553666
innings_specific,0.5-0.6,0.5,0.6000000000000001,22245,0.5513149022252191,0.5513149022252192,1.1102230246251565e-16,0.24627001507341306
innings_specific,0.6-0.7,0.6000000000000001,0.7000000000000001,25181,0.6724514514912037,0.6724514514912037,0.0,0.21950650691697457
innings_specific,0.7-0.8,0.7000000000000001,0.8,9126,0.7687924611001534,0.7687924611001534,0.0,0.17719762321671886
innings_specific,0.8-0.9,0.8,0.9,7670,0.8580182529335073,0.8580182529335072,1.1102230246251565e-16,0.12140847483926137
innings_specific,0.9-1.0,0.9,1.0,9890,0.9561172901921132,0.9561172901921132,0.0,0.04132935210826017
innings_phase,0.0-0.1,0.0,0.1,12948,0.03583565029348162,0.03583565029348162,0.0,0.033669109472431215
innings_phase,0.1-0.2,0.1,0.2,10547,0.14136721342561867,0.14136721342561867,0.0,0.1205785884070399
innings_phase,0.2-0.3,0.2,0.30000000000000004,12243,0.2496937025238912,0.2496937025238912,0.0,0.18635884022990365
innings_phase,0.3-0.4,0.30000000000000004,0.4,20060,0.3508973080757727,0.3508973080757727,0.0,0.22688316352710863
innings_phase,0.4-0.5,0.4,0.5,12449,0.44718451281227406,0.44718451281227406,0.0,0.24600351552145508
innings_phase,0.5-0.6,0.5,0.6000000000000001,18087,0.5468015701885331,0.5468015701885331,0.0,0.24722570317568543
innings_phase,0.6-0.7,0.6000000000000001,0.7000000000000001,19059,0.6510310089721392,0.6510310089721392,0.0,0.22553023400882274
innings_phase,0.7-0.8,0.7000000000000001,0.8,16235,0.7291653834308592,0.7291653834308592,0.0,0.19654737065865455
innings_phase,0.8-0.9,0.8,0.9,10257,0.8536609144974164,0.8536609144974164,0.0,0.12423347889552325
innings_phase,0.9-1.0,0.9,1.0,9550,0.9604188481675393,0.9604188481675393,0.0,0.03732696694649819
brier_optimized,0.0-0.1,0.0,0.1,14070,0.033546552949538025,0.033546552949538025,0.0,0.03129491094469102
brier_optimized,0.1-0.2,0.1,0.2,10770,0.1478180129990715,0.1478180129990715,0.0,0.12527644507921917
brier_optimized,0.2-0.3,0.2,0.30000000000000004,11836,0.25456235214599526,0.25456235214599526,0.0,0.1890480879094601
brier_optimized,0.3-0.4,0.30000000000000004,0.4,17493,0.3424226833590579,0.3424226833590579,0.0,0.22448439966339148
brier_optimized,0.4-0.5,0.4,0.5,13901,0.44593914106898785,0.44593914106898785,0.0,0.24632497365648992
brier_optimized,0.5-0.6,0.5,0.6000000000000001,21785,0.553041083314207,0.553041083314207,0.0,0.24638711851239337
brier_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,17117,0.666413507039785,0.666413507039785,0.0,0.2216546997091055
brier_optimized,0.7-0.8,0.7000000000000001,0.8,13150,0.7393916349809886,0.7393916349809886,0.0,0.19206653720655711
brier_optimized,0.8-0.9,0.8,0.9,10946,0.8466106340215603,0.8466106340215603,0.0,0.12885374481038964
brier_optimized,0.9-1.0,0.9,1.0,10367,0.9618018713224655,0.9618018713224655,0.0,0.03575356582351652
ece_optimized,0.0-0.1,0.0,0.1,14311,0.04889915714094802,0.047026762630144645,0.0018723945108033782,0.04373648835448859
ece_optimized,0.1-0.2,0.1,0.2,9366,0.15445499480260058,0.14648729446935724,0.007967700333243344,0.12414223203291008
ece_optimized,0.2-0.3,0.2,0.30000000000000004,11411,0.24959700060686985,0.25221277714486023,0.0026157765379903886,0.1877138800612466
ece_optimized,0.3-0.4,0.30000000000000004,0.4,19281,0.34282610402530905,0.34562522690731806,0.0027991228820090086,0.22512785966089618
ece_optimized,0.4-0.5,0.4,0.5,13879,0.4445916084645476,0.4381439584984509,0.006447649966096702,0.2448148143221999
ece_optimized,0.5-0.6,0.5,0.6000000000000001,20221,0.5518566884577398,0.5529894663963206,0.001132777938580798,0.2466630923493808
ece_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,21064,0.6555213275964141,0.670622863653627,0.015101536057212872,0.21951660385641888
ece_optimized,0.7-0.8,0.7000000000000001,0.8,12295,0.7295125964769058,0.7310288735258235,0.001516277048917658,0.19522471271335684
ece_optimized,0.8-0.9,0.8,0.9,9067,0.8476283388067058,0.8466968126171832,0.0009315261895226357,0.1291679501698955
ece_optimized,0.9-1.0,0.9,1.0,10540,0.9489808376275009,0.9526565464895635,0.0036757088620626988,0.04424882250288363
logloss_optimized,0.0-0.1,0.0,0.1,13628,0.06639403961557853,0.05070443205165835,0.015689607563920183,0.04763407667724908
logloss_optimized,0.1-0.2,0.1,0.2,10706,0.1538358321177851,0.15178404632916123,0.002051785788623861,0.1278617966014949
logloss_optimized,0.2-0.3,0.2,0.30000000000000004,14223,0.25054253495993606,0.26569640722772975,0.015153872267793689,0.1943331994645646
logloss_optimized,0.3-0.4,0.30000000000000004,0.4,15103,0.35045204514533834,0.34172018804211085,0.008731857103227492,0.2247149875713272
logloss_optimized,0.4-0.5,0.4,0.5,18098,0.4506201183712224,0.4608796552105205,0.010259536839298089,0.24704386961459737
logloss_optimized,0.5-0.6,0.5,0.6000000000000001,18521,0.5496621028360675,0.5646563360509692,0.014994233214901675,0.24553764046089663
logloss_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,15459,0.6480002563196248,0.6627854324341808,0.014785176114555987,0.22286354520901222
logloss_optimized,0.7-0.8,0.7000000000000001,0.8,14442,0.7508879801346389,0.7239994460601025,0.026888534074536397,0.20025233069052945
logloss_optimized,0.8-0.9,0.8,0.9,9817,0.8447517748098164,0.8243862687175308,0.0203655060922856,0.1444310093769588
logloss_optimized,0.9-1.0,0.9,1.0,11438,0.9427695031474468,0.9470187095646092,0.004249206417162421,0.049737395381227595
