feature,importance
resource_win_prob,0.15420222
dls_pressure_index,0.11300918
score_vs_par,0.10087472
score_per_wicket,0.06949147
projected_vs_venue_avg,0.06846966
projected_score,0.0622125
expected_final_score,0.059119448
required_run_rate,0.056563087
run_rate_diff,0.052804586
team_strength_diff,0.037422646
chase_difficulty,0.030730966
wickets_times_balls,0.026149303
pressure_index,0.025079124
batting_team_win_rate,0.023422481
rrr_times_wickets,0.020173492
situation_advantage,0.01984209
batting_team_situation_wr,0.018927451
bowling_team_win_rate,0.01861006
overs_remaining,0.016106877
is_powerplay,0.011683867
bowling_team_situation_wr,0.010026437
runs_last_18,0.0049155294
boundary_pct_last_18,0.00016283836
runs_last_12,0.0
wickets_last_12,0.0
