feature,importance
resource_win_prob,0.14264765
score_vs_par,0.13970295
dls_pressure_index,0.0730461
required_run_rate,0.052353617
is_powerplay,0.044233542
overs_remaining,0.034691244
expected_final_score,0.03116785
score_per_wicket,0.026000954
batting_team_venue_wr,0.02444253
pressure_index,0.02402543
target_above_par,0.023783736
inn1_defendability,0.023698585
bowling_team_situation_wr,0.02334072
bowling_team_win_rate,0.02329716
situation_advantage,0.023276577
batting_team_win_rate,0.022822086
is_low_target,0.021807479
venue_chase_success,0.02177041
batting_team_situation_wr,0.021184972
team_strength_diff,0.019933026
batting_recent_nrr_l5,0.019359188
inn1_wickets_lost,0.019172234
inn1_pp_runs,0.01849196
inn1_death_rr,0.017263131
run_rate_diff,0.015000338
score_vs_venue_over_par,0.014538269
expected_final_vs_venue_avg,0.012714908
batting_won_toss,0.011100547
rrr_times_wickets,0.010257763
balls_since_wicket,0.009331449
current_run_rate,0.008907057
chase_difficulty,0.008744606
dot_pct_last_12,0.0063510016
wickets_times_balls,0.006252073
runs_last_18,0.003803913
set_batter_exposure,0.0008240138
runs_last_12,0.0006470222
boundary_pct_last_18,1.3868313e-05
wickets_last_6,0.0
wickets_last_12,0.0
