method,segment,brier,ece,logloss,n_samples
raw,overall,0.1838867580231789,0.03441167720036653,0.5409511364229922,57975
raw,innings_1,0.2133082778081289,0.03805851856298019,0.6167993599380021,30106
raw,innings_2,0.1521036199613286,0.0414428374648279,0.4590146974713655,27869
raw,inn1_powerplay,0.2415218234619127,0.04898268501705897,0.6768996318805466,7717
raw,inn1_middle,0.2122204479381825,0.04775393343449307,0.6163860428852287,13546
raw,inn1_death,0.19035360310588348,0.03668398801720727,0.5649849297917002,8843
raw,inn2_powerplay,0.1852987719054724,0.06571354929605557,0.5495762685017274,7723
raw,inn2_middle,0.150791826687136,0.049980079078337965,0.4527308478039851,13387
raw,inn2_death,0.1167721830767293,0.024340588910491623,0.3679827226865951,6759
combined,overall,0.18141933828852239,1.3519921610786725e-17,0.5329349261181328,57975
combined,innings_1,0.2107330265111229,0.020092211861310817,0.6085873773729833,30106
combined,innings_2,0.14975268725584776,0.02170498153132954,0.45120997375247446,27869
combined,inn1_powerplay,0.23810708339227,0.02225054739050834,0.668442911588252,7717
combined,inn1_middle,0.20895312900008217,0.028298143038822235,0.6056947579314614,13546
combined,inn1_death,0.18957107861253022,0.03865216729250065,0.5607843993582405,8843
combined,inn2_powerplay,0.1821298426867924,0.05369029471958387,0.5379412238880422,7723
combined,inn2_middle,0.14769070300633058,0.030036221243625455,0.44251470407716537,13387
combined,inn2_death,0.11684175542497051,0.031056930344723208,0.3693307209556665,6759
innings_specific,overall,0.18016738069732455,0.0,0.5293799772807127,57975
innings_specific,innings_1,0.20958656213525959,6.601698601262696e-17,0.6050318892351491,30106
innings_specific,innings_2,0.14838676867785947,3.189764885059969e-17,0.4476556075042493,27869
innings_specific,inn1_powerplay,0.23819327370448196,0.028055415828170976,0.668474257160187,7717
innings_specific,inn1_middle,0.20709001112881414,0.010603735256031619,0.6005585706391897,13546
innings_specific,inn1_death,0.1884467099079183,0.02373126224308289,0.5565201647551479,8843
innings_specific,inn2_powerplay,0.17886322300748667,0.03266103123954324,0.5300270662537343,7723
innings_specific,inn2_middle,0.14618339901509073,0.011547210370703066,0.43874159863282447,13387
innings_specific,inn2_death,0.11792765533088129,0.032636167108329436,0.3711911986922197,6759
innings_phase,overall,0.17831151198183062,1.7024377212449576e-17,0.5237428725369067,57975
innings_phase,innings_1,0.20805622109527577,4.693998314189019e-17,0.6009531862237701,30106
innings_phase,innings_2,0.14617924270164906,3.45149531212184e-17,0.4403350106166113,27869
innings_phase,inn1_powerplay,0.23564241996392413,2.6755698717722364e-17,0.6620390066269645,7717
innings_phase,inn1_middle,0.20647492247921692,6.587082864987733e-17,0.5987321761228693,13546
innings_phase,inn1_death,0.186404923389042,5.099769225406973e-17,0.5510477838462233,8843
innings_phase,inn2_powerplay,0.1760175116038629,7.392621913938712e-17,0.5197648554946424,7723
innings_phase,inn2_middle,0.14513719585351376,2.3611002846850087e-17,0.43573583213924777,13387
innings_phase,inn2_death,0.11414919837914429,2.49467557131152e-17,0.35868572969982315,6759
brier_optimized,overall,0.1742105755916829,9.381932756421801e-05,0.5114819933067951,57975
brier_optimized,innings_1,0.20447459500907184,9.185791569943387e-05,0.591745666216455,30106
brier_optimized,innings_2,0.1415173118010944,0.00019522516069941172,0.4247756839086026,27869
brier_optimized,inn1_powerplay,0.2319822218189712,0.0003583613334257701,0.6532437422233337,7717
brier_optimized,inn1_middle,0.20236295407563168,4.409419660773175e-18,0.588216611038384,13546
brier_optimized,inn1_death,0.18370426050634506,0.0,0.5434842084416125,8843
brier_optimized,inn2_powerplay,0.17279071360915108,0.0007044840092622391,0.509151889000277,7723
brier_optimized,inn2_middle,0.13954540905384774,4.121766215273794e-18,0.41818513631022824,13387
brier_optimized,inn2_death,0.10968913898170826,2.1813525324784848e-17,0.34141871228209514,6759
ece_optimized,overall,0.18001725540774044,0.011024698631221972,0.5298556978536529,57975
ece_optimized,innings_1,0.21005513358206787,0.01746421169195867,0.6061832895493439,30106
ece_optimized,innings_2,0.1475682848556466,0.005885832053303116,0.4474014126051522,27869
ece_optimized,inn1_powerplay,0.23884165390176473,0.029944378829149854,0.669080498786358,7717
ece_optimized,inn1_middle,0.2080172052773954,0.015483409546969938,0.6027816153120841,13546
