method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,6749,0.04569223783512688,0.07586309082827085,0.030170852993143968,0.06854549373125558
raw,0.1-0.2,0.1,0.2,5471,0.14839357050637778,0.14878450009139096,0.00039092958501318886,0.12612476560133967
raw,0.2-0.3,0.2,0.30000000000000004,5574,0.25093196173680865,0.32651596698959456,0.07558400525278591,0.22425497718528747
raw,0.3-0.4,0.30000000000000004,0.4,6345,0.3515467339681914,0.4143420015760441,0.0627952676078527,0.24638952693552404
raw,0.4-0.5,0.4,0.5,6903,0.4481942673273472,0.4621179197450384,0.013923652417691224,0.24775952687448244
raw,0.5-0.6,0.5,0.6000000000000001,5924,0.5501218099908565,0.550472653612424,0.00035084362156756477,0.24713379731882998
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,5190,0.650429950147428,0.5980732177263969,0.052356732421031116,0.24189185643299504
raw,0.7-0.8,0.7000000000000001,0.8,5074,0.7484173970229983,0.7126527394560505,0.0357646575669478,0.20632398586280862
raw,0.8-0.9,0.8,0.9,5096,0.8500649213812468,0.7910125588697017,0.05905236251154511,0.16863371945042463
raw,0.9-1.0,0.9,1.0,5649,0.9508210977974673,0.9300761196671977,0.020744978130269542,0.06353074394656207
combined,0.0-0.1,0.0,0.1,4084,0.033545543584720845,0.03354554358472086,1.3877787807814457e-17,0.031427945578153225
combined,0.1-0.2,0.1,0.2,7402,0.1391515806538773,0.13915158065387734,2.7755575615628914e-17,0.11959530256871731
combined,0.2-0.3,0.2,0.30000000000000004,1811,0.23633351739370514,0.23633351739370514,0.0,0.179865219055445
combined,0.3-0.4,0.30000000000000004,0.4,6422,0.3553410152600436,0.3553410152600436,0.0,0.22817246947706019
combined,0.4-0.5,0.4,0.5,9398,0.4347733560331985,0.43477335603319855,5.551115123125783e-17,0.24553760591021304
combined,0.5-0.6,0.5,0.6000000000000001,10415,0.5474795967354776,0.5474795967354776,0.0,0.24712421168822474
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,4169,0.6541136963300551,0.6541136963300551,0.0,0.225312464178278
combined,0.7-0.8,0.7000000000000001,0.8,7449,0.7517787622499664,0.7517787622499664,0.0,0.18569234321961356
combined,0.8-0.9,0.8,0.9,3469,0.8558662438743153,0.8558662438743153,0.0,0.12297968303986953
combined,0.9-1.0,0.9,1.0,3356,0.9743742550655542,0.9743742550655542,0.0,0.024613508309499276
innings_specific,0.0-0.1,0.0,0.1,4201,0.03499166865032135,0.03499166865032135,0.0,0.03260849455315597
