segment_type,segment,bucket,model,n,matches,mean_pred,actual_wr,bias_pred_minus_actual,abs_error
overall,all,10-20%,calibrated,863,44,0.1586779684902621,0.1100811123986095,0.04859685609165261,0.04859685609165261
overall,all,20-30%,calibrated,1003,49,0.2567653373787774,0.14955134596211367,0.10721399141666371,0.10721399141666371
overall,all,10-20%,raw,1009,44,0.14963137311254787,0.11496531219028741,0.03466606092226046,0.03466606092226046
overall,all,20-30%,raw,841,51,0.24841963092474012,0.17360285374554102,0.0748167771791991,0.0748167771791991
phase,death,10-20%,calibrated,64,19,0.1561746384465592,0.203125,-0.04695036155344079,0.04695036155344079
phase,death,20-30%,calibrated,49,19,0.2630280889783932,0.14285714285714285,0.12017094612125034,0.12017094612125034
phase,death,10-20%,raw,105,17,0.13787252192455576,0.1523809523809524,-0.014508430456396632,0.014508430456396632
phase,death,20-30%,raw,74,18,0.25171143469507334,0.10810810810810811,0.14360332658696523,0.14360332658696523
phase,mid,10-20%,calibrated,474,30,0.15606392638488398,0.13291139240506328,0.0231525339798207,0.0231525339798207
phase,mid,20-30%,calibrated,464,33,0.246940577871589,0.11853448275862069,0.1284060951129683,0.1284060951129683
phase,mid,10-20%,raw,529,31,0.15345715136331342,0.11909262759924386,0.034364523764069566,0.034364523764069566
phase,mid,20-30%,raw,394,36,0.24745476435407743,0.14213197969543148,0.10532278465864595,0.10532278465864595
phase,pp,10-20%,calibrated,325,34,0.1629834118156352,0.05846153846153846,0.10452187335409674,0.10452187335409674
phase,pp,20-30%,calibrated,490,39,0.26544250795623503,0.17959183673469387,0.08585067122154116,0.08585067122154116
phase,pp,10-20%,raw,375,37,0.1475269535927724,0.09866666666666667,0.04886028692610574,0.04886028692610574
phase,pp,20-30%,raw,373,36,0.24878575411465018,0.21983914209115282,0.028946612023497353,0.028946612023497353
chase_bucket,high,10-20%,calibrated,537,28,0.1594568603196109,0.07262569832402235,0.08683116199558855,0.08683116199558855
chase_bucket,high,20-30%,calibrated,589,27,0.25901478133384465,0.11884550084889643,0.1401692804849482,0.1401692804849482
chase_bucket,high,10-20%,raw,583,28,0.1478504201648617,0.08747855917667238,0.06037186098818931,0.06037186098818931
chase_bucket,high,20-30%,raw,536,26,0.2490742863200024,0.13246268656716417,0.11661159975283822,0.11661159975283822
chase_bucket,low,10-20%,calibrated,36,1,0.12859238078557977,1.0,-0.8714076192144202,0.8714076192144202
chase_bucket,low,20-30%,calibrated,9,2,0.27030861516307547,1.0,-0.7296913848369245,0.7296913848369245
chase_bucket,low,10-20%,raw,25,1,0.1334023500250229,1.0,-0.8665976499749771,0.8665976499749771
chase_bucket,low,20-30%,raw,16,5,0.26761823403106955,1.0,-0.7323817659689305,0.7323817659689305
chase_bucket,par,10-20%,calibrated,290,15,0.16097043830063554,0.06896551724137931,0.09200492105925623,0.09200492105925623
chase_bucket,par,20-30%,calibrated,405,20,0.2531929620958309,0.17530864197530865,0.07788432012052227,0.07788432012052227
chase_bucket,par,10-20%,raw,401,15,0.1532324233511742,0.09975062344139651,0.053481799909777694,0.053481799909777694
chase_bucket,par,20-30%,raw,289,20,0.24614256192279602,0.2041522491349481,0.04199031278784793,0.04199031278784793
phase_x_chase_bucket,death_high,10-20%,calibrated,31,12,0.15415961152606822,0.0,0.15415961152606822,0.15415961152606822
phase_x_chase_bucket,death_high,20-30%,calibrated,24,10,0.2588300788110027,0.0,0.2588300788110027,0.2588300788110027
phase_x_chase_bucket,death_high,10-20%,raw,56,10,0.1353592699006644,0.0,0.1353592699006644,0.1353592699006644
phase_x_chase_bucket,death_high,20-30%,raw,49,9,0.2515110360757402,0.0,0.2515110360757402,0.2515110360757402
phase_x_chase_bucket,death_low,10-20%,calibrated,4,1,0.14540730807911495,1.0,-0.854592691920885,0.854592691920885
phase_x_chase_bucket,death_low,20-30%,calibrated,6,1,0.2774263382816014,1.0,-0.7225736617183987,0.7225736617183987
phase_x_chase_bucket,death_low,10-20%,raw,9,1,0.15752950620985098,1.0,-0.842470493790149,0.842470493790149
phase_x_chase_bucket,death_low,20-30%,raw,5,2,0.24323243382925872,1.0,-0.7567675661707413,0.7567675661707413
phase_x_chase_bucket,death_par,10-20%,calibrated,29,6,0.15981378175707633,0.3103448275862069,-0.15053104582913057,0.15053104582913057
phase_x_chase_bucket,death_par,20-30%,calibrated,19,8,0.26378402309408383,0.05263157894736842,0.2111524441467154,0.2111524441467154
phase_x_chase_bucket,death_par,10-20%,raw,40,6,0.13696825329381218,0.175,-0.03803174670618781,0.03803174670618781
phase_x_chase_bucket,death_par,20-30%,raw,20,7,0.25432216152889303,0.15,0.10432216152889304,0.10432216152889304
phase_x_chase_bucket,mid_high,10-20%,calibrated,292,17,0.15816884923132765,0.07876712328767123,0.07940172594365642,0.07940172594365642
phase_x_chase_bucket,mid_high,20-30%,calibrated,273,19,0.25068636424008167,0.08058608058608059,0.1701002836540011,0.1701002836540011
phase_x_chase_bucket,mid_high,10-20%,raw,323,17,0.14968372812600605,0.07430340557275542,0.07538032255325064,0.07538032255325064
phase_x_chase_bucket,mid_high,20-30%,raw,243,19,0.24906232358049177,0.09465020576131687,0.1544121178191749,0.1544121178191749
phase_x_chase_bucket,mid_low,10-20%,calibrated,31,1,0.1267270192728948,1.0,-0.8732729807271052,0.8732729807271052
phase_x_chase_bucket,mid_low,20-30%,calibrated,3,2,0.2560731689260236,1.0,-0.7439268310739764,0.7439268310739764
phase_x_chase_bucket,mid_low,10-20%,raw,16,1,0.1198308246710571,1.0,-0.8801691753289429,0.8801691753289429
phase_x_chase_bucket,mid_low,20-30%,raw,11,4,0.2787026886682562,1.0,-0.7212973113317438,0.7212973113317438
phase_x_chase_bucket,mid_par,10-20%,calibrated,151,12,0.158016288300845,0.059602649006622516,0.09841363929422248,0.09841363929422248
phase_x_chase_bucket,mid_par,20-30%,calibrated,188,12,0.24135548504306886,0.1595744680851064,0.08178101695796247,0.08178101695796247
phase_x_chase_bucket,mid_par,10-20%,raw,190,13,0.16270366153555754,0.12105263157894737,0.04165102995661017,0.04165102995661017
phase_x_chase_bucket,mid_par,20-30%,raw,140,13,0.24220930678640137,0.15714285714285714,0.08506644964354423,0.08506644964354423
phase_x_chase_bucket,pp_high,10-20%,calibrated,214,23,0.1619816918634359,0.07476635514018691,0.08721533672324898,0.08721533672324898
phase_x_chase_bucket,pp_high,20-30%,calibrated,292,24,0.2668164619062608,0.1643835616438356,0.10243290026242519,0.10243290026242519
phase_x_chase_bucket,pp_high,10-20%,raw,204,25,0.14837662576949612,0.1323529411764706,0.016023684593025528,0.016023684593025528
phase_x_chase_bucket,pp_high,20-30%,raw,244,23,0.24859685274487917,0.19672131147540983,0.05187554126946933,0.05187554126946933
phase_x_chase_bucket,pp_low,10-20%,calibrated,1,1,0.1191588785046729,1.0,-0.8808411214953271,0.8808411214953271
phase_x_chase_bucket,pp_low,20-30%,calibrated,0,0,,,,
phase_x_chase_bucket,pp_low,10-20%,raw,0,0,,,,
phase_x_chase_bucket,pp_low,20-30%,raw,0,0,,,,
phase_x_chase_bucket,pp_par,10-20%,calibrated,110,10,0.1653306172981954,0.01818181818181818,0.1471487991163772,0.1471487991163772
phase_x_chase_bucket,pp_par,20-30%,calibrated,198,15,0.26341627283801505,0.20202020202020202,0.06139607081781304,0.06139607081781304
phase_x_chase_bucket,pp_par,10-20%,raw,171,12,0.14651330959247041,0.05847953216374269,0.08803377742872773,0.08803377742872773
phase_x_chase_bucket,pp_par,20-30%,raw,129,13,0.24914305593034114,0.26356589147286824,-0.014422835542527102,0.014422835542527102
