segment,model,bucket,n,matches,mean_pred,actual_wr,bias_pred_minus_actual,abs_error
overall,v14_calibrated,0-10%,1974,39,0.0260691200592396,0.034954407294832825,-0.008885287235593224,0.008885287235593224
overall,v14_calibrated,10-20%,863,44,0.1586779684902621,0.1100811123986095,0.04859685609165261,0.04859685609165261
overall,v14_calibrated,20-30%,1005,49,0.2568513765083718,0.14925373134328357,0.10759764516508824,0.10759764516508824
overall,v14_calibrated,30-40%,695,52,0.349137154538451,0.36546762589928056,-0.016330471360829546,0.016330471360829546
overall,v14_calibrated,40-50%,666,51,0.444435987912264,0.5525525525525525,-0.10811656464028851,0.10811656464028851
overall,v14_calibrated,50-60%,673,53,0.5521960357008069,0.6924219910846954,-0.1402259553838885,0.1402259553838885
overall,v14_calibrated,60-70%,601,50,0.6486766608031674,0.8252911813643927,-0.17661452056122529,0.17661452056122529
overall,v14_calibrated,70-80%,960,49,0.7598507542980806,0.9052083333333333,-0.1453575790352527,0.1453575790352527
overall,v14_calibrated,80-90%,616,49,0.846628523999374,0.8993506493506493,-0.052722125351275295,0.052722125351275295
overall,v14_calibrated,90-100%,1752,55,0.9606256065855988,0.9583333333333334,0.002292273252265442,0.002292273252265442
overall,v14_raw,0-10%,2156,41,0.028914646719080006,0.04081632653061224,-0.011901679811532236,0.011901679811532236
overall,v14_raw,10-20%,1009,44,0.14963137311254787,0.11496531219028741,0.03466606092226046,0.03466606092226046
overall,v14_raw,20-30%,841,51,0.24841963092474012,0.17360285374554102,0.0748167771791991,0.0748167771791991
overall,v14_raw,30-40%,709,55,0.3478914760507178,0.44428772919605075,-0.09639625314533296,0.09639625314533296
overall,v14_raw,40-50%,503,44,0.4489442018078544,0.5546719681908548,-0.10572776638300047,0.10572776638300047
overall,v14_raw,50-60%,575,49,0.5503675414434979,0.6678260869565218,-0.11745854551302393,0.11745854551302393
overall,v14_raw,60-70%,612,49,0.6535297409789035,0.8251633986928104,-0.17163365771390693,0.17163365771390693
overall,v14_raw,70-80%,785,48,0.7514890827827851,0.9031847133757962,-0.15169563059301105,0.15169563059301105
