segment,situation,model,pred_bin,n,matches,mean_pred,actual_wr,bias,abs_error
overall,all,raw,"[0.0, 0.1)",2156,41,0.028914646719080055,0.04081632653061224,-0.011901679811532187,0.011901679811532187
overall,all,raw,"[0.1, 0.2)",1009,44,0.1496313731125479,0.11496531219028741,0.03466606092226049,0.03466606092226049
overall,all,raw,"[0.2, 0.3)",841,51,0.2484196309247402,0.17360285374554102,0.07481677717919918,0.07481677717919918
overall,all,raw,"[0.3, 0.4)",709,55,0.34789147605071785,0.44428772919605075,-0.0963962531453329,0.0963962531453329
overall,all,raw,"[0.4, 0.5)",503,44,0.4489442018078544,0.5546719681908548,-0.10572776638300047,0.10572776638300047
overall,all,raw,"[0.5, 0.6)",575,49,0.5503675414434979,0.6678260869565218,-0.11745854551302393,0.11745854551302393
overall,all,raw,"[0.6, 0.7)",612,49,0.6535297409789036,0.8251633986928104,-0.17163365771390682,0.17163365771390682
overall,all,raw,"[0.7, 0.8)",785,48,0.7514890827827851,0.9031847133757962,-0.15169563059301105,0.15169563059301105
overall,all,raw,"[0.8, 0.9)",802,49,0.8489352681378342,0.9027431421446384,-0.0538078740068042,0.0538078740068042
overall,all,raw,"[0.9, 1.0)",2055,54,0.9684327935946787,0.9557177615571776,0.012715032037501128,0.012715032037501128
overall,all,calibrated,"[0.0, 0.1)",1974,39,0.02606912005923964,0.034954407294832825,-0.008885287235593186,0.008885287235593186
overall,all,calibrated,"[0.1, 0.2)",863,44,0.15867796849026217,0.1100811123986095,0.048596856091652665,0.048596856091652665
overall,all,calibrated,"[0.2, 0.3)",1005,49,0.25685137650837186,0.14925373134328357,0.1075976451650883,0.1075976451650883
overall,all,calibrated,"[0.3, 0.4)",695,52,0.34913715453845107,0.36546762589928056,-0.01633047136082949,0.01633047136082949
overall,all,calibrated,"[0.4, 0.5)",666,51,0.444435987912264,0.5525525525525525,-0.10811656464028851,0.10811656464028851
overall,all,calibrated,"[0.5, 0.6)",673,53,0.5521960357008069,0.6924219910846954,-0.1402259553838885,0.1402259553838885
overall,all,calibrated,"[0.6, 0.7)",601,50,0.6486766608031674,0.8252911813643927,-0.17661452056122529,0.17661452056122529
overall,all,calibrated,"[0.7, 0.8)",960,49,0.7598507542980807,0.9052083333333333,-0.1453575790352526,0.1453575790352526
overall,all,calibrated,"[0.8, 0.9)",616,49,0.8466285239993739,0.8993506493506493,-0.052722125351275406,0.052722125351275406
overall,all,calibrated,"[0.9, 1.0)",1752,55,0.9606256065855988,0.9583333333333334,0.002292273252265442,0.002292273252265442
