candidate,segment,situation,n,matches,brier,brier_delta_vs_v14,brier_delta_pct_vs_v14,logloss,logloss_delta_pct_vs_v14,mean_pred,actual_wr,bias,abs_error,ece
v14_calibrated,overall,all,10047,93,0.1117501545724562,0.0,0.0,0.3743111001646648,0.0,0.48996301680758714,0.5205533990245844,-0.03059038221699728,0.03059038221699728,0.06365313900727879
v14_calibrated,high_chase,all_high,4258,37,0.08538188069588118,0.0,0.0,0.28027928817173403,0.0,0.29869697885837176,0.2576326914044152,0.04106428745395657,0.04106428745395657,0.07123686106447821
v14_calibrated,phase,phase=pp,3481,93,0.14382286332319885,0.0,0.0,0.49928495135452433,0.0,0.47172487728215173,0.5466819879345016,-0.07495711065234989,0.07495711065234989,0.13332019772949555
v14_calibrated,high_phase,phase=pp,1394,37,0.1287323774785409,0.0,0.0,0.3942073686266907,0.0,0.2765922581522481,0.27116212338593976,0.0054301347663083255,0.0054301347663083255,0.08006191750154608
v14_calibrated,phase,phase=mid,5050,93,0.10369643445698584,0.0,0.0,0.33743639494934685,0.0,0.520358771442801,0.5376237623762377,-0.017264990933436697,0.017264990933436697,0.04824089968540228
v14_calibrated,high_phase,phase=mid,2089,37,0.07498730978576752,0.0,0.0,0.2612079089847772,0.0,0.31846500458833576,0.26807084729535663,0.050394157292979136,0.050394157292979136,0.1012546808166063
v14_calibrated,phase,phase=death,1516,79,0.06493365551031245,0.0,0.0,0.2101839796801359,0.0,0.4305886123090453,0.40369393139841686,0.026894680910628466,0.026894680910628466,0.04251871954290364
v14_calibrated,high_phase,phase=death,775,35,0.03542532084581636,0.0,0.0,0.1267623423231447,0.0,0.28517255939313557,0.20516129032258065,0.08001126907055492,0.08001126907055492,0.09544026389162666
v14_raw_all,overall,all,10047,93,0.10987947204856607,-0.0018706825238901242,-1.67398652023986,0.35501283257529614,-5.155676008774269,0.48492374610442,0.5205533990245844,-0.0356296529201644,0.0356296529201644,0.060319282842595426
v14_raw_all,high_chase,all_high,4258,37,0.08231959772517164,-0.00306228297070954,-3.586572403595772,0.26956384917621395,-3.8231290886376392,0.286978235176822,0.2576326914044152,0.029345543772406835,0.029345543772406835,0.05533401286494695
v14_raw_all,phase,phase=pp,3481,93,0.1403993743526025,-0.0034234889705963556,-2.380351003653076,0.4482440233551649,-10.222805205902773,0.46085013727240254,0.5466819879345016,-0.08583185066209909,0.08583185066209909,0.11649696201077753
v14_raw_all,high_phase,phase=pp,1394,37,0.12600844634258634,-0.002723931135954566,-2.1159642890994013,0.38332724763323683,-2.759999396093786,0.25383486399101496,0.27116212338593976,-0.0173272593949248,0.0173272593949248,0.06615683610387146
v14_raw_all,phase,phase=mid,5050,93,0.10268284351827603,-0.001013590938709813,-0.9774597786486662,0.33494836132554806,-0.7373341053422153,0.5181860018627863,0.5376237623762377,-0.019437760513451363,0.019437760513451363,0.0449369254751642
v14_raw_all,high_phase,phase=mid,2089,37,0.07171551981549738,-0.003271789970270139,-4.3631248802195595,0.24944799290592656,-4.50212863942645,0.30996328100604187,0.26807084729535663,0.04189243371068524,0.04189243371068524,0.0897679199763139
v14_raw_all,phase,phase=death,1516,79,0.06377339959316633,-0.0011602559171461219,-1.7868328958653121,0.2077752367352594,-1.1460164321477768,0.42939989436596576,0.40369393139841686,0.0257059629675489,0.0257059629675489,0.03425061851685685
v14_raw_all,high_phase,phase=death,775,35,0.032319163893730934,-0.003106156952085423,-8.76818297738086,0.1191584895627178,-5.998510773052016,0.2846377173649181,0.20516129032258065,0.07947642704233746,0.07947642704233746,0.09139203223881966
raw_for_high_all_phases,overall,all,10047,93,0.11045233423909488,-0.0012978203333613159,-1.1613588708907239,0.36976981030272343,-1.2132394310357286,0.4849965182910111,0.5205533990245844,-0.035556880733573326,0.035556880733573326,0.06249614393155071
raw_for_high_all_phases,high_chase,all_high,4258,37,0.08231959772517164,-0.00306228297070954,-3.586572403595772,0.26956384917621395,-3.8231290886376392,0.286978235176822,0.2576326914044152,0.029345543772406835,0.029345543772406835,0.05533401286494695
raw_for_high_all_phases,phase,phase=pp,3481,93,0.14273203884646207,-0.0010908244767367792,-0.7584499790450407,0.4949279020397082,-0.8726578485884176,0.4626114594537234,0.5466819879345016,-0.08407052848077823,0.08407052848077823,0.1235625257062571
