segment,situation,n,matches,brier_delta_cal_minus_raw,brier_delta_ci_low,brier_delta_ci_high,abs_error_delta_cal_minus_raw,abs_error_delta_ci_low,abs_error_delta_ci_high,bootstrap_samples
phase_x_chase_bucket,phase=death|chase_bucket=high,775,35,0.002979386625162042,0.0003438930536893738,0.00601925350343051,0.0002695272048438431,-0.003780134133534474,0.005197739125558538,500
phase_x_chase_bucket,phase=death|chase_bucket=low,163,12,-0.011759909043980197,-0.029114494995831124,0.0007787106526886943,-0.004882850182471818,-0.019585298543320882,0.006548522787180609,500
phase_x_chase_bucket,phase=death|chase_bucket=par,578,32,0.002438019313483381,-0.0001638709480400486,0.005259531708207633,0.00016082704347772687,-0.004097393929587437,0.004614949399892652,500
phase_x_chase_bucket,phase=mid|chase_bucket=high,2089,37,0.0032400451033306505,0.0003205810409808861,0.0054573008627354334,0.006467149215876263,-0.008788986336792502,0.01248892452918352,500
phase_x_chase_bucket,phase=mid|chase_bucket=low,1010,21,-0.0027748178236539998,-0.008120386228497251,0.001660557840487812,0.006097967874027789,-0.0001530196226999012,0.011216329281822087,500
phase_x_chase_bucket,phase=mid|chase_bucket=par,1951,35,0.0005919923669810368,-0.0027883456683061446,0.0037176075287521132,0.00021540010312326907,-0.0045436162829523615,0.004997194282236771,500
phase_x_chase_bucket,phase=pp|chase_bucket=high,1394,37,0.0024200569116261104,-0.0052683044707351094,0.009077698990002783,-0.0021903235592029328,-0.027630296835443397,0.028186084543974636,500
phase_x_chase_bucket,phase=pp|chase_bucket=low,780,21,0.002626883149570674,-0.0019114305935855889,0.006542554023543503,0.005300549269763049,-0.002459863663104342,0.012197266493668812,500
phase_x_chase_bucket,phase=pp|chase_bucket=par,1307,35,0.0046954042203014796,-0.0014700273832305764,0.010361026842394195,-0.006872932227210377,-0.015777914538335682,0.008678364470349543,500
high_phase,phase=death,775,35,0.002979386625162042,0.0003438930536893738,0.00601925350343051,0.0002695272048438431,-0.003780134133534474,0.005197739125558538,500
high_phase,phase=mid,2089,37,0.003258530150858001,0.0005806740808088144,0.005623482104011829,0.006713089475941973,-0.008359951965078709,0.012420859638581886,500
high_phase,phase=pp,1394,37,0.0024746770306496124,-0.005279528050040716,0.008868801072124857,-0.0021330401916071703,-0.027244747309299298,0.02762554210584269,500
