feature,importance,perm_importance,rank_xgb,rank_perm,mean_rank
dls_pressure_index,0.6498414,0.01198932466407617,1,2,1.5
score_vs_par,0.013408341,0.01159296246866385,7,3,5.0
chase_difficulty,0.021051122,0.005828139682610829,4,8,6.0
inn1_pp_runs,0.0067519937,0.012768887604276339,12,1,6.5
resource_win_prob,0.04608163,0.004626762121915817,2,12,7.0
pressure_index,0.04079976,0.002257316062847773,3,15,9.0
target_above_par,0.0063199606,0.007599969704945882,14,7,10.5
resource_team_adjusted,0.018439254,0.0020864643156528473,5,18,11.5
batting_team_win_rate,0.0064251884,0.005466427033146222,13,10,11.5
inn1_defendability,0.0062316866,0.008693432435393333,18,5,11.5
required_run_rate,0.015423517,0.002011587843298912,6,19,12.5
situation_advantage,0.006314051,0.005226009835799535,15,11,13.0
venue_chase_success,0.0061610383,0.008281141519546509,20,6,13.0
inn1_death_rr,0.005808979,0.010832850510875383,23,4,13.5
run_rate_diff,0.010600627,0.0014528992275396984,9,23,16.0
rrr_times_wickets,0.012885972,0.0007914335777362188,8,25,16.5
batting_team_situation_wr,0.0057111867,0.005757688855131467,24,9,16.5
bowling_team_win_rate,0.0062416643,0.002159102509419123,17,16,16.5
team_strength_diff,0.0058966093,0.0030462841192881265,21,13,17.0
inn1_wickets_lost,0.005893054,0.0025724470615386963,22,14,18.0
runs_last_18,0.008944367,0.0006387835989395777,11,26,18.5
batting_won_toss,0.0062468746,0.0004121282448371251,16,29,22.5
run_rate_team_adj,0.008993401,6.924010813236237e-05,10,37,23.5
score_per_wicket,0.0045786444,0.0021508863816658654,32,17,24.5
bowling_team_situation_wr,0.004824279,0.00172366201877594,30,20,25.0
expected_final_score,0.0050689126,0.0015993490815162659,29,21,25.0
wickets_times_balls,0.0062206774,0.00017040657500425974,19,33,26.0
wickets_lost,0.0051701935,0.0008715943743785223,28,24,26.0
wickets_last_30,0.0053779073,0.0004289926340182622,26,28,27.0
crr_times_res,0.0054798247,0.00032238786419232685,25,30,27.5
score_adjusted_by_team,0.004188782,0.0014623608440160751,33,22,27.5
current_run_rate,0.0038747943,0.0005991589277982712,34,27,30.5
boundary_pct_last_18,0.0038092136,0.00031073950231075287,35,31,33.0
resource_pct,0.005334191,1.673835019270579e-05,27,42,34.5
dot_pct_last_12,0.003148606,0.00021457175413767496,37,32,34.5
overs_remaining,0.004617741,1.726299524307251e-05,31,41,36.0
balls_since_wicket,0.0029446303,0.00016439706087112427,39,34,36.5
resources_remaining,0.0036526334,3.128747145334879e-05,36,39,37.5
runs_last_12,0.0019113147,0.00013505357007185617,42,35,38.5
set_batter_exposure,0.0023676124,0.0001232437789440155,41,36,38.5
wickets_last_6,0.0026938478,2.7826055884361267e-05,40,40,40.0
acceleration_potential,0.0029941038,2.117827534675598e-06,38,43,40.5
wickets_last_12,0.0012704397,3.240816295146942e-05,43,38,40.5
projected_vs_venue_avg,0.0,0.0,46,46,46.0
projected_score,0.0,0.0,46,46,46.0
is_death_overs,0.0,0.0,46,46,46.0
is_middle_overs,0.0,0.0,46,46,46.0
is_powerplay,0.0,0.0,46,46,46.0
projected_adjusted,0.0,0.0,46,46,46.0
