feature,importance,perm_importance,rank_xgb,rank_perm,mean_rank
resource_win_prob,0.30072704,0.02240758885939916,1,3,2.0
score_vs_par,0.055934217,0.013422114153703054,3,6,4.5
target_above_par,0.019498048,0.026983536779880524,8,1,4.5
inn1_defendability,0.01784027,0.02241969605286916,11,2,6.5
venue_chase_success,0.019003235,0.01223419358332952,9,7,8.0
inn1_death_rr,0.016729983,0.017493993043899536,13,5,9.0
dls_pressure_index,0.16805328,0.001545444130897522,2,16,9.0
inn1_pp_runs,0.016128955,0.019838879505793255,16,4,10.0
batting_team_win_rate,0.016635604,0.008295044302940369,14,9,11.5
situation_advantage,0.017308047,0.006586643556753795,12,11,11.5
score_per_wicket,0.0186668,0.0036895722150802612,10,14,12.0
resource_team_adjusted,0.021162795,0.0012636904915173848,7,18,12.5
team_strength_diff,0.016627638,0.00726769616206487,15,10,12.5
chase_difficulty,0.021168781,0.0008595064282417297,6,21,13.5
wickets_times_balls,0.02606093,0.0008135214447975159,5,22,13.5
batting_team_situation_wr,0.014976595,0.011032621065775553,20,8,14.0
bowling_team_win_rate,0.016096441,0.006473893920580546,17,12,14.5
required_run_rate,0.030879974,0.00021792203187942505,4,26,15.0
inn1_wickets_lost,0.0141495885,0.003782259921232859,22,13,17.5
run_rate_diff,0.015191577,0.001494939128557841,19,17,18.0
bowling_team_situation_wr,0.01434719,0.0035436352094014487,21,15,18.0
batting_won_toss,0.015608081,0.000995221237341563,18,19,18.5
overs_remaining,0.011880808,0.0005778223276138306,24,23,23.5
score_adjusted_by_team,0.010118579,0.000963352620601654,28,20,24.0
expected_final_score,0.009319851,0.0005577703317006429,29,25,27.0
current_run_rate,0.006808114,0.0005680521329243978,31,24,27.5
runs_last_18,0.010516339,3.3167501290639244e-05,25,30,27.5
run_rate_team_adj,0.010337377,3.450115521748861e-05,27,29,28.0
rrr_times_wickets,0.008667725,6.684164206186931e-05,30,28,29.0
wickets_lost,0.01051107,2.3442010084788006e-05,26,33,29.5
resources_remaining,0.00557306,0.0001349225640296936,33,27,30.0
acceleration_potential,0.0119585935,5.987783273061116e-06,23,39,31.0
pressure_index,0.005489728,3.111114104588827e-05,34,31,32.5
boundary_pct_last_18,0.006801732,1.325458288192749e-05,32,35,33.5
crr_times_res,0.0032395548,2.4038056532541912e-05,37,32,34.5
resource_pct,0.0033277813,2.0628174146016438e-05,36,34,35.0
dot_pct_last_12,0.005477809,8.871157964070639e-06,35,36,35.5
runs_last_12,0.0031258133,8.434057235717773e-06,38,37,37.5
wickets_last_30,0.0031154302,7.984538873036703e-06,39,38,38.5
set_batter_exposure,0.0009355707,2.2724270820617676e-06,40,40,40.0
projected_vs_venue_avg,0.0,0.0,45,45,45.0
balls_since_wicket,0.0,0.0,45,45,45.0
wickets_last_12,0.0,0.0,45,45,45.0
wickets_last_6,0.0,0.0,45,45,45.0
projected_score,0.0,0.0,45,45,45.0
is_death_overs,0.0,0.0,45,45,45.0
is_middle_overs,0.0,0.0,45,45,45.0
is_powerplay,0.0,0.0,45,45,45.0
projected_adjusted,0.0,0.0,45,45,45.0
