feature,importance,perm_importance,rank_xgb,rank_perm,mean_rank
score_vs_par,0.2045559,0.04888218641281128,1,1,1.0
target_above_par,0.01623861,0.026320348183314007,9,2,5.5
inn1_defendability,0.01596725,0.019307372470696766,10,3,6.5
venue_chase_success,0.016624242,0.014426109691460928,7,6,6.5
score_adjusted_by_team,0.020508299,0.0046951572100321455,5,12,8.5
inn1_pp_runs,0.015107515,0.01648293435573578,13,5,9.0
resource_win_prob,0.052665744,0.004430680225292842,4,14,9.0
dls_pressure_index,0.17269965,0.0013274364173412323,2,17,9.5
inn1_death_rr,0.014178878,0.018819918235143025,15,4,9.5
batting_team_situation_wr,0.015444555,0.012510314583778381,12,7,9.5
situation_advantage,0.0140313525,0.008305793007214865,16,8,12.0
team_strength_diff,0.014291574,0.005398121972878774,14,10,12.0
resource_team_adjusted,0.015655171,0.002784611036380132,11,15,13.0
batting_team_win_rate,0.013671656,0.007430164764324824,17,9,13.0
bowling_team_win_rate,0.012974096,0.0051598673065503435,20,11,15.5
chase_difficulty,0.016388688,0.0004936692615350088,8,25,16.5
bowling_team_situation_wr,0.013145565,0.0026709859569867453,18,16,17.0
pressure_index,0.16841887,0.00012048582235972087,3,31,17.0
inn1_wickets_lost,0.012787643,0.004452620943387349,21,13,17.0
run_rate_team_adj,0.017848855,7.340436180432637e-05,6,35,20.5
batting_won_toss,0.012209067,0.0008293762803077698,22,21,21.5
expected_final_score,0.009490057,0.0013209717969099681,25,19,22.0
rrr_times_wickets,0.013047717,0.00035489847262700397,19,26,22.5
run_rate_diff,0.008893912,0.001019721229871114,27,20,23.5
score_per_wicket,0.009078989,0.000612359493970871,26,23,24.5
current_run_rate,0.008780531,0.000744855652252833,28,22,25.0
wickets_lost,0.010580129,0.00032330552736918133,24,27,25.5
wickets_last_30,0.011879838,0.00022262334823608398,23,28,25.5
wickets_times_balls,0.0062541054,0.0013263287643591564,33,18,25.5
boundary_pct_last_18,0.0067742676,0.0001976117491722107,29,29,29.0
overs_remaining,0.005215185,0.0005952691038449606,37,24,30.5
crr_times_res,0.0064583295,0.00013514235615730286,32,30,31.0
resource_pct,0.0067480514,8.452807863553365e-05,31,33,32.0
resources_remaining,0.0067596966,8.354832728703816e-05,30,34,32.0
required_run_rate,0.006129441,9.57883894443512e-05,35,32,33.5
acceleration_potential,0.0061430354,3.060822685559591e-05,34,39,36.5
balls_since_wicket,0.005454544,6.0811638832092285e-05,36,37,36.5
runs_last_18,0.0044108727,4.401057958602905e-05,38,38,38.0
dot_pct_last_12,0.0036044533,6.170819203058879e-05,41,36,38.5
runs_last_12,0.0038269416,1.2043863534927368e-05,39,41,40.0
set_batter_exposure,0.0036208834,1.354639728864034e-05,40,40,40.0
wickets_last_12,0.0014357339,3.283222516377767e-06,42,42,42.0
projected_vs_venue_avg,0.0,0.0,46,46,46.0
wickets_last_6,0.0,0.0,46,46,46.0
projected_score,0.0,0.0,46,46,46.0
is_death_overs,0.0,0.0,46,46,46.0
is_middle_overs,0.0,0.0,46,46,46.0
is_powerplay,0.0,0.0,46,46,46.0
projected_adjusted,0.0,0.0,46,46,46.0
