feature,importance,perm_importance,rank_xgb,rank_perm,mean_rank
pressure_index,0.32452282,0.013735267023245493,1,6,3.5
target_above_par,0.0238682,0.04723470906416575,8,1,4.5
resource_win_prob,0.088315286,0.004429422318935394,2,14,8.0
inn1_pp_runs,0.019097036,0.023361715177694958,13,3,8.0
situation_advantage,0.019743187,0.012168005108833313,11,8,9.5
inn1_defendability,0.018467467,0.021523716549078625,15,4,9.5
score_vs_par,0.031067578,0.0035726080338160195,3,16,9.5
batting_team_situation_wr,0.018731711,0.012794864674409231,14,7,10.5
venue_chase_success,0.01846337,0.01474688450495402,16,5,10.5
team_strength_diff,0.019263364,0.008996168772379557,12,10,11.0
inn1_death_rr,0.017437348,0.02572578191757202,20,2,11.0
run_rate_diff,0.027409444,0.0029294888178507486,5,18,11.5
resource_team_adjusted,0.021633811,0.004263063271840413,10,15,12.5
expected_final_score,0.025006676,0.002836530407269796,7,19,13.0
batting_won_toss,0.02244315,0.0032804583509763083,9,17,13.0
dls_pressure_index,0.025069445,0.0011669745047887166,6,21,13.5
bowling_team_win_rate,0.017959008,0.009051809708277384,18,9,13.5
bowling_team_situation_wr,0.017963488,0.004779110352198283,17,13,15.0
batting_team_win_rate,0.017309023,0.008071355521678925,21,11,16.0
run_rate_team_adj,0.030225977,0.00019519527753194174,4,29,16.5
inn1_wickets_lost,0.016399996,0.005002990365028381,23,12,17.5
score_adjusted_by_team,0.017747954,0.001393901805082957,19,20,19.5
score_per_wicket,0.015469058,0.0009343052903811137,24,22,23.0
chase_difficulty,0.016932795,0.0005412201086680094,22,25,23.5
boundary_pct_last_18,0.012727947,0.0006235390901565552,28,23,25.5
rrr_times_wickets,0.0127475755,0.0004175702730814616,27,26,26.5
wickets_times_balls,0.011501573,0.0006066262722015381,30,24,27.0
required_run_rate,0.011585917,0.0003402506311734517,29,27,28.0
current_run_rate,0.008067935,0.00032827754815419513,32,28,30.0
wickets_lost,0.013417021,1.0512769222259521e-05,26,37,31.5
runs_last_12,0.015186192,8.722146352132162e-06,25,38,31.5
crr_times_res,0.00686323,6.988396247227986e-05,33,32,32.5
overs_remaining,0.0048027746,9.34898853302002e-05,35,30,32.5
runs_last_18,0.010028306,1.2661019961039225e-05,31,36,33.5
is_powerplay,0.005435206,6.1360498269399e-05,34,33,33.5
dot_pct_last_12,0.0030915851,8.422136306762695e-05,38,31,34.5
wickets_last_30,0.003978836,1.3877948125203451e-05,36,35,35.5
resource_pct,0.003948026,2.703070640563965e-05,37,34,35.5
resources_remaining,0.0029912188,5.185604095458984e-06,39,39,39.0
balls_since_wicket,0.0013037698,3.1863649686177573e-06,40,40,40.0
acceleration_potential,0.00094357395,1.0306636492411296e-06,41,42,41.5
wickets_last_6,0.0008320529,1.0902682940165203e-06,42,41,41.5
set_batter_exposure,0.0,0.0,46,46,46.0
projected_vs_venue_avg,0.0,0.0,46,46,46.0
wickets_last_12,0.0,0.0,46,46,46.0
projected_score,0.0,0.0,46,46,46.0
is_middle_overs,0.0,0.0,46,46,46.0
is_death_overs,0.0,0.0,46,46,46.0
projected_adjusted,0.0,0.0,46,46,46.0
