feature,importance
dls_pressure_index,0.683185
resource_win_prob,0.08098815
pressure_index,0.04211811
chase_difficulty,0.0227561
resource_team_adjusted,0.018427294
required_run_rate,0.015873864
rrr_times_wickets,0.01564389
score_vs_par,0.013786278
run_rate_diff,0.011323325
inn1_pp_runs,0.00843132
overs_remaining,0.008421521
batting_team_win_rate,0.008121084
target_above_par,0.0077350037
wickets_lost,0.0073383613
inn1_death_rr,0.0073030656
situation_advantage,0.0070367167
wickets_times_balls,0.006935782
resource_pct,0.0066462797
resources_remaining,0.0060854782
current_run_rate,0.0058574136
runs_last_12,0.0055884607
boundary_pct_last_18,0.0045645596
wickets_last_6,0.003986537
wickets_last_12,0.0018463884
