feature,importance
score_vs_par,0.24706396
pressure_index,0.19732434
dls_pressure_index,0.18143553
resource_win_prob,0.06740525
score_adjusted_by_team,0.022113837
inn1_defendability,0.01938703
target_above_par,0.018691016
venue_chase_success,0.01866953
batting_team_situation_wr,0.017976556
chase_difficulty,0.01733217
resource_team_adjusted,0.017121702
inn1_pp_runs,0.017060217
inn1_death_rr,0.016554203
situation_advantage,0.016421292
batting_team_win_rate,0.015826067
rrr_times_wickets,0.015368247
run_rate_diff,0.011639208
wickets_last_12,0.010262472
score_per_wicket,0.010161582
current_run_rate,0.00982666
wickets_times_balls,0.008679949
overs_remaining,0.007587156
required_run_rate,0.0075624348
balls_since_wicket,0.0069743847
boundary_pct_last_18,0.006300003
dot_pct_last_12,0.005342133
runs_last_18,0.0037671775
runs_last_12,0.0036372817
set_batter_exposure,0.0025086298
wickets_last_6,0.0
