feature,importance
pressure_index,0.32769763
resource_win_prob,0.15464617
dls_pressure_index,0.04962353
score_vs_par,0.0416168
run_rate_diff,0.034784827
target_above_par,0.030975793
batting_won_toss,0.029935692
resource_team_adjusted,0.029835071
situation_advantage,0.027651997
expected_final_score,0.026998509
inn1_pp_runs,0.02602533
batting_team_situation_wr,0.025142489
team_strength_diff,0.024992146
inn1_defendability,0.024399146
bowling_team_situation_wr,0.024242036
inn1_death_rr,0.023840379
venue_chase_success,0.023221113
bowling_team_win_rate,0.022928175
batting_team_win_rate,0.022561656
inn1_wickets_lost,0.0199376
overs_remaining,0.005394685
resources_remaining,0.0035490035
