feature,gain
momentum_under_pressure,0.3710667
dls_pressure_index,0.30490237
pressure_index,0.046125844
resource_team_adjusted,0.020047665
chase_difficulty,0.016893141
rrr_times_wickets,0.015573157
batting_pair_momentum,0.0152513925
death_chase_urgency,0.015118623
required_rpb,0.013110322
death_feasibility,0.010530061
required_run_rate,0.009528061
score_vs_par,0.008872086
runs_per_wkt_rem,0.007558831
inn1_pp_runs,0.0066205915
batting_team_win_rate,0.006273727
inn1_quality_index,0.006129075
target_above_par,0.005834788
crr_vs_rrr_ratio,0.00573752
inn1_death_rr,0.0053132116
wicket_adj_momentum,0.0052613355
wr_x_rrr,0.00519537
runs_last_12,0.0051627597
situation_advantage,0.004954007
wickets_times_balls,0.0048247157
run_rate_diff,0.0046396214
boundary_momentum,0.004472496
current_run_rate,0.004430603
momentum_vs_rrr,0.004417374
pair_strength_adj,0.0042498405
net_momentum,0.0041539166
resource_pct,0.0041335286
tight_finish_zone,0.003978448
wickets_lost,0.003969437
momentum_score,0.003908247
boundary_pct_last_18,0.003723708
wickets_last_12,0.0034408793
rrr_x_high_chase,0.003424938
pressure_momentum_gap,0.0034205192
accel_potential,0.0033484313
wicket_shock_recency,0.003318117
dot_pressure,0.0033153559
crr_resource_adj,0.003276826
wickets_remaining,0.0031365876
momentum_acceleration,0.0024041235
recovery_momentum,0.0022946212
momentum_trend,0.0019084802
chase_category,0.0016462592
resources_remaining,0.0016162919
overs_remaining,0.0013339927
wickets_last_6,0.00015196069
is_high_chase,0.0
wicket_cluster_flag,0.0
critical_wicket_zone,0.0
is_low_chase,0.0
recent_surge_flag,0.0
chase_completion,0.0
balls_remaining,0.0
comfortable_chase_flag,0.0
rescue_needed_flag,0.0
