feature,importance
chase_run_buffer,0.20368432
score_vs_par,0.17473035
momentum_under_pressure,0.08027718
pressure_index,0.05828475
dls_pressure_index,0.053453077
svp_x_chase_cat,0.030563572
resource_win_prob,0.030251812
inn1_defendability,0.012781552
comfortable_chase_flag,0.012659593
batting_team_venue_wr,0.012206217
is_low_chase,0.011824739
target_above_par,0.01181561
inn1_quality_index,0.011718262
score_adjusted_by_team,0.011559063
target_difficulty_norm,0.011119011
batting_pair_momentum,0.011058344
batting_team_situation_wr,0.010872805
venue_chase_success,0.010634321
resource_team_adjusted,0.010576397
chase_difficulty,0.010377217
inn1_death_rr,0.010261489
inn1_pp_runs,0.010161788
rrr_x_high_chase,0.009927463
situation_advantage,0.009390496
batting_team_win_rate,0.009303478
crr_vs_rrr_ratio,0.008954903
recovery_momentum,0.008894057
wicket_pressure,0.008468251
rrr_times_wickets,0.008416647
chase_category,0.008374228
wicket_adj_momentum,0.008350134
accel_potential,0.0077549974
resource_pct,0.0069094645
wickets_remaining,0.0064306585
current_run_rate,0.006145043
wr_x_rrr,0.005822209
scoring_rate_gap,0.0051865424
net_momentum,0.005171738
critical_wicket_zone,0.0050969073
score_per_wicket,0.0049715363
momentum_x_wickets,0.004855761
wickets_times_balls,0.004843478
balls_since_wicket,0.00459926
run_rate_diff,0.004488575
wickets_last_12,0.004431669
pressure_momentum_gap,0.0043874416
overs_remaining,0.003656748
momentum_score,0.0035816173
required_run_rate,0.0035553637
boundary_momentum,0.0035313517
runs_last_12,0.0034025272
partnership_solidity,0.0033841024
dot_pct_last_12,0.0030897788
pressure_x_high_chase,0.002774624
dot_pressure,0.0026445615
crr_resource_adj,0.002369799
momentum_vs_rrr,0.0015962371
boundary_pct_last_18,0.0014600944
set_batter_exposure,0.0013656769
runs_last_18,0.00097554637
momentum_trend,0.00039118173
scoring_consistency,0.00017437257
is_high_chase,0.0
pair_strength_adj,0.0
recent_surge_flag,0.0
momentum_acceleration,0.0
comfortable_wicket_zone,0.0
wicket_cluster_flag,0.0
wickets_last_6,0.0
wicket_shock_recency,0.0
rescue_needed_flag,0.0
