feature,importance
pressure_index,0.21837825
resource_win_prob,0.12245141
dls_pressure_index,0.032550965
pp_chase_feasibility,0.027664475
score_vs_par,0.026289353
net_momentum,0.025843436
target_above_par,0.02094916
batting_team_venue_wr,0.020474976
resource_team_adjusted,0.019751595
target_difficulty_norm,0.018032184
crr_vs_rrr_ratio,0.017585477
run_rate_diff,0.017552674
wickets_remaining,0.015350973
inn1_pp_vs_median,0.015250598
inn1_defendability,0.015204429
boundary_momentum,0.01514877
batting_pair_momentum,0.0151268905
venue_chase_advantage,0.014989847
situation_advantage,0.014773773
inn1def_x_hard_chase,0.0146859465
batting_team_win_rate,0.014649609
inn1_quality_index,0.014605241
batting_team_situation_wr,0.014470491
team_strength_diff,0.014416957
inn1_pp_runs,0.014300381
inn1_death_rr,0.014072019
inn1_death_intensity,0.014063489
bowling_team_win_rate,0.013863977
venue_chase_success,0.013401945
bowling_team_situation_wr,0.013379997
batting_won_toss,0.013076015
is_par_chase,0.013000971
wicket_adj_momentum,0.012309637
inn1_wickets_lost,0.0122699365
crr_resource_adj,0.011847711
pressure_x_high_chase,0.01138972
pp_run_rate_premium,0.010561294
scoring_rate_gap,0.010433683
current_run_rate,0.009329973
rrr_x_low_chase,0.0089959465
momentum_score,0.008299528
required_run_rate,0.0072327163
chase_category,0.006834782
rrr_x_high_chase,0.006544926
overs_remaining,0.006430217
momentum_vs_rrr,0.0063546654
is_low_chase,0.005246375
wickets_lost,0.0044123298
dot_pressure,0.0034564806
accel_potential,0.001619247
resources_remaining,0.0010746307
is_high_chase,0.0
wickets_last_6,0.0
wicket_shock_recency,0.0
recent_surge_flag,0.0
