bucket,n,mean_pred,actual_wr,cal_error,version,phase
50-60,707,0.5524475845313634,0.5643564356435643,0.011908851112200858,v14_original,pp
60-70,501,0.6432818333616256,0.720558882235529,0.07727704887390341,v14_original,pp
70-80,1008,0.7502231666420275,0.8680555555555556,0.1178323889135281,v14_original,pp
80+,1265,0.9204313234895679,0.9233201581027668,0.0028888346131988873,v14_original,pp
50-60,536,0.5544502683728523,0.5783582089552238,0.023907940582371556,v14_original,mid
60-70,659,0.653624837607827,0.6995447647951442,0.04591992718731719,v14_original,mid
70-80,876,0.7537987559647261,0.8915525114155252,0.13775375545079904,v14_original,mid
80+,2979,0.9288769850121025,0.9442766028868748,0.015399617874772287,v14_original,mid
50-60,93,0.5598685789056431,0.5698924731182796,0.010023894212636497,v14_original,death
60-70,139,0.6545423312898498,0.841726618705036,0.1871842874151861,v14_original,death
70-80,81,0.7378818310908642,0.8395061728395061,0.10162434174864188,v14_original,death
80+,1203,0.9673063510663318,0.9600997506234414,0.007206600442890343,v14_original,death
50-60,1336,0.5537676376869367,0.5703592814371258,0.016591643750189067,v14_original,overall
60-70,1299,0.6497339111216486,0.7228637413394919,0.07312983021784336,v14_original,overall
70-80,1965,0.7513084430120222,0.87735368956743,0.12604524655540783,v14_original,overall
80+,5447,0.9354029195700667,0.9429043510189095,0.007501431448842744,v14_original,overall
50-60,593,0.548313358022798,0.6070826306913997,0.05876927266860166,resource_v2_add,pp
60-70,719,0.6420634906064087,0.7107093184979137,0.06864582789150508,resource_v2_add,pp
70-80,893,0.746954232053823,0.8812989921612542,0.13434476010743113,resource_v2_add,pp
80+,1276,0.923191644179782,0.9263322884012539,0.0031406442214719776,resource_v2_add,pp
50-60,531,0.5544937767530993,0.5574387947269304,0.0029450179738310656,resource_v2_add,mid
60-70,733,0.652604559511595,0.7298772169167803,0.0772726574051853,resource_v2_add,mid
70-80,846,0.7540038721432092,0.8877068557919622,0.133702983648753,resource_v2_add,mid
80+,2940,0.9308900325192925,0.9414965986394558,0.010606566120163308,resource_v2_add,mid
50-60,80,0.5508452695140906,0.65,0.09915473048590939,resource_v2_add,death
60-70,166,0.6512593137585102,0.7951807228915663,0.14392140913305607,resource_v2_add,death
70-80,70,0.7618922251615988,0.7714285714285715,0.00953634626697264,resource_v2_add,death
80+,1200,0.9682957474462758,0.9625,0.005795747446275756,resource_v2_add,death
50-60,1204,0.5512073408011148,0.5880398671096345,0.03683252630851974,resource_v2_add,overall
60-70,1618,0.6477823473126822,0.7280593325092707,0.08027698519658844,resource_v2_add,overall
70-80,1809,0.750829110458005,0.8800442233278054,0.12921511286980036,resource_v2_add,overall
80+,5416,0.9373641304497142,0.9425775480059084,0.0052134175561942,resource_v2_add,overall
50-60,702,0.550902939320932,0.5712250712250713,0.02032213190413923,resource_v2_replace,pp
60-70,517,0.6464928341501802,0.7137330754352031,0.06724024128502293,resource_v2_replace,pp
70-80,1006,0.7512589618248703,0.8648111332007953,0.11355217137592499,resource_v2_replace,pp
80+,1256,0.9258278525304499,0.9243630573248408,0.0014647952056090485,resource_v2_replace,pp
50-60,518,0.5525056606216908,0.6003861003861004,0.04788043976440959,resource_v2_replace,mid
60-70,670,0.6529543117383491,0.6791044776119403,0.026150165873591202,resource_v2_replace,mid
70-80,849,0.7519163105853525,0.872791519434629,0.1208752088492765,resource_v2_replace,mid
80+,3013,0.9279411265398407,0.9452373050116163,0.01729617847177556,resource_v2_replace,mid
50-60,93,0.5598685789056431,0.5698924731182796,0.010023894212636497,resource_v2_replace,death
60-70,139,0.6545423312898498,0.841726618705036,0.1871842874151861,resource_v2_replace,death
70-80,81,0.7378818310908642,0.8395061728395061,0.10162434174864188,resource_v2_replace,death
80+,1203,0.9673063510663318,0.9600997506234414,0.007206600442890343,resource_v2_replace,death
50-60,1313,0.552170276803926,0.5826351865955827,0.030464909791656614,resource_v2_replace,overall
60-70,1326,0.6506014842908192,0.7096530920060332,0.059051607715214005,resource_v2_replace,overall
70-80,1936,0.7509875473146405,0.8672520661157025,0.11626451880106203,resource_v2_replace,overall
80+,5472,0.9361103686724384,0.9437134502923976,0.007603081619959262,resource_v2_replace,overall
