phase,n,raw_brier,cal_brier,raw_logloss,cal_logloss,version
pp,3481,0.14039937433960914,0.14382286331547456,0.4482440233201106,0.49928495134254086,v14_original
mid,5050,0.10268284345929343,0.10369643442532964,0.33494836112386844,0.33743639485447835,v14_original
death,1516,0.06377339959316633,0.06493365551031245,0.2077752367352594,0.2101839796801359,v14_original
overall,10047,0.10987947201441736,0.11175015455386834,0.355012832461779,0.37431110011282837,v14_original
pp,3481,0.13854113436433305,0.14227749281192023,0.4441107789161115,0.4957022978520041,resource_v2_add
mid,5050,0.10417081591271427,0.10534588195324718,0.33997639724854967,0.342515841055533,resource_v2_add
death,1516,0.06336539636387929,0.06558388204211764,0.2053732341368937,0.2100103676603391,resource_v2_add
overall,10047,0.10992199163621891,0.11214191515059649,0.3557456206294108,0.3755967366901903,resource_v2_add
pp,3481,0.14143211335039263,0.1440028040958775,0.45161769559578974,0.5158095229015264,resource_v2_replace
mid,5050,0.1041374469163057,0.1050159320338596,0.3387878111641124,0.34076003883550776,resource_v2_replace
death,1516,0.06377339959316633,0.06493365551031245,0.2077752367352594,0.2101839796801359,resource_v2_replace
overall,10047,0.11096842513021804,0.11247572803646601,0.35811156600361954,0.38170698303320527,resource_v2_replace
