feature,importance
resource_win_prob,0.17972934
dls_pressure_index,0.1011712
score_vs_par,0.08577931
momentum_under_pressure,0.04968886
recovery_momentum,0.03240512
required_run_rate,0.022514129
batting_team_venue_wr,0.021350969
venue_chase_success,0.020942228
score_per_wicket,0.020883238
batting_recent_nrr_l5,0.01897489
team_strength_diff,0.018410135
score_vs_venue_over_par,0.01816495
situation_advantage,0.01808781
bowling_team_win_rate,0.017946163
expected_final_score,0.017473198
bowling_team_situation_wr,0.01720774
target_above_par,0.017035926
inn1_death_rr,0.017002298
inn1_quality_index,0.016889319
inn1_defendability,0.016765203
net_momentum,0.016730087
batting_team_win_rate,0.01660162
run_rate_diff,0.01656757
projected_score,0.015485158
current_run_rate,0.015401974
inn1_pp_runs,0.015088483
batting_team_situation_wr,0.014557926
wickets_last_12,0.0141903665
chase_difficulty,0.013961896
projected_vs_venue_avg,0.013680943
is_low_target,0.013151276
inn1_wickets_lost,0.013088969
batting_won_toss,0.012237067
pressure_index,0.011902693
chase_category,0.011746741
rrr_times_wickets,0.010683394
wickets_times_balls,0.010475761
overs_remaining,0.0074718283
wicket_adj_momentum,0.0067777988
runs_last_18,0.0067094215
boundary_pct_last_18,0.005222846
batting_pair_momentum,0.004439953
recent_surge_flag,0.0028747253
set_batter_exposure,0.0015784114
wickets_last_6,0.00062625465
runs_last_12,0.0003131629
balls_since_wicket,1.1666873e-05
is_powerplay,0.0
dot_pct_last_12,0.0
momentum_acceleration,0.0
