split,phase,model,bucket,n,mean_pred,actual_wr,cal_error,over_under
OOS,PP,v12,50-60%,501,0.5415,0.5808,0.0393,under
OOS,PP,v12,60-70%,749,0.6548,0.6956,0.0408,under
OOS,PP,v12,70-80%,808,0.7406,0.8379,0.0973,under
OOS,PP,v12,80%+  ,1423,0.9073,0.9206,0.0133,under
OOS,PP,v14,50-60%,707,0.5524,0.5644,0.0119,under
OOS,PP,v14,60-70%,501,0.6433,0.7206,0.0773,under
OOS,PP,v14,70-80%,1008,0.7502,0.8681,0.1178,under
OOS,PP,v14,80%+  ,1265,0.9204,0.9233,0.0029,under
OOS,MID,v12,50-60%,497,0.5561,0.5996,0.0435,under
OOS,MID,v12,60-70%,677,0.6535,0.7208,0.0673,under
OOS,MID,v12,70-80%,853,0.7517,0.8546,0.103,under
OOS,MID,v12,80%+  ,3023,0.9285,0.9454,0.0169,under
OOS,MID,v14,50-60%,536,0.5545,0.5784,0.0239,under
OOS,MID,v14,60-70%,659,0.6536,0.6995,0.0459,under
OOS,MID,v14,70-80%,876,0.7538,0.8916,0.1378,under
OOS,MID,v14,80%+  ,2979,0.9289,0.9443,0.0154,under
OOS,DEATH,v12,50-60%,89,0.5444,0.5281,0.0164,over
OOS,DEATH,v12,60-70%,124,0.6489,0.8145,0.1656,under
OOS,DEATH,v12,70-80%,135,0.7531,0.8741,0.121,under
OOS,DEATH,v12,80%+  ,1168,0.9756,0.9598,0.0158,over
OOS,DEATH,v14,50-60%,93,0.5599,0.5699,0.01,under
OOS,DEATH,v14,60-70%,139,0.6545,0.8417,0.1872,under
OOS,DEATH,v14,70-80%,81,0.7379,0.8395,0.1016,under
OOS,DEATH,v14,80%+  ,1203,0.9673,0.9601,0.0072,over
OOS,OVERALL,v12,50-60%,1087,0.5484,0.5851,0.0367,under
OOS,OVERALL,v12,60-70%,1550,0.6537,0.7161,0.0624,under
OOS,OVERALL,v12,70-80%,1796,0.7468,0.8486,0.1018,under
OOS,OVERALL,v12,80%+  ,5614,0.9329,0.9421,0.0092,under
OOS,OVERALL,v14,50-60%,1336,0.5538,0.5704,0.0166,under
OOS,OVERALL,v14,60-70%,1299,0.6497,0.7229,0.0731,under
OOS,OVERALL,v14,70-80%,1965,0.7513,0.8774,0.126,under
OOS,OVERALL,v14,80%+  ,5447,0.9354,0.9429,0.0075,under
