split,phase,model,bin_lo,bin_hi,n,mean_pred,actual_wr,cal_error
OOS,PP,v12,0.0,0.1,457,0.0381,0.0525,0.0144
OOS,PP,v12,0.1,0.2,354,0.156,0.0847,0.0713
OOS,PP,v12,0.2,0.3,454,0.2686,0.2379,0.0307
OOS,PP,v12,0.3,0.4,357,0.3403,0.5266,0.1863
OOS,PP,v12,0.4,0.5,178,0.426,0.573,0.1471
OOS,PP,v12,0.5,0.6,347,0.5289,0.6599,0.1311
OOS,PP,v12,0.6,0.7,368,0.6535,0.9185,0.2649
OOS,PP,v12,0.7,0.8,354,0.7523,0.935,0.1827
OOS,PP,v12,0.8,0.9,267,0.8277,0.9026,0.0749
OOS,PP,v12,0.9,1.0,175,0.9242,0.9257,0.0015
OOS,PP,v14,0.0,0.1,467,0.033,0.0792,0.0462
OOS,PP,v14,0.1,0.2,325,0.163,0.0585,0.1045
OOS,PP,v14,0.2,0.3,490,0.2654,0.1796,0.0859
OOS,PP,v14,0.3,0.4,221,0.3528,0.5249,0.1721
OOS,PP,v14,0.4,0.5,375,0.4451,0.6107,0.1656
OOS,PP,v14,0.5,0.6,335,0.5501,0.7612,0.2111
OOS,PP,v14,0.6,0.7,277,0.6406,0.917,0.2763
OOS,PP,v14,0.7,0.8,518,0.765,0.9131,0.1481
OOS,PP,v14,0.8,0.9,125,0.8174,0.952,0.1346
OOS,PP,v14,0.9,1.0,180,0.9475,0.8722,0.0752
OOS,MID,v12,0.0,0.1,893,0.0315,0.0202,0.0113
OOS,MID,v12,0.1,0.2,504,0.1539,0.125,0.0289
OOS,MID,v12,0.2,0.3,450,0.2479,0.16,0.0879
OOS,MID,v12,0.3,0.4,380,0.3459,0.3342,0.0117
OOS,MID,v12,0.4,0.5,221,0.4417,0.5204,0.0786
OOS,MID,v12,0.5,0.6,276,0.5543,0.6957,0.1414
OOS,MID,v12,0.6,0.7,297,0.6527,0.7912,0.1385
OOS,MID,v12,0.7,0.8,403,0.7512,0.871,0.1198
OOS,MID,v12,0.8,0.9,446,0.8508,0.8991,0.0483
OOS,MID,v12,0.9,1.0,1180,0.9628,0.9669,0.0042
OOS,MID,v14,0.0,0.1,884,0.0313,0.0226,0.0087
OOS,MID,v14,0.1,0.2,474,0.1561,0.1329,0.0232
OOS,MID,v14,0.2,0.3,464,0.2469,0.1185,0.1284
OOS,MID,v14,0.3,0.4,360,0.3469,0.3472,0.0003
OOS,MID,v14,0.4,0.5,260,0.4466,0.5115,0.065
