bin,n,mean_pred,actual_wr,gap_pp,scope,phase,chase_type
00-10,1974,0.026069120059239635,0.034954407294832825,-0.8885287235593189,OVERALL,,
10-20,863,0.15867796849026217,0.1100811123986095,4.8596856091652665,OVERALL,,
20-30,1005,0.25685137650837186,0.14925373134328357,10.75976451650883,OVERALL,,
30-40,695,0.3491371545384511,0.36546762589928056,-1.6330471360829435,OVERALL,,
40-50,666,0.444435987912264,0.5525525525525525,-10.811656464028852,OVERALL,,
50-60,673,0.5521960357008069,0.6924219910846954,-14.022595538388849,OVERALL,,
60-70,601,0.6486766608031674,0.8252911813643927,-17.661452056122528,OVERALL,,
70-80,960,0.7598507542980806,0.9052083333333333,-14.53575790352527,OVERALL,,
80-90,616,0.846628523999374,0.8993506493506493,-5.2722125351275295,OVERALL,,
90-100,1994,0.9654042441012884,0.9573721163490472,0.8032127752241269,OVERALL,,
00-10,623,0.013468363975832008,0.019261637239165328,-0.5793273263333321,PHASE,DEATH,
10-20,64,0.15617463844655924,0.203125,-4.695036155344076,PHASE,DEATH,
20-30,51,0.26447796784198563,0.13725490196078433,12.72230658812013,PHASE,DEATH,
30-40,114,0.348966540278732,0.11403508771929824,23.493145255943375,PHASE,DEATH,
40-50,31,0.41890525940906415,0.1935483870967742,22.535687231228994,PHASE,DEATH,
50-60,62,0.5492554980629967,0.45161290322580644,9.764259483719023,PHASE,DEATH,
60-70,25,0.670542785642583,0.64,3.054278564258295,PHASE,DEATH,
70-80,30,0.7418934892767092,0.8,-5.810651072329087,PHASE,DEATH,
80-90,43,0.8497981867304485,0.7209302325581395,12.8867954172309,PHASE,DEATH,
90-100,473,0.9693746002556258,0.9767441860465116,-0.7369585790885758,PHASE,DEATH,
00-10,884,0.031288959683100526,0.02262443438914027,0.8664525293960255,PHASE,MID,
10-20,474,0.15606392638488403,0.13291139240506328,2.3152533979820755,PHASE,MID,
20-30,464,0.24694057787158902,0.11853448275862069,12.840609511296833,PHASE,MID,
30-40,360,0.3469456745665366,0.3472222222222222,-0.027654765568563278,PHASE,MID,
40-50,260,0.44655040217016884,0.5115384615384615,-6.498805936829266,PHASE,MID,
50-60,276,0.5553929293528574,0.6630434782608695,-10.765054890801206,PHASE,MID,
60-70,299,0.6543117426840768,0.7558528428093646,-10.154110012528783,PHASE,MID,
70-80,412,0.7546314043529567,0.9029126213592233,-14.828121700626662,PHASE,MID,
80-90,448,0.854466374830282,0.9017857142857143,-4.731933945543232,PHASE,MID,
90-100,1173,0.9616004643631053,0.9667519181585678,-0.5151453795462446,PHASE,MID,
00-10,467,0.032998312377162387,0.07922912205567452,-4.623080967851213,PHASE,PP,
10-20,325,0.1629834118156352,0.05846153846153846,10.452187335409674,PHASE,PP,
20-30,490,0.26544250795623503,0.17959183673469387,8.585067122154117,PHASE,PP,
30-40,221,0.3527949953325561,0.5248868778280543,-17.209188249549822,PHASE,PP,
40-50,375,0.44508053424971467,0.6106666666666667,-16.558613241695202,PHASE,PP,
50-60,335,0.5501063959562645,0.7611940298507462,-21.10876338944817,PHASE,PP,
60-70,277,0.6406205503216611,0.9169675090252708,-27.63469587036097,PHASE,PP,
70-80,518,0.7650420479815405,0.9131274131274131,-14.808536514587257,PHASE,PP,
80-90,125,0.8174473026419093,0.952,-13.455269735809061,PHASE,PP,
90-100,348,0.9728291152848721,0.8994252873563219,7.340382792855027,PHASE,PP,
00-10,3,0.06371087105396868,1.0,-93.62891289460313,CHASE_PHASE,DEATH,LOW
10-20,4,0.145407308079115,1.0,-85.4592691920885,CHASE_PHASE,DEATH,LOW
20-30,6,0.2774263382816014,1.0,-72.25736617183986,CHASE_PHASE,DEATH,LOW
30-40,7,0.3439975158123366,1.0,-65.60024841876634,CHASE_PHASE,DEATH,LOW
40-50,2,0.42097592572600673,1.0,-57.902407427399325,CHASE_PHASE,DEATH,LOW
50-60,6,0.5694186329672021,1.0,-43.05813670327979,CHASE_PHASE,DEATH,LOW
60-70,3,0.6815815815815816,1.0,-31.841841841841845,CHASE_PHASE,DEATH,LOW
70-80,8,0.7367731510202432,1.0,-26.32268489797568,CHASE_PHASE,DEATH,LOW
80-90,10,0.8480113674641789,1.0,-15.198863253582108,CHASE_PHASE,DEATH,LOW
90-100,114,0.970774119126165,1.0,-2.922588087383504,CHASE_PHASE,DEATH,LOW
00-10,20,0.08028857612407965,1.0,-91.97114238759202,CHASE_PHASE,MID,LOW
10-20,31,0.12672701927289484,1.0,-87.32729807271052,CHASE_PHASE,MID,LOW
20-30,3,0.25607316892602366,1.0,-74.39268310739764,CHASE_PHASE,MID,LOW
30-40,63,0.3480971229368925,1.0,-65.19028770631074,CHASE_PHASE,MID,LOW
40-50,46,0.4452558481517252,1.0,-55.47441518482748,CHASE_PHASE,MID,LOW
50-60,31,0.5513204520248914,0.9032258064516129,-35.19053544267214,CHASE_PHASE,MID,LOW
60-70,31,0.6582479584892946,0.9032258064516129,-24.497784796231826,CHASE_PHASE,MID,LOW
70-80,124,0.7620360734695517,0.9435483870967742,-18.151231362722253,CHASE_PHASE,MID,LOW
80-90,160,0.8589444897639261,0.94375,-8.480551023607386,CHASE_PHASE,MID,LOW
90-100,501,0.9641426136554477,0.9441117764471058,2.003083720834198,CHASE_PHASE,MID,LOW
00-10,37,0.051585695155553724,1.0,-94.84143048444463,CHASE_PHASE,PP,LOW
10-20,1,0.1191588785046729,1.0,-88.08411214953271,CHASE_PHASE,PP,LOW
30-40,10,0.3741727975994865,1.0,-62.58272024005135,CHASE_PHASE,PP,LOW
40-50,57,0.4584178823773475,1.0,-54.15821176226525,CHASE_PHASE,PP,LOW
50-60,62,0.5473359154017187,1.0,-45.266408459828135,CHASE_PHASE,PP,LOW
60-70,65,0.6605385954443448,1.0,-33.94614045556552,CHASE_PHASE,PP,LOW
70-80,151,0.7596277510260786,1.0,-24.03722489739214,CHASE_PHASE,PP,LOW
80-90,64,0.8224866783270526,0.984375,-16.18883216729474,CHASE_PHASE,PP,LOW
90-100,333,0.9745286329063924,0.8948948948948949,7.963373801149743,CHASE_PHASE,PP,LOW
00-10,186,0.017350978695233724,0.04838709677419355,-3.1036118078959825,CHASE_PHASE,DEATH,PAR
10-20,29,0.1598137817570764,0.3103448275862069,-15.053104582913052,CHASE_PHASE,DEATH,PAR
20-30,21,0.2672331637517901,0.047619047619047616,21.96141161327425,CHASE_PHASE,DEATH,PAR
30-40,31,0.3494343392201332,0.1935483870967742,15.588595212335903,CHASE_PHASE,DEATH,PAR
40-50,11,0.4145194989624572,0.36363636363636365,5.088313532609357,CHASE_PHASE,DEATH,PAR
50-60,33,0.5506422607216739,0.6666666666666666,-11.602440594499274,CHASE_PHASE,DEATH,PAR
60-70,16,0.6720524063601254,0.8125,-14.044759363987458,CHASE_PHASE,DEATH,PAR
70-80,20,0.7471632315714821,0.8,-5.283676842851792,CHASE_PHASE,DEATH,PAR
80-90,20,0.8507309032812007,0.5,35.073090328120074,CHASE_PHASE,DEATH,PAR
90-100,211,0.975472375515135,0.9478672985781991,2.7605076936935924,CHASE_PHASE,DEATH,PAR
00-10,175,0.03917473139729162,0.0,3.9174731397291622,CHASE_PHASE,MID,PAR
10-20,151,0.15801628830084505,0.059602649006622516,9.841363929422254,CHASE_PHASE,MID,PAR
20-30,188,0.24135548504306886,0.1595744680851064,8.178101695796247,CHASE_PHASE,MID,PAR
30-40,111,0.3488255045785365,0.3783783783783784,-2.9552873799841892,CHASE_PHASE,MID,PAR
40-50,112,0.44925981220516853,0.5714285714285714,-12.216875922340286,CHASE_PHASE,MID,PAR
50-60,156,0.5524102885390724,0.6923076923076923,-13.989740376861992,CHASE_PHASE,MID,PAR
60-70,164,0.6549158587178319,0.7621951219512195,-10.727926323338766,CHASE_PHASE,MID,PAR
70-80,178,0.7545852799054613,0.8258426966292135,-7.125741672375218,CHASE_PHASE,MID,PAR
80-90,177,0.8488685476854505,0.8022598870056498,4.6608660679800735,CHASE_PHASE,MID,PAR
90-100,539,0.9612107715733825,0.9795918367346939,-1.8381065161311327,CHASE_PHASE,MID,PAR
00-10,61,0.040788179739151956,0.0,4.0788179739151955,CHASE_PHASE,PP,PAR
10-20,110,0.1653306172981954,0.01818181818181818,14.714879911637722,CHASE_PHASE,PP,PAR
20-30,198,0.26341627283801505,0.20202020202020202,6.139607081781303,CHASE_PHASE,PP,PAR
30-40,81,0.3535454544743145,0.5925925925925926,-23.904713811827804,CHASE_PHASE,PP,PAR
40-50,146,0.44388050740453905,0.5068493150684932,-6.296880766395413,CHASE_PHASE,PP,PAR
50-60,176,0.5531817680593026,0.7556818181818182,-20.25000501225156,CHASE_PHASE,PP,PAR
60-70,165,0.6333754946111431,0.9090909090909091,-27.5715414479766,CHASE_PHASE,PP,PAR
70-80,306,0.7679661970095288,0.8986928104575164,-13.072661344798753,CHASE_PHASE,PP,PAR
80-90,56,0.8088088309527244,0.9107142857142857,-10.190545476156132,CHASE_PHASE,PP,PAR
90-100,8,0.9302522449803249,1.0,-6.974775501967512,CHASE_PHASE,PP,PAR
00-10,434,0.011457087802921574,0.0,1.1457087802921575,CHASE_PHASE,DEATH,HIGH
10-20,31,0.15415961152606827,0.0,15.415961152606828,CHASE_PHASE,DEATH,HIGH
20-30,24,0.2588300788110027,0.0,25.883007881100266,CHASE_PHASE,DEATH,HIGH
30-40,76,0.3492334008587494,0.0,34.92334008587494,CHASE_PHASE,DEATH,HIGH
40-50,18,0.42135537231344133,0.0,42.13553723134413,CHASE_PHASE,DEATH,HIGH
50-60,23,0.5420058468820586,0.0,54.20058468820586,CHASE_PHASE,DEATH,HIGH
60-70,6,0.6609977324263038,0.0,66.09977324263038,CHASE_PHASE,DEATH,HIGH
70-80,2,0.7096774193548387,0.0,70.96774193548387,CHASE_PHASE,DEATH,HIGH
80-90,13,0.8497377145494986,0.8461538461538461,0.3583868395652501,CHASE_PHASE,DEATH,HIGH
90-100,148,0.959603142613748,1.0,-4.039685738625199,CHASE_PHASE,DEATH,HIGH
00-10,689,0.0278637022392645,0.0,2.78637022392645,CHASE_PHASE,MID,HIGH
10-20,292,0.1581688492313277,0.07876712328767123,7.940172594365648,CHASE_PHASE,MID,HIGH
20-30,273,0.25068636424008167,0.08058608058608059,17.01002836540011,CHASE_PHASE,MID,HIGH
30-40,186,0.3454338338210288,0.10752688172043011,23.79069521005987,CHASE_PHASE,MID,HIGH
40-50,102,0.4441591821792712,0.22549019607843138,21.866898610083982,CHASE_PHASE,MID,HIGH
50-60,89,0.5620394323204689,0.5280898876404494,3.394954468001954,CHASE_PHASE,MID,HIGH
60-70,104,0.6521858030735228,0.7019230769230769,-4.9737273849554064,CHASE_PHASE,MID,HIGH
70-80,110,0.7463589605456515,0.9818181818181818,-23.54592212725303,CHASE_PHASE,MID,HIGH
80-90,111,0.8569376992920131,1.0,-14.306230070798687,CHASE_PHASE,MID,HIGH
90-100,133,0.9536036795375182,1.0,-4.639632046248177,CHASE_PHASE,MID,HIGH
00-10,369,0.029846781017048997,0.0,2.9846781017048998,CHASE_PHASE,PP,HIGH
10-20,214,0.1619816918634359,0.07476635514018691,8.721533672324897,CHASE_PHASE,PP,HIGH
20-30,292,0.2668164619062608,0.1643835616438356,10.24329002624252,CHASE_PHASE,PP,HIGH
30-40,130,0.350682955231389,0.4461538461538462,-9.54708909224572,CHASE_PHASE,PP,HIGH
40-50,172,0.4416792265527412,0.5697674418604651,-12.808821530772391,CHASE_PHASE,PP,HIGH
50-60,97,0.5462971619794309,0.6185567010309279,-7.225953905149696,CHASE_PHASE,PP,HIGH
60-70,47,0.6385090877527474,0.8297872340425532,-19.127814628980577,CHASE_PHASE,PP,HIGH
70-80,61,0.7637759699112179,0.7704918032786885,-0.6715833367470614,CHASE_PHASE,PP,HIGH
80-90,5,0.8496941767909509,1.0,-15.030582320904905,CHASE_PHASE,PP,HIGH
