bucket,n,mean_pred,actual_wr,cal_error,candidate
50-60,1336,0.5537847153853342,0.5703592814371258,0.01657456605179153,full_global_temperature
60-70,1299,0.649778860433685,0.7228637413394919,0.07308488090580689,full_global_temperature
70-80,1965,0.7513743334172526,0.87735368956743,0.1259793561501774,full_global_temperature
80+,5447,0.9354420501918258,0.9429043510189095,0.007462300827083657,full_global_temperature
50-60,1336,0.5537826825589409,0.5711077844311377,0.017325101872196824,full_global_platt
60-70,1299,0.6497737088602408,0.7228637413394919,0.07309003247925117,full_global_platt
70-80,1965,0.7513666149905793,0.87735368956743,0.12598707457685066,full_global_platt
80+,5447,0.9354373470063889,0.9429043510189095,0.0074670040125205395,full_global_platt
50-60,1489,0.558890937809207,0.6245802552048355,0.06568931739562855,full_global_isotonic
60-70,1037,0.6573314823033297,0.6981677917068466,0.0408363094035169,full_global_isotonic
70-80,2638,0.7531550808350768,0.8817285822592873,0.12857350142421053,full_global_isotonic
80+,4883,0.9510623245967789,0.9483923817325415,0.0026699428642373846,full_global_isotonic
50-60,1336,0.5537713989764167,0.5711077844311377,0.01733638545472105,full_global_platt_blend_0.25
60-70,1299,0.6497438606668386,0.7228637413394919,0.07311988067265329,full_global_platt_blend_0.25
70-80,1965,0.7513229860893409,0.87735368956743,0.1260307034780891,full_global_platt_blend_0.25
80+,5447,0.93541152654197,0.9429043510189095,0.007492824476939441,full_global_platt_blend_0.25
50-60,1336,0.5537751601705914,0.5711077844311377,0.01733262426054638,full_global_platt_blend_0.50
60-70,1299,0.6497538100646395,0.7228637413394919,0.07310993127485244,full_global_platt_blend_0.50
70-80,1965,0.7513375290564204,0.87735368956743,0.1260161605110096,full_global_platt_blend_0.50
80+,5447,0.9354201333634431,0.9429043510189095,0.007484217655466363,full_global_platt_blend_0.50
50-60,1336,0.5537789213647661,0.5711077844311377,0.017328863066371603,full_global_platt_blend_0.75
60-70,1299,0.6497637594624401,0.7228637413394919,0.0730999818770518,full_global_platt_blend_0.75
70-80,1965,0.7513520720234999,0.87735368956743,0.12600161754393013,full_global_platt_blend_0.75
80+,5447,0.9354287401849161,0.9429043510189095,0.007475610833993396,full_global_platt_blend_0.75
50-60,1348,0.5543036874545941,0.5808605341246291,0.026556846670034995,full_global_isotonic_blend_0.25
60-70,1257,0.6501878428794621,0.7223548130469372,0.07216697016747509,full_global_isotonic_blend_0.25
70-80,2032,0.7494188870255143,0.8764763779527559,0.1270574909272416,full_global_isotonic_blend_0.25
80+,5410,0.9362764864792666,0.9432532347504621,0.006976748271195432,full_global_isotonic_blend_0.25
50-60,1381,0.5555544134841544,0.5865314989138306,0.030977085429676254,full_global_isotonic_blend_0.50
60-70,1219,0.6525094416293008,0.7194421657095981,0.06693272408029727,full_global_isotonic_blend_0.50
70-80,2114,0.7492048566922137,0.8774834437086093,0.1282785870163956,full_global_isotonic_blend_0.50
80+,5333,0.9382096852551057,0.9439339958747421,0.005724310619636408,full_global_isotonic_blend_0.50
50-60,1414,0.5566697397955006,0.5876944837340877,0.031024743938587118,full_global_isotonic_blend_0.75
60-70,1125,0.6527710137731726,0.7102222222222222,0.05745120844904961,full_global_isotonic_blend_0.75
70-80,2204,0.7466174914647221,0.8797640653357531,0.13314657387103102,full_global_isotonic_blend_0.75
80+,5304,0.9389588337421683,0.9440045248868778,0.005045691144709541,full_global_isotonic_blend_0.75
50-60,1336,0.5537847153853342,0.5703592814371258,0.01657456605179153,full_global_symmetric_temperature
60-70,1299,0.649778860433685,0.7228637413394919,0.07308488090580689,full_global_symmetric_temperature
70-80,1965,0.7513743334172525,0.87735368956743,0.12597935615017752,full_global_symmetric_temperature
80+,5447,0.9354420501918258,0.9429043510189095,0.007462300827083657,full_global_symmetric_temperature
50-60,1428,0.5528348118295882,0.5973389355742297,0.04450412374464152,full_global_symmetric_platt
60-70,1221,0.6512493261066571,0.7174447174447175,0.0661953913380604,full_global_symmetric_platt
70-80,1959,0.7507013511442583,0.8769780500255232,0.12627669888126491,full_global_symmetric_platt
80+,5439,0.9359599911534778,0.9431880860452289,0.007228094891751025,full_global_symmetric_platt
50-60,1128,0.5459405510596501,0.5709219858156028,0.024981434755952714,full_global_symmetric_isotonic
60-70,1411,0.6422683810268426,0.6902905740609497,0.04802219303410715,full_global_symmetric_isotonic
70-80,2531,0.7524046520713824,0.8810746740418807,0.12867002197049826,full_global_symmetric_isotonic
80+,4977,0.9478651881620729,0.9471569218404662,0.0007082663216066987,full_global_symmetric_isotonic
50-60,1344,0.5530305666273195,0.5721726190476191,0.019142052420299538,full_global_symmetric_platt_blend_0.25
60-70,1294,0.6494694833979908,0.7217928902627512,0.07232340686476035,full_global_symmetric_platt_blend_0.25
70-80,1968,0.7512422332145298,0.8770325203252033,0.12579028711067353,full_global_symmetric_platt_blend_0.25
80+,5441,0.9356416455122238,0.9432089689395332,0.007567323427309369,full_global_symmetric_platt_blend_0.25
50-60,1389,0.5535564522995545,0.5788336933045356,0.025277241004981077,full_global_symmetric_platt_blend_0.50
60-70,1251,0.6506352456347149,0.7202238209432454,0.06958857530853058,full_global_symmetric_platt_blend_0.50
70-80,1967,0.7510263847454529,0.8769700050838841,0.1259436203384312,full_global_symmetric_platt_blend_0.50
80+,5440,0.9357560275604562,0.9431985294117647,0.0074425018513085694,full_global_symmetric_platt_blend_0.50
50-60,1421,0.5536107553819324,0.5840957072484166,0.030484951866484256,full_global_symmetric_platt_blend_0.75
