bucket,n,mean_pred,actual_wr,cal_error,version,phase
50-60,707,0.5524475845313634,0.5643564356435643,0.011908851112200858,v14_original,pp
60-70,501,0.6432818333616256,0.720558882235529,0.07727704887390341,v14_original,pp
70-80,1008,0.7502231666420275,0.8680555555555556,0.1178323889135281,v14_original,pp
80+,1265,0.9204313234895679,0.9233201581027668,0.0028888346131988873,v14_original,pp
50-60,536,0.5544502683728523,0.5783582089552238,0.023907940582371556,v14_original,mid
60-70,659,0.653624837607827,0.6995447647951442,0.04591992718731719,v14_original,mid
70-80,876,0.7537987559647261,0.8915525114155252,0.13775375545079904,v14_original,mid
80+,2979,0.9288769850121025,0.9442766028868748,0.015399617874772287,v14_original,mid
50-60,93,0.5598685789056431,0.5698924731182796,0.010023894212636497,v14_original,death
60-70,139,0.6545423312898498,0.841726618705036,0.1871842874151861,v14_original,death
70-80,81,0.7378818310908642,0.8395061728395061,0.10162434174864188,v14_original,death
80+,1203,0.9673063510663318,0.9600997506234414,0.007206600442890343,v14_original,death
50-60,1336,0.5537676376869367,0.5703592814371258,0.016591643750189067,v14_original,overall
60-70,1299,0.6497339111216486,0.7228637413394919,0.07312983021784336,v14_original,overall
70-80,1965,0.7513084430120222,0.87735368956743,0.12604524655540783,v14_original,overall
80+,5447,0.9354029195700667,0.9429043510189095,0.007501431448842744,v14_original,overall
50-60,720,0.5597804118536096,0.6180555555555556,0.058275143701945975,v14_window_resource_replace,pp
60-70,596,0.6509482759355472,0.7432885906040269,0.0923403146684797,v14_window_resource_replace,pp
70-80,1005,0.7552980935813277,0.8885572139303483,0.13325912034902054,v14_window_resource_replace,pp
80+,1160,0.9332078520759208,0.9293103448275862,0.0038975072483345974,v14_window_resource_replace,pp
50-60,521,0.5543872483960874,0.6218809980806143,0.06749374968452682,v14_window_resource_replace,mid
60-70,678,0.6519604421546722,0.6843657817109144,0.03240533955624225,v14_window_resource_replace,mid
70-80,878,0.7548659549251269,0.878132118451025,0.12326616352589814,v14_window_resource_replace,mid
80+,2973,0.929581137198713,0.9445005045408678,0.01491936734215471,v14_window_resource_replace,mid
50-60,93,0.5598685789056431,0.5698924731182796,0.010023894212636497,v14_window_resource_replace,death
60-70,139,0.6545423312898498,0.841726618705036,0.1871842874151861,v14_window_resource_replace,death
70-80,81,0.7378818310908642,0.8395061728395061,0.10162434174864188,v14_window_resource_replace,death
80+,1203,0.9673063510663318,0.9600997506234414,0.007206600442890343,v14_window_resource_replace,death
50-60,1334,0.5576802329739021,0.616191904047976,0.058511671074073845,v14_window_resource_replace,overall
60-70,1413,0.6517874991420687,0.7246992215145082,0.07291172237243948,v14_window_resource_replace,overall
70-80,1964,0.754386619547788,0.8818737270875764,0.12748710753978842,v14_window_resource_replace,overall
80+,5336,0.9388746944588905,0.9447151424287856,0.005840447969895135,v14_window_resource_replace,overall
50-60,644,0.5445398055454944,0.5916149068322981,0.0470751012868037,v14_window_resource_delta,pp
60-70,619,0.6443740413304255,0.6978998384491115,0.05352579711868599,v14_window_resource_delta,pp
70-80,910,0.7508116701827793,0.8637362637362638,0.1129245935534845,v14_window_resource_delta,pp
80+,1308,0.9184136078336587,0.9243119266055045,0.0058983187718458785,v14_window_resource_delta,pp
50-60,533,0.5529183929402407,0.5816135084427767,0.028695115502536006,v14_window_resource_delta,mid
60-70,668,0.6532408787682973,0.7035928143712575,0.05035193560296025,v14_window_resource_delta,mid
70-80,853,0.7536944882882781,0.876905041031653,0.12321055274337489,v14_window_resource_delta,mid
80+,2996,0.9285625306341494,0.9462616822429907,0.01769915160884128,v14_window_resource_delta,mid
50-60,94,0.5570762514034086,0.5638297872340425,0.006753535830633983,v14_window_resource_delta,death
60-70,134,0.6561902405333154,0.8731343283582089,0.2169440878248935,v14_window_resource_delta,death
70-80,74,0.7394829416721789,0.7972972972972973,0.057814355625118385,v14_window_resource_delta,death
80+,1214,0.9661462246477808,0.9621087314662273,0.004037493181553442,v14_window_resource_delta,death
50-60,1271,0.5489805710781803,0.5853658536585366,0.036385282580356226,v14_window_resource_delta,overall
60-70,1421,0.6496565311979031,0.717100633356791,0.06744410215888785,v14_window_resource_delta,overall
70-80,1837,0.7516939336200172,0.8671747414262384,0.11548080780622116,v14_window_resource_delta,overall
80+,5518,0.9344254906757418,0.9445451250453063,0.010119634369564534,v14_window_resource_delta,overall
