phase,n,raw_brier,cal_brier,raw_logloss,cal_logloss,version
pp,3481,0.14039937433960914,0.14382286331547456,0.4482440233201106,0.49928495134254086,v14_original
mid,5050,0.10268284345929343,0.10369643442532964,0.33494836112386844,0.33743639485447835,v14_original
death,1516,0.06377339959316633,0.06493365551031245,0.2077752367352594,0.2101839796801359,v14_original
overall,10047,0.10987947201441736,0.11175015455386834,0.355012832461779,0.37431110011282837,v14_original
pp,3481,0.13642068276136618,0.14078902802364981,0.4402138155304794,0.5082274991044232,v14_window_resource_replace
mid,5050,0.10421770421692982,0.10512767306308554,0.33967053523131446,0.3416176834507237,v14_window_resource_replace
death,1516,0.06377339959316633,0.06493365551031245,0.2077752367352594,0.2101839796801359,v14_window_resource_replace
overall,10047,0.10927244717538084,0.11141841119463926,0.3546041359281766,0.3795111116754989,v14_window_resource_replace
pp,3481,0.14161071899670488,0.14464276063026846,0.45080646978551275,0.5145704988612283,v14_window_resource_delta
mid,5050,0.10318028164842943,0.10420004739935353,0.3370409658729324,0.3393012732295794,v14_window_resource_delta
death,1516,0.06295510839511655,0.0634003209992762,0.20596349429649868,0.20601686981840603,v14_window_resource_delta
overall,10047,0.11042572703086444,0.11205599440187146,0.3566790938922237,0.3799156873683702,v14_window_resource_delta
