phase,n,raw_brier,cal_brier,raw_logloss,cal_logloss,version
pp,40070,0.17708324281293672,0.17365594676414886,0.5252055888413473,0.5135011874652838,v14_original
mid,57686,0.1370652588557568,0.13656102794654035,0.4164065914636204,0.4149495619060907,v14_original
death,19456,0.08109350891073544,0.07877947131061802,0.26069693356785245,0.2502131989106932,v14_original
overall,117212,0.14145503336889426,0.13965111625757565,0.4277543094524395,0.4212957803625493,v14_original
pp,40070,0.17725055374828536,0.1737491725003188,0.5254538695707965,0.5135727127164069,v14_window_resource_replace
mid,57686,0.13702225227204634,0.13652316674355078,0.4158798907022359,0.414472703606721,v14_window_resource_replace
death,19456,0.08109350891073544,0.07877947131061802,0.26069693356785245,0.2502131989106932,v14_window_resource_replace
overall,117212,0.14149106441854353,0.13966435290478474,0.42757997020993693,0.42108554565070283,v14_window_resource_replace
pp,40070,0.17678964216689755,0.1735332933447851,0.5247504533612722,0.5135006992794373,v14_window_resource_delta
mid,57686,0.13708854140731241,0.13657561104125954,0.4159171279095202,0.414483235865683,v14_window_resource_delta
death,19456,0.08129184211607306,0.07893631216297575,0.2612320515067004,0.2504894523532878,v14_window_resource_delta
overall,117212,0.14139904311384607,0.13964239712908652,0.42744665137433985,0.4211119659186808,v14_window_resource_delta
